,meme_id,plantilla,texto_no_tilde,text_1,text_2
2,008,Matias Prats,La pregunta es... Donde esta el desfibrilador de crosfit 004 Pontevedra,None,None
3,012,Willy Wonka,Creias que te iba a dejar salir con ese vestido tan corto eh,None,None
4,003,Ay Si,no al limite de aparcarlo en el salon,None,None
5,011,Problems,me dijo que era ingeniero en navegacion terrestre solo es un taxista fracasado,None,None
6,001,Ancient Aliens,No olvides el nombre de quien te traiciono una vez Por que intentara traicionarte siempre,None,None
10,012,Willy Wonka,"Que no tienes candidato para estas elecciones? Vota con altura, por Fernando Grimaldos a la asamblea #55",None,None
11,012,Willy Wonka,Que no tienes candidato para estas elecciones? Vota por Fernando Grimaldos a la asamblea #55,None,None
12,012,Willy Wonka,Cuando te estas meando Pero no paras de hablar por el teñefono,None,None
13,012,Willy Wonka,Que no tienes candidato para estas elecciones? Vota por  a la asamblea #55,None,None
14,012,Willy Wonka,Que no tienes candidato para estas elecciones? Vota por @FernandoGrimaldos a la asamblea #55,None,None
15,003,Ay Si,PROFE.. TANTOS ESTUDIANTES Y ME VIENE A PREGUNTAR A MI,None,None
17,003,Ay Si,Espera amigo calmate un poco,None,None
19,012,Willy Wonka,Asi que te estas meando Pero no paras de hablar por celular,None,None
30,001,Ancient Aliens,"Mi relacion Investigacion, drogas y musica electronica.",None,None
38,011,Problems,Solo se aprovecho de mi,None,None
41,007,Futurama Fry,Hola,None,None
43,004,Bad Luck Brian,Que Onda,None,None
44,007,Futurama Fry,Hola Tomamos una chela,None,None
49,012,Willy Wonka,Fala danilo Que sente que ce gosta dela e ela nao,None,None
56,011,Problems,Rober me ha follado Y me ha inundado,None,None
57,009,No me digas,ahhh mira vos ¿¿en serio??,None,None
58,003,Ay Si,"Uy, Uy...me corte el pelo Y ya me creo Brad Pitt",None,None
72,012,Willy Wonka,asi que vas a competir... contra primera junta 2010?,None,None
75,012,Willy Wonka,Turno B Horario dos saradao,None,None
99,003,Ay Si,Si me preguntan!!! Yo voto por Nico!!!,None,None
114,011,Problems,"Cuando una compañera me dice ""Me quedan 10 secciones de kinesiologia",None,None
116,011,Problems,"Cuando una compañera me dice ""Me quedan 10 secciones de kinesiologia""",None,None
119,009,No me digas,"Todos los perros comen carne, y tu comes carne. Asi que tu eres un....",None,None
120,009,No me digas,"Todos los animales carnivoros comen carne, y tu comes carne. Asi que tu eres un......",None,None
136,005,Disaster Girl,mis alumnos en clase yo aqui,None,None
138,011,Problems,Llame a Lidia esta con permiso,None,None
148,008,Matias Prats,gRACIAS ANDREA Y EN OTRAS NOTICIAS CIENTIFICOS DE LA NASA SIGUEN INVESTIGANDO LO QUE LE PASA A LUPITA,None,None
155,008,Matias Prats,Gracias Nacho Pero hasta que no muera Lourdes no podremos incorporar,None,None
161,003,Ay Si,"Sabias que el aparato urinario esta formado por... Riñones, ureteres, vejiga urinaria y la uretra...sabelo pues!!!",None,None
163,003,Ay Si,Y lo peor es que no se que hice.,None,None
181,012,Willy Wonka,mejoremos la seguridad cambiemos las claves a ultima hora y sin avisar,None,None
182,009,No me digas,Sabes Que Son Los Factores!¡? Nose,None,None
183,003,Ay Si,Yo no tengo nada que ver,None,None
186,003,Ay Si,Tu eres el cueco No yo,None,None
197,008,Matias Prats,Ultima Noticia Sera que FUFI nombra quien la monto y la lleno,None,None
199,008,Matias Prats,Ultima Noticia Sera que Fifi revela quien la monto y la lleno,None,None
207,009,No me digas,Lo0,None,None
211,011,Problems,me dijo que aplicara la primera ley de neton pero me desperto para ir a la escuela,None,None
212,012,Willy Wonka,Ahora resulta que toda Puebla es Familia hasta los vecinos,None,None
213,008,Matias Prats,Noticias insolitas Lobera sale a pasear sin marta,None,None
215,008,Matias Prats,Noticias insolitas Lobera y Marta salen a cenar y escoge el el sitio,None,None
216,008,Matias Prats,Fuertes Declaraciones,None,None
221,003,Ay Si,Es el capacitor,None,None
223,004,Bad Luck Brian,Alberto no va a la Boda Toca Pesado,None,None
224,004,Bad Luck Brian,Alberto no va a la boda Tocan Pesado e Intocable,None,None
235,003,Ay Si,yo no fui por el sasinato,None,None
239,007,Futurama Fry,Mi cara al ver el feisbu a mi prima la que tiene 3 novios :v,None,None
258,004,Bad Luck Brian,Quien es mas guapo de todos por Yo Y tu eres el mas feo que yo,None,None
263,012,Willy Wonka,Como cuando te cambia por una serie de tv. Que se siente que te dejen plantado?,None,None
266,008,Matias Prats,"ayer cae un meteoriot hoya tiembla ,,  y mañana ??",None,None
271,009,No me digas,oigan y fabian,None,None
