,meme_id,plantilla,texto_no_tilde,text_1,text_2
26,004,Bad Luck Brian,Carlitos esta embarazada que bien y solo le di la mano 2 veces,Carlitos esta embarazada que bien y solo, le di la mano 2 veces
222,003,Ay Si,Ay si ay si ay si Es el capacitor,Ay si ay si ay si, Es el capacitor
276,004,Bad Luck Brian,Va camino al parcial y se entera que hay tropel en la U... Igual hacen el parcial,Va camino al parcial y, se entera que hay tropel en la U... Igual hacen el parcial
538,008,Matias Prats,Noticia de ultima hora Siempre si fue un capacitor,Noticia de ultima hora, Siempre si fue un capacitor
577,006,Filosoraptor,¿ENTONCES? SI MADURO MUCHO ME EMPICHO,,¿ENTONCES? SI MADURO MUCHO ME EMPICHO
620,006,Filosoraptor,"Si ""Leer es para burgueses"" ¿drogarse es para pseudo anarcos?","Si ""Leer es para burgueses"" ",¿drogarse es para pseudo anarcos?
770,004,Bad Luck Brian,Quedo con toribio para.que le momtRa un radio en el coche Le.junto.el positivo.con el negativo,Quedo con toribio para.que, le momtRa un radio en el coche Le.junto.el positivo.con el negativo
772,004,Bad Luck Brian,Toribio le va a montar un radio en el coche Le junta el positivo con el negativo,Toribio, le va a montar un radio en el coche Le junta el positivo con el negativo
900,011,Problems,Todo por la lechona y el tamal,Todo por la lechona, y el tamal
904,004,Bad Luck Brian,te dice que se va en taxi asi dormis empieza a putear y a reventar el piso a tacazos,te dice que, se va en taxi asi dormis empieza a putear y a reventar el piso a tacazos
914,003,Ay Si,"Ay si, ay si muy  ""cordialmente""",Ay si ay si," muy  ""cordialmente"""
1005,003,Ay Si,"uy si, uy si que dijo, que se me iba olvidar el mdoelo de senderos",uy si uy si, que dijo que se me iba olvidar el mdoelo de senderos
1008,003,Ay Si,Ay si ay si Presumo mi abdomen,Ay si ay si, Presumo mi abdomen
1010,003,Ay Si,Ay si ay si Tengo mi abdomen marcado y lo presumo,Ay si ay si, Tengo mi abdomen marcado y lo presumo
1033,003,Ay Si,Ay si ay si yo siempre organizo el reciclaje,Ay si ay si, yo siempre organizo el reciclaje
1036,003,Ay Si,Ay si ay si yo siempre organizo el reciclaje,Ay si ay si, yo siempre organizo el reciclaje
1046,003,Ay Si,"Ay si, ay si Hay paro y no hay parciales.",Ay si ay si, Hay paro y no hay parciales.
1074,011,Problems,me dijo hagamos el amor con musica y puso una death metal,me dijo hagamos el amor con musica, y puso una death metal
1095,003,Ay Si,"Ay si, ay si Soy su fan desde la secundaria",Ay si ay si, Soy su fan desde la secundaria
1114,012,Willy Wonka,"Y dime Colon, que se siente llegar por primera vez a la final de una copa internacional?",Y ,dime Colon que se siente llegar por primera vez a la final de una copa internacional?
1211,003,Ay Si,Ay si ay si los billetuos,Ay si ay si, los billetuos
1225,003,Ay Si,Ay si ay si Escucho tame impala soy cool y especial,Ay si ay si, Escucho tame impala soy cool y especial
1303,004,Bad Luck Brian,Hace planes para vivir con hazli Tres dias despues lo elimina del whatsapp y le piden que sean amigos,Hace planes para vivir con hazli Tres dias despues, lo elimina del whatsapp y le piden que sean amigos
1366,011,Problems,me dijo que votaria por mira y voto por el polo,me dijo que votaria por mira, y voto por el polo
1377,011,Problems,me dijo que la tenia como un bebe media 40 cm. y pesaba 2 1/2K,me dijo que la tenia como un bebe media 40 cm., y pesaba 2 1/2K
1391,008,Matias Prats,Noticias de ultima hora Miguel esta retratado x sus trampas,Noticias de ultima hora, Miguel esta retratado x sus trampas
1405,007,Futurama Fry,Me llaman porque me extrañan o se cayo internet,Me llaman porque me extrañan, o se cayo internet
1492,006,Filosoraptor,¿ESTUDIARA EN UNA ESCUELA?,,¿ESTUDIARA EN UNA ESCUELA?
1606,004,Bad Luck Brian,"los abortista creen que si no lo consideras persona y no los ves morir, no muere. ENTONCES LOS JUDÍOS los niños de ÁFRICA no mueren porque no los veo, no los escucho y otros dicen que no son personas",los abortista creen que si no, lo consideras persona y no los ves morir no muere. ENTONCES LOS JUDÍOS los niños de ÁFRICA no mueren porque no los veo no los escucho y otros dicen que no son personas
1737,008,Matias Prats,Noticias de ultima hora... hoy se conmemora el nacimiento de la chica mas hermosa del mundo Felicidades Celeste,Noticias de ultima hora,... hoy se conmemora el nacimiento de la chica mas hermosa del mundo Felicidades Celeste
1856,003,Ay Si,Ay si ay si comadres unidas Jamas seran vencidas,Ay si ay si, comadres unidas Jamas seran vencidas
1857,011,Problems,le dije reviveme y lo mataron,le dije reviveme, y lo mataron
1882,006,Filosoraptor,¿Te ha gustado Leer sobre nosotros?,,¿Te ha gustado Leer sobre nosotros?
1890,004,Bad Luck Brian,contratan nuevo maestro de composicion le dejan a salvador la clase grupal de analisis,contratan nuevo maestro de composicion, le dejan a salvador la clase grupal de analisis
2087,003,Ay Si,ay si esto tiene aditivos,ay si, esto tiene aditivos
2310,008,Matias Prats,En ultimas noticias hombre fue descuartizado,En ultimas noticias, hombre fue descuartizado
2360,003,Ay Si,"ay si !, la musica es universal y no vale discrimianr",ay si, ! la musica es universal y no vale discrimianr
2364,003,Ay Si,ay si? no me diga que ya se acabo el aseituna para mi suegrita pues que mas aremos pues que esperemos que nos leña y palo,ay si,? no me diga que ya se acabo el aseituna para mi suegrita pues que mas aremos pues que esperemos que nos leña y palo
2371,011,Problems,Cuando ya lleva 3 dias y no te habla por Andar en el cosalazo,Cuando ya lleva 3 dias, y no te habla por Andar en el cosalazo
2378,003,Ay Si,"uy si, uy si el que compra 10$",uy si uy si, el que compra 10$
2451,012,Willy Wonka,y dime como te sentiste despues de masacrarlos en BTC,y ,dime como te sentiste despues de masacrarlos en BTC
