,meme_id,plantilla,texto_no_tilde,text_1,text_2
0,005,Disaster Girl,Si te gusta que mar Esta es tu niña,None,None
2,005,Disaster Girl,Si te gusta quemar Esta es tu hija,None,None
8,002,Annoying Gamer Kid,si eres gamer COmenta tu juego favorito y agrega a quien le guste el miso juego,None,None
13,005,Disaster Girl,ella me robo todo... pues ya no robara a nadie mas...,None,None
17,006,Filosoraptor,DONDE ESTARA MI CHEQUE??,None,None
23,011,Problems,por favor señorita  no llore que io tambien me pongo trsite,None,None
25,011,Problems,ESA SENSACION CUANDO TE ACABAN DE ASIGNAR TAREAS,None,None
27,003,Ay Si,ay si hay si dice que justin bieber es  gay y se cree el rey de romma,None,None
32,001,Ancient Aliens,' nicolas,None,None
33,001,Ancient Aliens,' oscar,None,None
34,001,Ancient Aliens,' gordo,None,None
40,011,Problems,por q tu papa nunca uso condon,None,None
41,001,Ancient Aliens,¿steven ? es gay,None,None
42,001,Ancient Aliens,' Nikolas,None,None
46,005,Disaster Girl,otra agencia de   PUBLICIDAD MENOS,None,None
52,008,Matias Prats,Y ANTES DEL TIEMPO UNA NOTICIA DE ULTIMA HORA EL ATLETI SIGUE SIN NINGUNA CHAMPIONS,None,None
61,001,Ancient Aliens,... carnales,None,None
62,006,Filosoraptor,donde ire este verano 2014 mmmm.. a posa seria buena opcion,None,None
67,004,Bad Luck Brian,se quejan de la inseguridad Se la pasan escuchando canciones que promueven la violencia y el narcotrafico.,None,None
68,005,Disaster Girl,no te costaba nada bajar la musica de tu 28,None,None
79,009,No me digas,no me digas,None,None
92,010,Prepare Yourself,prepare yourself santiago is coming,None,None
93,002,Annoying Gamer Kid,soy el mejor pase el prototype en facil,None,None
99,003,Ay Si,"Ay si, gran vaina Justin Bieber se vuelve mas popular que Jean Carlos Centeno. Gran Vaina!!!",None,None
101,003,Ay Si,futbol??? eso es del conur,None,None
106,006,Filosoraptor,Se puede ser el mejor hermano del mundo Teniendo a la peor hermana del mundo?,None,None
110,006,Filosoraptor,Avila  Sanit,None,None
120,012,Willy Wonka,"aja, buscaste la estrategia de las k p/conquistar el derecho al aborto que se siente ver la ventanita de google vacia?",None,None
123,005,Disaster Girl,franco esta va a ser tu casa,None,None
127,011,Problems,a planchar nooo hoy no hay chela,None,None
129,012,Willy Wonka,asi que buscaste en google derecho al aborto estrategia kirchnerista que se siente ver no no no en todas las paginas?,None,None
132,012,Willy Wonka,"si claro claro macri es re reaccionario  entonces, me decias, que opina cfk sobre el derecho al aborto_",None,None
136,012,Willy Wonka,"si claro macri esta re en contra de los derechos de las mujeres en cambio, me decias, que opina cfk sobre el derecho al aborto?",None,None
137,012,Willy Wonka,"asi que bancas el modelo, sos k contame que se siente justificar la represion a las maestras",None,None
149,005,Disaster Girl,que no te gusta como te molesto,None,None
151,003,Ay Si,Hayy si Hayy sii..me creo. mucho porque ya yego mi amorr..Saul lisazo..jajajajja,None,None
156,006,Filosoraptor,rex  eres tu ?,None,None
158,005,Disaster Girl,Yo solo queria POLLITO A LO KFC,None,None
164,006,Filosoraptor,luego no era Iru german,None,None
166,005,Disaster Girl,hoy iba a cocinar iba,None,None
172,005,Disaster Girl,el VECINO queria celebrar miercoles de ceniza ¡queria!,None,None
173,005,Disaster Girl,mi vecino escuchaba banda ¡escuchaba!,None,None
175,002,Annoying Gamer Kid,HOla me llamo david,None,None
180,005,Disaster Girl,Dijo que Arctic monkeys no era buena musica Y le mostre the fire and the thud,None,None
183,005,Disaster Girl,Dijo que Arctic monkeys no era buena musica Y le puse the fire and the thud,None,None
184,005,Disaster Girl,y asi fue la historia del infiel,None,None
190,006,Filosoraptor,sera q... o tal vez...,None,None
191,005,Disaster Girl,Miren  La casa de betza en tiempos de ambre,None,None
196,006,Filosoraptor,si los zombies van a tu casa zombienvenidos?,None,None
209,006,Filosoraptor,"uno no sabe gobernar y es corrupto, el otro no gobierna y ya roba agua lucas rodriguez no tiene denuncias, y es profesional y profesor de post grado, con una vida exitosa, a quien elegir para chiclayo?",None,None
210,006,Filosoraptor,GRACIAS POR SU   ATENCION,None,None
211,005,Disaster Girl,yo le dije ala yelika que no hablara weas¡¡¡ :(,None,None
214,006,Filosoraptor,q pedo con los pedos  si los pedos son pedos ?,None,None
222,006,Filosoraptor,"uno no sabe gobernar yes corrupto, el otro ni gobierna y ya roba agua lucas rodriguez no tiene denuncias, es un profesional exitoso, con experiencia y honesto. a quien elegir para chiclayo?",None,None
229,006,Filosoraptor,si la formula del agua es h2o  el agua bendita sera h,None,None
231,006,Filosoraptor,"Si maduro es colombiano porque colombia no puede probarlo, es un rumor o es que no le interesa",None,None
236,005,Disaster Girl,Mi madre me castigo sin feria... ... y la he liado,None,None
