,meme_id,plantilla,texto_no_tilde,text_1,text_2
3,002,Annoying Gamer Kid,VOY A TUNEAR LA PC CON FOTITOS DE PEUGEOT,None,None
5,012,Willy Wonka,Asi que vas al gym hace 2 años y no tomas proteinas que se siente tener el mismo cuerpo de cuando comenzaste a ir,None,None
9,012,Willy Wonka,ASI QUE TE LEVANTAS A LAS 3 AM QUE SE SIENTE SER TAN ADICTO DEL PC,None,None
14,004,Bad Luck Brian,pierde un año para estarcon su novia terminan,None,None
23,003,Ay Si,Ay Si Nos Enpataron en el metro y  ahora se sienten ganadores en el  Atanacio,None,None
24,004,Bad Luck Brian,se pasa a clinica privada no hay citas disponibles,None,None
25,011,Problems,Y niuna tetiTa Me toco,None,None
27,008,Matias Prats,CAMPERO MATA A CONNOR Y CONNOR LE CORTO LOS WEVOS,None,None
29,001,Ancient Aliens,los pronosticos dicen dame like si es k sentiste el sismo y si no te pateo las ¿....?como a robert,None,None
31,003,Ay Si,Ay si Ay si No voy a jugar porque tengo tareas...,None,None
32,004,Bad Luck Brian,eres muy tonto tu mas,None,None
38,003,Ay Si,"HAY SI, APOSTE LAS CEJAS POR MI REAL MADRID Y HOY NO ME LAS QUIERO QUITAR JEJE",None,None
52,003,Ay Si,AY SI AY SI  HACE SU MEME Y YA SE CREE MALA,None,None
56,012,Willy Wonka,ASI QUE TE FUISTE A LOS (USA) Y QUE SE SIENTE SOLO IR A CUIDAR A TU PAREJA XD,None,None
60,010,Prepare Yourself,Brace yourselves grudniowy grafik is coming,None,None
63,004,Bad Luck Brian,va a una fiesta vestido de  spiderman  matan a su tio,None,None
64,009,No me digas,NO ME DIGAS  CHIVOLERO,None,None
69,004,Bad Luck Brian,tiene mil pedales compra kemper,None,None
72,009,No me digas,NO JODAS NO ME DIGAS,None,None
77,013,Yao Wonka,"UNAS NAVIDADES SIN PIROTECNIA ES, COMO UNA BODA SIN RON NI CERVEZAS..",None,None
79,009,No me digas,NO JODAS ME IMPORTA UNA MI..,None,None
99,008,Matias Prats,las noticias mas importantes del dia no hay mejor pagina en facebook. ke. el salvador talento real 503 de cora,None,None
103,004,Bad Luck Brian,Estudia toda la noche para la interrogacion la profesora no la interroga,None,None
109,013,Yao Wonka,pobres hondureños jeje con juan robando,None,None
112,012,Willy Wonka,tee doiii como normandin al porn*,None,None
113,012,Willy Wonka,asi que te gusta comer comlpetos que se siente que no sean completos y sean penes ?,None,None
122,012,Willy Wonka,se burla de rakion juega audition para germa,None,None
124,003,Ay Si,HAY SI HAY SI QUE MALOTA,None,None
130,013,Yao Wonka,Si claro con tu disfraz seras identico al personaje original,None,None
135,005,Disaster Girl,Ellos Criticaban a no memes CriticAban!!!,None,None
136,012,Willy Wonka,que pasa cuando hay un tsunimi en africa? chococrispi,None,None
140,012,Willy Wonka,Asi que votastes por joh  que se siente ser tonto y retrasado,None,None
141,009,No me digas,ASU QUE LINDA ES BREISY,None,None
142,001,Ancient Aliens,es ke mira loko tiene un bomper asi de riko mira. ufffffffff el salvador talento real 503 de cora,None,None
144,004,Bad Luck Brian,se sube a un camion y dice ¡¡benia manejando el toreto!!,None,None
147,001,Ancient Aliens,ESO TRATO pero no puedo,None,None
153,004,Bad Luck Brian,Consigue ir a la casa de su amigo con una buena excusa su hermana no esta,None,None
154,004,Bad Luck Brian,hola I'M PEDRO,None,None
156,007,Futurama Fry,No seamos tan pendejos,None,None
158,004,Bad Luck Brian,tengo mala suerte pero me siento afortunado de no ser pedro,None,None
165,001,Ancient Aliens,...  MMEXICO,None,None
