,meme_id,plantilla,texto_no_tilde,text_1,text_2
14,009,No me digas,ohhh no me digas!!,None,None
21,009,No me digas,me estan  siguiendo???,None,None
22,006,Filosoraptor,le pregunte a mi perro como me veo y me dijo ¡ guau ! el no me miente por eso lo kiero,None,None
24,005,Disaster Girl,HAY VIVIA MI HERMANO SE COMPRO UN XBOX ONE Y ESO PASO,None,None
31,013,Yao Wonka,mas aburro que ''confesiones sutamarchan pagina oficial'',None,None
33,009,No me digas,En Serio!! no te creo  Richy,None,None
43,013,Yao Wonka,jajajjajaajaj esto es lo mas gay que he visto,None,None
44,005,Disaster Girl,se los dije... fiesta kids es mejor,None,None
45,004,Bad Luck Brian,es su primer dia de trabajo  en racoon city,None,None
48,004,Bad Luck Brian,es su primer dia de trabajo  en raccoon city,None,None
84,008,Matias Prats,El dia de hoy les informamos que alguien no aguanta bromas,None,None
87,004,Bad Luck Brian,BAja de pEso para ser atractivo Les gustan los maes con panza,None,None
93,006,Filosoraptor,why everyone have a alicorn oc?,None,None
104,006,Filosoraptor,Sigo preguntandome... que es ser 150 KM,None,None
120,002,Annoying Gamer Kid,soy un troll equisde,None,None
124,002,Annoying Gamer Kid,me dicen gay solo por jugar a CDM,None,None
128,006,Filosoraptor,q talento en minecraft de seguro no tiene vida social,None,None
134,006,Filosoraptor,si es peter pan sera wuendi bolillo,None,None
153,003,Ay Si,HOY ES MI PRIMER DIA DE CLASES Y LO PUBLICO EN EL FACE,None,None
157,006,Filosoraptor,Me pregunto yo... que hara tanto la rachell en el baño jajaja,None,None
161,011,Problems,ParA que le pasaba el  Numero se alex a chava,None,None
165,001,Ancient Aliens,Excelente guisada le hizo falta panceta pero excelente guisada,None,None
166,011,Problems,ParA que le pasaba el  Numero se alex  a  chava,None,None
170,004,Bad Luck Brian,jueves festivo no tiene clase,None,None
182,008,Matias Prats,en otras noticias gudiño quieres con la licen barros,None,None
187,009,No me digas,Y QUE QUERES  QUE HAGA MMMN,None,None
193,003,Ay Si,negraaaaa ya no empieces,None,None
197,009,No me digas,"a la isa le gusta el luis?? Wtf, Fue al oculista?",None,None
202,004,Bad Luck Brian,foldea 1.3M sale de 8vo,None,None
216,009,No me digas,ne me  digas,None,None
218,009,No me digas,no me digas,None,None
221,005,Disaster Girl,"Me dijo que los verdaderos goticos, no hacen pic",None,None
228,006,Filosoraptor,P vos Filosofeitor del feibu!!!!,None,None
233,004,Bad Luck Brian,decide estudiar publi de nuevo las materias son un asco,None,None
235,004,Bad Luck Brian,no tiene amigos postea en feria de las pulgas,None,None
236,008,Matias Prats,ULTIMA HORA.... MARIA FERNANDA SE INVENTA EL ESTADO QUE USTED QUIERA...,None,None
244,013,Yao Wonka,Jajajaja prepara el tuyo que yo vengo es con toda,None,None
253,006,Filosoraptor,"JUSTIN BIEBER TIENE 9,858,063 fans me pregunto cuantos haters tendran",None,None
259,006,Filosoraptor,"JUSTIN BIEBER TIENE 9,858,063 fans me pregunto cuantos haters tendra",None,None
266,009,No me digas,oiie el ian es weco enserio me estay weando,None,None
274,009,No me digas,anda.... no me digas ?,None,None
283,003,Ay Si,"Ay si ay ahora todos publican sus fotos editados por ""retrica""",None,None
290,009,No me digas,dime que se siente  ser pulpin niña,None,None
300,008,Matias Prats,noticia de ultimo minuto  la guerra de memes ha finalizado,None,None
305,008,Matias Prats,ULTIMA NOTICIA CLAUDIA Y SU  LICORERA MAS POPULAR Q FERIA DE FLORES,None,None
310,003,Ay Si,. AY SI AHORA TODOS SON DEL MADRID,None,None
314,003,Ay Si,AY SI AHORA TODOS SON DEL MADRID,None,None
320,003,Ay Si,ahi si... ahi si ya sabe crear memes ahi si....,None,None
321,013,Yao Wonka,asi que buscas batero que se siente que te dejen en visto,None,None
324,012,Willy Wonka,se LE ACHORA A NOE  LE METEN UN CABEZASO,None,None
326,007,Futurama Fry,ZENAILY POR que ERES TAN pasada,None,None
327,012,Willy Wonka,SE LE ACHORA A NOE  LE METE UN CABEZASO,None,None
328,012,Willy Wonka,Guerra de iMAGENES,None,None
337,003,Ay Si,Ay Si Ay si Mañana canto en yo soy,None,None
338,006,Filosoraptor,Yo vi a independiente campeon de la libertadores,None,None
343,009,No me digas,tormen  como te salio la cena??,None,None
346,008,Matias Prats,noticia de ultimo minuto pedro ingreso a la andina pagando,None,None
362,004,Bad Luck Brian,le enseña a jugar magic a la novia quiere un mazo hada,None,None
378,008,Matias Prats,ultima noticia ya no somos amigoss :D,None,None
386,008,Matias Prats,en otras noticias betty es una mujer hermosa y la quiero mucho,None,None
392,008,Matias Prats,Ultimas noticias acaban de informarnos que cole es el responsable de iniciar esta publicacion,None,None
408,003,Ay Si,ay me voy..... ustedes no me ayudan :(,None,None
409,004,Bad Luck Brian,Le sale un viaje a EEUU EEUU entra en guerra,None,None
411,001,Ancient Aliens,SOLO HAY UNA EXPLICACION PARA ESTO COREANOS,None,None
413,011,Problems,te amo pero me  alejare de ti,None,None
414,008,Matias Prats,Ultima hora Soy tu heroe,None,None
415,002,Annoying Gamer Kid,activando escudo de virginidad de niño rata,None,None
424,012,Willy Wonka,que no tienes vida propia?  deja de molestarmeeeeeeeee,None,None
435,005,Disaster Girl,yo solo queria  socializar...,None,None
437,013,Yao Wonka,le dicen glorioso empieza en gloria y termina en oso,None,None
450,007,Futurama Fry,se cree cuica y caga ma ediondo la ctm,None,None
454,009,No me digas,te amo mauricio enserio yamarys,None,None
462,001,Ancient Aliens,oee chibolo alucinado!!! maduraaaaa carajoo !!!,None,None
466,013,Yao Wonka,que la comida de subway es mejor que la tradiciona? !pajudo!,None,None
472,012,Willy Wonka,"ASI QUE CRITICABAS A LAS NOVIAS DE TUS AMIGOS POR  FEAS Y EXHIBICIONISTAS. . . dIME, QUE SE SIENTE QUE TU NOVIA SEA PRODUCTORA DE BAILES SONIDEROS...",None,None
487,009,No me digas,se acaloro cielito!!!,None,None
