,meme_id,plantilla,texto_no_tilde,text_1,text_2
36,007,Futurama Fry,casualmente los jueves me  llega la sed  o sera por que trabajo en macsa,casualmente los jueves me  llega la sed , o sera por que trabajo en macsa
95,003,Ay Si,Ay si ay si chupalo hasta que se te caiga la lengua,Ay si ay si, chupalo hasta que se te caiga la lengua
124,007,Futurama Fry,es idiota  o es imbecil,es idiota , o es imbecil
143,007,Futurama Fry,no se quien es mas tonto Johnny araña por decir que el casado vale mil o danny y sus memes,no se quien es mas tonto Johnny araña por decir que el casado vale mil, o danny y sus memes
165,003,Ay Si,"ay si ay si ahora luisa robledo  me la encuentro en todos lados, me tiene la perseguidora",ay si ay si, ahora luisa robledo  me la encuentro en todos lados me tiene la perseguidora
170,003,Ay Si,"Ay si, ay si me cotizo",Ay si ay si, me cotizo
203,012,Willy Wonka,asi que tu eres patricia lopez? dime que se siente ser la bb bonita mas buena de toda españa?,asi que tu eres patricia lopez? ,dime que se siente ser la bb bonita mas buena de toda españa?
207,003,Ay Si,ay si ay si se confundio de llamada y justo me llama a mi,ay si ay si, se confundio de llamada y justo me llama a mi
209,011,Problems,me dijeron que me esperaban en informatica y se fueron al bunker sin avisar,me dijeron que me esperaban en informatica, y se fueron al bunker sin avisar
222,011,Problems,"le dije: juega tloz ocarina of time y ella me pregunto ""¿esta para Ps2?""",le dije: juega tloz ocarina of time," y ella me pregunto ""¿esta para Ps2?"""
225,003,Ay Si,uy si te crees bacan por los memes que te pasan,uy si, te crees bacan por los memes que te pasan
235,012,Willy Wonka,asi que bailas por devocion? dime que se siente retar a la iglesia...hacer lo que te da la gana y encima destruir la naturaleza?,asi que bailas por devocion? ,dime que se siente retar a la iglesia...hacer lo que te da la gana y encima destruir la naturaleza?
270,004,Bad Luck Brian,va caminando se cae,va caminando, se cae
274,006,Filosoraptor,"si en toy story 1 , buzz al principio no sabia que era un juguete ¿porque se quedaba inmovil cuando estaba con andy?",si en toy story 1  buzz al principio no sabia que era un juguete ,¿porque se quedaba inmovil cuando estaba con andy?
276,003,Ay Si,"ay si ay si, me gusta el fierro y quiero que me defiendas mine",ay si ay si, me gusta el fierro y quiero que me defiendas mine
294,007,Futurama Fry,No se si el es el idiota o nosotros por comentar,No se si el es el idiota, o nosotros por comentar
317,003,Ay Si,ay si ay si ahora cambio mi voto,ay si ay si, ahora cambio mi voto
318,003,Ay Si,"Ay si, ay si.. tienes novia y ya te cres un romantico goldo",Ay si ay si,.. tienes novia y ya te cres un romantico goldo
329,007,Futurama Fry,es idea mia  o ya no veo gente con la polera de la u,es idea mia , o ya no veo gente con la polera de la u
382,003,Ay Si,ay si ay si  ya no me junto contigo porq estoy con nepo,ay si ay si,  ya no me junto contigo porq estoy con nepo
392,012,Willy Wonka,dime que se siente  volver a la realidad,,dime que se siente  volver a la realidad
405,012,Willy Wonka,asi q t cres mucho por estudiar en la fimee dime q se siente llegar en guajolotero,asi q t cres mucho por estudiar en la fimee ,dime q se siente llegar en guajolotero
415,012,Willy Wonka,asi que te llamas keila garcia dime que se siente ser tan bonita y linda persona,asi que te llamas keila garcia ,dime que se siente ser tan bonita y linda persona
445,012,Willy Wonka,cuentame que fue lo que lograron,,cuentame que fue lo que lograron
447,012,Willy Wonka,asi q en la fimee estan los mejores alumnos dime q se siente convivir con puros nerdos q se sienten cr7,asi q en la fimee estan los mejores alumnos ,dime q se siente convivir con puros nerdos q se sienten cr7
454,004,Bad Luck Brian,por fin alguien le hace caso  se va del pais.,por fin alguien, le hace caso  se va del pais.
489,004,Bad Luck Brian,Quiere cambiarse el nombre porque no le gusta Le ponen brutalbossx,Quiere cambiarse el nombre porque no, le gusta Le ponen brutalbossx
520,006,Filosoraptor,dicen que votaran en blanco ¿Han leido todas las propuestas para no estar de acuerdo con ninguna?,dicen que votaran en blanco ,¿Han leido todas las propuestas para no estar de acuerdo con ninguna?
527,007,Futurama Fry,No se si me esta desafiando o solo me esta regañando por tardarme en hacer las imagenes,No se si me esta desafiando, o solo me esta regañando por tardarme en hacer las imagenes
536,004,Bad Luck Brian,por fin alguien le hacer caso se va del pais,por fin alguien, le hacer caso se va del pais
537,007,Futurama Fry,"Es hablando de mi, o de ya sabemos quien?",Es hablando de mi, o de ya sabemos quien?
539,007,Futurama Fry,no se si sus memes son repetitivos o ya se le rayo el cerebro,no se si sus memes son repetitivos, o ya se le rayo el cerebro
540,012,Willy Wonka,asi que sacaste 4 dime que se siente que villagomez te gane,asi que sacaste 4 ,dime que se siente que villagomez te gane
571,008,Matias Prats,noticia de ultima hora  unas abanilleras en una  despedida de soltera han destrozado Granada,noticia de ultima hora,  unas abanilleras en una  despedida de soltera han destrozado Granada
591,003,Ay Si,"ay si, ay si me asusto porque no se que dedcirle a mi futura flaca xd",ay si ay si, me asusto porque no se que dedcirle a mi futura flaca xd
597,004,Bad Luck Brian,juega una ranked le toca con galil,juega una ranked, le toca con galil
599,003,Ay Si,"ay si, ay si me asusto porque no se que decirle a mi futura flaca xd",ay si ay si, me asusto porque no se que decirle a mi futura flaca xd
637,012,Willy Wonka,Enserio cuentame mas  Maria fernanda calderon e.e,Enserio ,cuentame mas  Maria fernanda calderon e.e
658,011,Problems,Raul no me ayudo en altas y bajas..!!,Raul no me ayudo en altas, y bajas..!!
690,003,Ay Si,"ay si ay si , engana que adelanta cursos pero si esta llevando 5 desaprobados",ay si ay si,  engana que adelanta cursos pero si esta llevando 5 desaprobados
693,012,Willy Wonka,"Asi que administras una pagina con 3053 likes dime, ¿que se siente que tus publicaciones lleguen a maximo 7 likes?",Asi que administras una pagina con 3053 likes ,dime ¿que se siente que tus publicaciones lleguen a maximo 7 likes?
703,003,Ay Si,"ay si ay si , engana que adelanta cursos pero si esta llevando 5 desaprobados",ay si ay si,  engana que adelanta cursos pero si esta llevando 5 desaprobados
706,011,Problems,"gorda le DIje, y me dijo QUE artistas como botero no pintaban feas",gorda le DIje, y me dijo QUE artistas como botero no pintaban feas
722,003,Ay Si,ay si el payo batman que me amenasa en mi pais,ay si, el payo batman que me amenasa en mi pais
732,011,Problems,"gorda le DIje, y me dijo: oye fea a mi se me quita con ejercicio, tu?",gorda le DIje, y me dijo: oye fea a mi se me quita con ejercicio tu?
749,006,Filosoraptor,Si T! ya no permite nada que viole los derechos de autor ¿No deberian borrar los links a youtube que violen este principio?,Si T! ya no permite nada que viole los derechos de autor ,¿No deberian borrar los links a youtube que violen este principio?
757,003,Ay Si,"ay si, ay si tecrees con tu tatuaje y es falso",ay si ay si, tecrees con tu tatuaje y es falso
783,003,Ay Si,se cree muy popular y tiene un bolso de la plaza hay si no gran vaina,se cree muy popular y tiene un bolso de la plaza hay si, no gran vaina
807,003,Ay Si,"uy si uy si , uso drupal y me creo machote",uy si uy si,  uso drupal y me creo machote
833,004,Bad Luck Brian,"Ingresa a URGENCIAS, se intuba, sondea, tac, Se subroga ventilador No tiene vigencia",Ingresa a URGENCIAS, se intuba sondea tac Se subroga ventilador No tiene vigencia
840,007,Futurama Fry,mi idea o es  la misma foto de siempre,mi idea, o es  la misma foto de siempre
864,007,Futurama Fry,no se si lo tuyo es flojera o fatiga cronica,no se si lo tuyo es flojera, o fatiga cronica
872,012,Willy Wonka,Asi que no has tenido tiempo de estudiar sucesiones... cuentame como llegaste al nivel 200 de candy crush,Asi que no has tenido tiempo de estudiar sucesiones... ,cuentame como llegaste al nivel 200 de candy crush
910,007,Futurama Fry,no se si me quieres o me amas,no se si me quieres, o me amas
939,012,Willy Wonka,Asi q COGISTE el 1 y te enojaste con tus amigos dime q se siente ser tan idiota?,Asi q COGISTE el 1 y te enojaste con tus amigos ,dime q se siente ser tan idiota?
966,007,Futurama Fry,No se si me parece mono o asqueroso,No se si me parece mono, o asqueroso
986,012,Willy Wonka,asi que eres erick? dime que se siente qu se burlen de tus fotos xD,asi que eres erick? ,dime que se siente qu se burlen de tus fotos xD
1013,004,Bad Luck Brian,Se llama brutalbossx Galil le roba la penta,Se llama brutalbossx Galil, le roba la penta
1037,008,Matias Prats,en ultimas noticias no e visto nada peor,en ultimas noticias, no e visto nada peor
1079,003,Ay Si,ay si ella la enojada,ay si, ella la enojada
1089,006,Filosoraptor,si dios es tan bueno ¿por que le temen?,si dios es tan bueno ,¿por que le temen?
1114,012,Willy Wonka,asique buscas novia dime que se siente ser un  urgido,asique buscas novia ,dime que se siente ser un  urgido
1116,004,Bad Luck Brian,Se amanece haciendo el trabajo se va la luz en isil,Se amanece haciendo el trabajo, se va la luz en isil
1134,004,Bad Luck Brian,Trabaja todo el mes Se le pierde la plata,Trabaja todo el mes Se, le pierde la plata
1135,003,Ay Si,ay si ay si  k guapo..!,ay si ay si,  k guapo..!
1150,003,Ay Si,ay si ay si ya hablo con diosito!,ay si ay si, ya hablo con diosito!
1153,008,Matias Prats,noticia de ultima hora se busca cdc para esta pagina,noticia de ultima hora, se busca cdc para esta pagina
1201,003,Ay Si,"ay si, ay si le pongo una ""s"" al final de las palabras y me siento fresa",ay si ay si," le pongo una ""s"" al final de las palabras y me siento fresa"
1219,003,Ay Si,ay si ay si ando de fari en el templo y bien que publico groserias,ay si ay si, ando de fari en el templo y bien que publico groserias
1230,003,Ay Si,Ay si! ay si! Momo es una blanca palomiTa!!!,Ay si! ay si,! Momo es una blanca palomiTa!!!
1234,003,Ay Si,hay si y penso q me iva  a morir jajaj xd q va toy mas vivo,hay si, y penso q me iva  a morir jajaj xd q va toy mas vivo
1237,012,Willy Wonka,asi  que te llamas melisa loayza dime que se siente  ser una gatita,asi  que te llamas melisa loayza ,dime que se siente  ser una gatita
1250,012,Willy Wonka,asi que solo juegas con bara y huskar dime que se siente ser tan noob?,asi que solo juegas con bara y huskar ,dime que se siente ser tan noob?
1258,003,Ay Si,ay si ay si k malo mejor pegame,ay si ay si, k malo mejor pegame
1268,007,Futurama Fry,No se si juega lol o solo lo graba,No se si juega lol, o solo lo graba
1287,007,Futurama Fry,no se si sera mujer o hombre  pero parece estupido con esa blusa,no se si sera mujer, o hombre  pero parece estupido con esa blusa
1312,006,Filosoraptor,si te mando hola ¿ me contestaras ?,si te mando hola ,¿ me contestaras ?
1319,004,Bad Luck Brian,se alegra por su nuevo celular y su celular se malogra,se alegra por su nuevo celular y su celular, se malogra
1320,007,Futurama Fry,metiste cannabis o te violo tico,metiste cannabis, o te violo tico
1324,007,Futurama Fry,no se si es sarcasmo o es idiota,no se si es sarcasmo, o es idiota
1330,012,Willy Wonka,asi que sacaste un high performance dime que se siente tener una mano bionica,asi que sacaste un high performance ,dime que se siente tener una mano bionica
1340,004,Bad Luck Brian,no va a taller se saca la medalla,no va a taller, se saca la medalla
1348,004,Bad Luck Brian,Quiere jugar dota  si mouse se malogra,Quiere jugar dota  si mouse, se malogra
1349,012,Willy Wonka,asi que trabajas de a gratis dime que se siente levantarse alas 5 am,asi que trabajas de a gratis ,dime que se siente levantarse alas 5 am
1355,003,Ay Si,hay si  ya sabe hacer ya se cree,hay si,  ya sabe hacer ya se cree
1381,012,Willy Wonka,asi que saliste en halloween dime que se siente tener una mascara todo el año,asi que saliste en halloween ,dime que se siente tener una mascara todo el año
1383,004,Bad Luck Brian,Pierde su virginidad le da sida,Pierde su virginidad, le da sida
1386,012,Willy Wonka,y dime que se siente publicar fotos de tus negros?,y ,dime que se siente publicar fotos de tus negros?
1388,006,Filosoraptor,"SI CUANDO MUERES ""ESTAS MÁS CERCA A DIOS"" ¿Sera porque dejas de existir?","SI CUANDO MUERES ""ESTAS MÁS CERCA A DIOS"" ",¿Sera porque dejas de existir?
1399,012,Willy Wonka,dime que se siente  tener un primo pendejo,,dime que se siente  tener un primo pendejo
1414,003,Ay Si,Ay si ay si Me caga peña pero si me da el dÍa no voy a trabajar,Ay si ay si, Me caga peña pero si me da el dÍa no voy a trabajar
1416,012,Willy Wonka,asi que andas lamiendo el microfono ee  dime..a que te sabe,asi que andas lamiendo el microfono ee  ,dime..a que te sabe
1417,003,Ay Si,ay si  que la farc  quiere la paz,ay si,  que la farc  quiere la paz
1421,012,Willy Wonka,dime que se siente ser  el mas gays de todos los gays,,dime que se siente ser  el mas gays de todos los gays
1426,012,Willy Wonka,dime que se siente emborracharse y enfiestarte en el baño de base,,dime que se siente emborracharse y enfiestarte en el baño de base
1430,012,Willy Wonka,dime que se siente emborracharse y enfiestarse en el baño de base,,dime que se siente emborracharse y enfiestarse en el baño de base
1445,004,Bad Luck Brian,"no toma proteina ""se va morir"" se fuma 20 cigarros diarios","no toma proteina ""se va morir""", se fuma 20 cigarros diarios
1461,004,Bad Luck Brian,estas en lo cierto  hijo de la chingada madre,estas en, lo cierto  hijo de la chingada madre
1463,004,Bad Luck Brian,se salva de un avionazo le cae un radio en la cabeza y muere,se salva de un avionazo, le cae un radio en la cabeza y muere
1468,003,Ay Si,ay si ay si  me vas a decir que hacer  daaahhh,ay si ay si,  me vas a decir que hacer  daaahhh
1474,004,Bad Luck Brian,se compra lentes de contacto para conseguir minas se agarra a la mas gorda de la fiesta,se compra lentes de contacto para conseguir minas, se agarra a la mas gorda de la fiesta
1480,007,Futurama Fry,No se si ando como crack o simplemente no tenian muchas expectativas,No se si ando como crack, o simplemente no tenian muchas expectativas
1487,006,Filosoraptor,¿Y si telltale Games ya hizo los 5 episodios  pero los publica uno por uno para que el juego tenga mas suspenso?,,¿Y si telltale Games ya hizo los 5 episodios  pero los publica uno por uno para que el juego tenga mas suspenso?
1529,004,Bad Luck Brian,Su primera vez en el chongo se le rompe el poncho y sale con siyao,Su primera vez en el chongo, se le rompe el poncho y sale con siyao
1541,003,Ay Si,ay si ay si te crees por que el sabado son tus 15 lol,ay si ay si, te crees por que el sabado son tus 15 lol
1543,003,Ay Si,hay si me  hago la loca,hay si, me  hago la loca
1554,004,Bad Luck Brian,le ofrecen regalarle un libro lo rechaza por verguenza,le ofrecen regalarle un libro, lo rechaza por verguenza
1555,011,Problems,el johnny182 dijo no dolera y me lo rompio,el johnny182 dijo no dolera, y me lo rompio
1584,004,Bad Luck Brian,"va 1 dia al gym haciendose el rambo se fractura el brazo izquierdo, lo muerde un perro y lo pisa un auto",va 1 dia al gym haciendose el rambo, se fractura el brazo izquierdo lo muerde un perro y lo pisa un auto
1588,004,Bad Luck Brian,"va un dia al gym haciendose el rambo se fractura el brazo izquierdo, lo muerde un perro y lo pisa un auto",va un dia al gym haciendose el rambo, se fractura el brazo izquierdo lo muerde un perro y lo pisa un auto
1600,003,Ay Si,Ay si ay si ahora te molesto xq ya se me paso,Ay si ay si, ahora te molesto xq ya se me paso
