,meme_id,plantilla,texto_no_tilde,text_1,text_2
4,004,Bad Luck Brian,da 100 vueltas al mundo andando lo hace a 2km/h,da 100 vueltas al mundo andando, lo hace a 2km/h
5,011,Problems,saludas... y ni te pelan,saludas..., y ni te pelan
31,007,Futurama Fry,no se si la cami esta de mi lado o del lado de ella ...,no se si la cami esta de mi lado, o del lado de ella ...
38,004,Bad Luck Brian,pelear se romper el labio con sus propios frenillos,pelear, se romper el labio con sus propios frenillos
57,013,Yao Wonka,"dime que se siente escribir ""poesia lebertaria"" para amenisar los eventos del ica",,"dime que se siente escribir ""poesia lebertaria"" para amenisar los eventos del ica"
78,003,Ay Si,"¡ay si, ay si! le digo a los demas que son gais para pasar piola",¡ay si ay si,! le digo a los demas que son gais para pasar piola
79,008,Matias Prats,noticia de ultima hora amex se enojo,noticia de ultima hora, amex se enojo
150,007,Futurama Fry,No se si es ley de hielo o te quedaste muda,No se si es ley de hielo, o te quedaste muda
180,003,Ay Si,ay si defiendo a mi harmanito,ay si, defiendo a mi harmanito
225,012,Willy Wonka,Asi que queria salir de vacaciones ? cuentame que se siente que se te olviden.,Asi que queria salir de vacaciones ? ,cuentame que se siente que se te olviden.
241,011,Problems,teniamos todo agendado y a este ctm se olvido salir,teniamos todo agendado, y a este ctm se olvido salir
258,003,Ay Si,Ay si ay si Me creo mucho porque juego a la matatena,Ay si ay si, Me creo mucho porque juego a la matatena
272,012,Willy Wonka,dime sarahi que se siente ser una niña todavia jajajaja :P,,dime sarahi que se siente ser una niña todavia jajajaja :P
278,012,Willy Wonka,dime que se siente que te comparen con carlos almenar otero?,,dime que se siente que te comparen con carlos almenar otero?
280,012,Willy Wonka,dime que se siente ir a comprar leche???,,dime que se siente ir a comprar leche???
320,004,Bad Luck Brian,Por fin se anima a donar... la descalifican por grasa en la sangre,Por fin, se anima a donar... la descalifican por grasa en la sangre
339,003,Ay Si,uy si uy si todos los que quieras,uy si uy si, todos los que quieras
346,004,Bad Luck Brian,Intenta ligar arantxa le pega,Intenta ligar arantxa, le pega
350,004,Bad Luck Brian,Hay un incendio el bombero le pega,Hay un incendio el bombero, le pega
359,004,Bad Luck Brian,Tontea con arantxa hector le pega,Tontea con arantxa hector, le pega
393,007,Futurama Fry,no se que es mas estupido tu o tus comentarios,no se que es mas estupido tu, o tus comentarios
424,007,Futurama Fry,ellos facebook peligro cuidado mejor ellos debes facebook cerrar nunca o salir silencio,ellos facebook peligro cuidado mejor ellos debes facebook cerrar nunca, o salir silencio
498,012,Willy Wonka,Asi que compraste todos los tomos de x dime que se siente saber que no esta terminado,Asi que compraste todos los tomos de x ,dime que se siente saber que no esta terminado
515,004,Bad Luck Brian,Pide descuento para el almuerzo le piden 4.5 en el promedio,Pide descuento para el almuerzo, le piden 4.5 en el promedio
529,012,Willy Wonka,dime pelao que se siente no poder piratear esto,,dime pelao que se siente no poder piratear esto
634,003,Ay Si,hay si ha si como tiempblo,hay si, ha si como tiempblo
653,003,Ay Si,ay si como no,ay si, como no
674,003,Ay Si,ay si ay si la bonita .L.,ay si ay si, la bonita .L.
688,003,Ay Si,Hay si por q hago rap Tengo q fumar,Hay si, por q hago rap Tengo q fumar
703,003,Ay Si,"ay si ay si, leen 50 sombras de grey y creen que ya se saben el kamasutra",ay si ay si, leen 50 sombras de grey y creen que ya se saben el kamasutra
717,007,Futurama Fry,no se si acabo de perder la fe en la humanidad o si ya la habia perdido desde hace mucho tiempo,no se si acabo de perder la fe en la humanidad, o si ya la habia perdido desde hace mucho tiempo
726,007,Futurama Fry,No se si las colas son por necesidad o son por placer de la gente,No se si las colas son por necesidad, o son por placer de la gente
738,007,Futurama Fry,No se si la gente hace cola por necesidad o si ahora las hacen solo por hobbie,No se si la gente hace cola por necesidad, o si ahora las hacen solo por hobbie
748,007,Futurama Fry,nose si quieres morir o solo quieres un simulacro,nose si quieres morir, o solo quieres un simulacro
793,004,Bad Luck Brian,se compra una tortuga se le muere ahogada,se compra una tortuga, se le muere ahogada
901,012,Willy Wonka,asi que tu no perteneces al mejor equipo del ecuador bsc. dime que se siente saber que barcelona sc es mejor que tu equipo,asi que tu no perteneces al mejor equipo del ecuador bsc. ,dime que se siente saber que barcelona sc es mejor que tu equipo
913,006,Filosoraptor,"Si en guate le dicen ""Paja Rusa"" ¿En rusia le diran paja chapina?","Si en guate le dicen ""Paja Rusa"" ",¿En rusia le diran paja chapina?
915,007,Futurama Fry,nose si decir que gano el ulquiorra o el lobo,nose si decir que gano el ulquiorra, o el lobo
937,011,Problems,me dijo vamos a caminar por la orilla del mar y me empujo del muelle,me dijo vamos a caminar por la orilla del mar, y me empujo del muelle
1013,007,Futurama Fry,no se si soy muy inteligente o valeria no entiende que ya gane esta guerrra de memes,no se si soy muy inteligente, o valeria no entiende que ya gane esta guerrra de memes
1014,003,Ay Si,hay si me amenasa con espaditas minecraft ya madura pendejo,hay si, me amenasa con espaditas minecraft ya madura pendejo
1030,003,Ay Si,ay si ay si ahorro para el 14 de febrero < 7,ay si ay si, ahorro para el 14 de febrero < 7
1053,003,Ay Si,Ay si....ay si!! A mi me gusta de ladito!!!,Ay si....ay si,!! A mi me gusta de ladito!!!
1061,004,Bad Luck Brian,compra entradas para latitud sur lo cancelan,compra entradas para latitud sur, lo cancelan
1082,004,Bad Luck Brian,Levantan IPC desarrollo Al minuto se vuelve a caer,Levantan IPC desarrollo Al minuto, se vuelve a caer
1087,003,Ay Si,"ay si, y luego se desquitan contigo cuando ni te habian contado",ay si, y luego se desquitan contigo cuando ni te habian contado
1093,007,Futurama Fry,Es mi imaginacion o te gusta hacer todo lo que los demas hacen,Es mi imaginacion, o te gusta hacer todo lo que los demas hacen
1094,007,Futurama Fry,nose quien es mas pendejo el de la publicacion o el que le contesta,nose quien es mas pendejo el de la publicacion, o el que le contesta
1141,007,Futurama Fry,comenta tu foto y te hago una pareja o dispareja go go go,comenta tu foto y te hago una pareja, o dispareja go go go
1174,011,Problems,me dijo que era de rancho y resulto ser jotito,me dijo que era de rancho, y resulto ser jotito
1183,012,Willy Wonka,asi que eres magallenro dime que se siente no tener el tricampeonato,asi que eres magallenro ,dime que se siente no tener el tricampeonato
1187,003,Ay Si,"ay si, ay si viajo en primera clase",ay si ay si, viajo en primera clase
1203,003,Ay Si,ay si el tiene toda la razon,ay si, el tiene toda la razon
1209,004,Bad Luck Brian,le piden unas breves palabras el fermando le pasa el poema,le piden unas breves palabras el fermando, le pasa el poema
1235,004,Bad Luck Brian,se crea cuenta en google lo denuncian al minuto,se crea cuenta en google, lo denuncian al minuto
1236,008,Matias Prats,ultimas noticias el vaka se echo encima al marlon jajajaj xd,ultimas noticias, el vaka se echo encima al marlon jajajaj xd
1255,007,Futurama Fry,nose si tener un cumpleaños de minecraft o alien vs depredador,nose si tener un cumpleaños de minecraft, o alien vs depredador
1257,004,Bad Luck Brian,sus amigas lo invitan a beber no puede beber,sus amigas, lo invitan a beber no puede beber
1279,004,Bad Luck Brian,termina su casa lo hechan,termina su casa, lo hechan
1292,004,Bad Luck Brian,no hace el deber de coe se queda al supletorio,no hace el deber de coe, se queda al supletorio
1305,003,Ay Si,"ay si, Como pescadito pero sigo Panzon",ay si, Como pescadito pero sigo Panzon
