,meme_id,plantilla,texto_no_tilde,text_1,text_2
7,012,Willy Wonka,FELICIDADES FANI DISFRUTA DESTE DIA POR QUE NUNCA VOLVERAS A SER TAN JOVEN,None,None
9,012,Willy Wonka,FELICIDADES FANI DISFRUTA DE ESTE DIA POR QUE NUNCA VOLVERAS A SER TAN JOVEN,None,None
13,006,Filosoraptor,Si el respeto al derecho ajeno es la paz El respeto al izquierdo ajeno es la guerra?,None,None
16,005,Disaster Girl,que hago con esto tirala al suelo vale,None,None
17,006,Filosoraptor,ir corriendo al baño despues de almuerzo servira como ejercicio?,None,None
19,008,Matias Prats,"¡alerta! ¡alerta! este no es un simulacro OCEANA GOLD HA MOVILIZADO cinco buses con persona pagadas hacia la asamblea, para decir ""si a la MINERÍA""",None,None
25,004,Bad Luck Brian,sE UNE A LA ADETUPS EN EL 2017 SE LIQUIDA EN EL 2011,None,None
26,004,Bad Luck Brian,eNCUENTRA UN MAGIKARP SHINY SE TRANSFORMA EN DITTO,None,None
29,004,Bad Luck Brian,alguien te hace ojitos autoestima +1,None,None
30,008,Matias Prats,A Bolillo lo echaron de la seleccion por pegarle a la MOZA y a Armero lo convocan tras pegarle a la esposa. En Colombia la MOZA es intocable!,None,None
31,009,No me digas,Ten mucho cuidado Estoy mas loco que ripper ro,None,None
32,009,No me digas,Ten mucho cuidado Estoy mas loco que ripper roo,None,None
37,006,Filosoraptor,SI ZULUAGA Y GARCIA SALEN A MARCHAR... NOS TOCA SALIRNOS O DARLES EN LA JETA,None,None
45,010,Prepare Yourself,Preparense Ahi viene Medrano Jr con sus quejas de la Uni,None,None
50,004,Bad Luck Brian,Va a capacitacion Lo ponen a revisar actividades,None,None
57,004,Bad Luck Brian,se gana miss universo solo es linda en su pais,None,None
67,003,Ay Si,que malote la raptaron,None,None
70,003,Ay Si,Quien rompio la ventana Yo no fui fue el,None,None
72,001,Ancient Aliens,Rusch te deseo un gran regalote de este tamaño,None,None
78,005,Disaster Girl,Yo no fui mama Fueron mis manos,None,None
82,005,Disaster Girl,when se te quema la casa wenaaa cabroo,None,None
84,003,Ay Si,Todos tenemos ese Amigo que se mete en problemas pero no los acepta,None,None
104,003,Ay Si,"cOMO CUANDO ESTA SUPER CAGAO PERO DICE QUE LE DA LASTIMA aY SI, AY SI",None,None
105,012,Willy Wonka,Busco a Celina obeid Y a martina,None,None
107,003,Ay Si,"cOMO CUANDO ESTA SUPER CAGAO PERO DICE QUE NO LE METE POR QUE IQUE LE DA LASTIMA aY SI, AY SI",None,None
109,010,Prepare Yourself,No es por alterarlos pero imperial abrio una tienda de ropa,None,None
112,003,Ay Si,NO TE METO POR QUE ME DAS LASTIMA aY SI AY SI MARIQUITO,None,None
119,001,Ancient Aliens,el que te gorria Victor,None,None
120,004,Bad Luck Brian,se equivoca de nombre al crear un advertiser crea un ticket con la categoria bug,None,None
129,012,Willy Wonka,¿Que la felicidad no existe? Declaren tarde civica jajaja jajajaja,None,None
131,008,Matias Prats,Simona... NO HARÁ RISOTTO,None,None
134,006,Filosoraptor,Si el libro de Cantar de los Cantares es para los novios Entonces el libro de Lamentaciones es para los casados,None,None
138,013,Yao Wonka,Aqui nomas esperando Que se hagan las 9:00,None,None
139,007,Futurama Fry,como cuando prestas tus cosas con la mejor voluntad y no te las devuelven,None,None
