,meme_id,plantilla,texto_no_tilde,text_1,text_2
11,003,Ay Si,mmm,None,None
15,006,Filosoraptor,SIN BACTERIAS... yO hubiese existido???,None,None
19,004,Bad Luck Brian,Busca reggaeton Comienza que la sigan Rokeando,None,None
26,002,Annoying Gamer Kid,es meu  i nomes meu',None,None
29,012,Willy Wonka,Asi que le vas a la vinotinto Q se siente jugar solo en eliminatorias,None,None
34,005,Disaster Girl,mientras leo... estoy reiniciando,None,None
42,002,Annoying Gamer Kid,'A=0,None,None
43,002,Annoying Gamer Kid,'A=0,None,None
46,001,Ancient Aliens,NUNCA SON SUFICIENTES MONITORES,None,None
52,002,Annoying Gamer Kid,es meu  i nomes meu,None,None
53,002,Annoying Gamer Kid,es meu  i'A=0 nomes meu,None,None
54,002,Annoying Gamer Kid,es meu  i nomes meu'A=0,None,None
58,007,Futurama Fry,Cuando alguien te persigue en AMONG US,None,None
59,012,Willy Wonka,"Vi ho visto,state tornando tutti virologi e? Anche Briatore ha fatto i suoi grafici, utilizzando percentuali che  possono essere utizzare per una schedina dell'Enalotto...Oh my God",None,None
61,012,Willy Wonka,"Vi ho visto,state tornando tutti virologi e? Anche Briatore ha fatto dei grafici scrivendo percentuali che possono essere utizzate per una schedina dell'Enalotto...Oh my God",None,None
63,007,Futurama Fry,No se si soy muy bueno para matematicas O se me hace facil porque tengo todo mal,None,None
72,013,Yao Wonka,when when when but but but when when but :V papulinces:,None,None
74,007,Futurama Fry,por que me llamo tio si me casare con ella ?,None,None
90,004,Bad Luck Brian,Jomintin,None,None
91,011,Problems,el gobierno dijo que no vendera mas partes de Colombia... porque las que quedan son de sus familias,None,None
92,011,Problems,el gobierno dijo que no vendera mas partes de Colombia... pues las que quedan son de sus familias,None,None
93,011,Problems,Cuando te llama por telefono Y es para preguntarte por tus proyectos de inversion,None,None
95,003,Ay Si,el estado evadiendo su responsabilidad con el pais,None,None
99,005,Disaster Girl,"Hija voy a trabaja, te portas bien claro mama",None,None
103,005,Disaster Girl,el estado evadiendo su responsabilidad con el pais,None,None
106,005,Disaster Girl,el estado evadiendo SU RESPONSABILIDAD TERRITORIAL CON EL PAIS,None,None
109,004,Bad Luck Brian,Por fin es Viernes,None,None
111,013,Yao Wonka,La desigualdad socio territorial jajaja no existe,None,None
123,005,Disaster Girl,cOMO QUERIA VER LA CASA DEL ARBITRO,None,None
133,012,Willy Wonka,Mi hermano me habla con groserias Pero no me deja de hablar si no le doy plata,None,None
145,006,Filosoraptor,Hoy juega Colombia vs Somos locales o visitantes?,None,None
148,004,Bad Luck Brian,feo feo,None,None
157,003,Ay Si,La Pareja Calembe Keiser y Milena,None,None
158,008,Matias Prats,estado de alarma Todos los paletos se quedan en Madrid,None,None
159,012,Willy Wonka,ASI QUE ERES DE LA ESIMA? QUE SE SIENTE SER PITUFO?,None,None
161,008,Matias Prats,"Estado de alarma Todos los paletos, se quedan en Madrid",None,None
166,003,Ay Si,"oh yes, how is the boss, do what he says? regardless of our opinion",None,None
167,003,Ay Si,"oh yes oh yes Well, while I work on the autocratic model",None,None
172,004,Bad Luck Brian,Soy gay,None,None
173,002,Annoying Gamer Kid,hijo estudia!!! estoy estudiando,None,None
175,002,Annoying Gamer Kid,hijo estudia!!!'A=0 estoy estudiando,None,None
176,002,Annoying Gamer Kid,hijo estudia!!! estoy estudiando'A=0,None,None
181,007,Futurama Fry,Yo en among us,None,None
184,008,Matias Prats,El paparazzi alconeando Aguas equipo,None,None
196,012,Willy Wonka,El profe viendo como haces la tarea,None,None
199,004,Bad Luck Brian,la virtualidad permite estar seguro en casa pero no tengo ni internet ni energia,None,None
201,004,Bad Luck Brian,"""la virtualidad te permite aprender en casa"" pero no tengo ni energia ni internet",None,None
208,005,Disaster Girl,QUe Miras... TE GUsto,None,None
216,008,Matias Prats,Felicidades Pilar,None,None
218,008,Matias Prats,Muchas Felicidades Pilar,None,None
219,005,Disaster Girl,"He pasado por la casa en que vivimos Y vivimos, en un tiempo, tan feliz.",None,None
220,005,Disaster Girl,Como yo no ando Pecandaando!,None,None
221,005,Disaster Girl,Como yo no ando Pecando!,None,None
222,013,Yao Wonka,vamos a reabrir las calesitas dijo larreta,None,None
232,001,Ancient Aliens,Asi De grande la tienes xd,None,None
234,004,Bad Luck Brian,Hoy hay muchos con los sentimientos encontrados La esposa colombiana y la moza venezolana,None,None
235,004,Bad Luck Brian,muchos con los sentimientos encontrados La esposa colombiana y la moza venezolana,None,None
