,meme_id,plantilla,texto_no_tilde,text_1,text_2
7,008,Matias Prats,ultima noticia javier tiene almorranas  igual k el grande,None,None
17,003,Ay Si,Ay si  adams trabaja,None,None
19,006,Filosoraptor,"si los evangelicos todos son hermanos porque a a sus familiares nos los llaman ""hermanos""",None,None
23,008,Matias Prats,ultima noticia en chile el joven irvin confia a la mujer de su vida todo el amor q siente por viviana su mujer q vive en pucon,None,None
25,006,Filosoraptor,"si los evangelicos todos son hermanos porque a a sus familiares nos los llaman ""asii""",None,None
33,004,Bad Luck Brian,"es su cumpleaños sus papas no estan, no hay comida no tiene plata pa salir ni pa comprar cigarros y es una mujer horrible e.e",None,None
34,011,Problems,"hla m yamo chris m dijieron q  no doleria  ,ahora ni puedo pararme..,,xxx",None,None
44,001,Ancient Aliens,' Morochas ..,None,None
45,012,Willy Wonka,ASI QUE TIENES UN FIAT 128 .... QUE SE SIENTE TENER UN AUTO QUE NO TE ABANDONA,None,None
49,003,Ay Si,Aayyy siii siii cumpli años ayer Y me creo...,None,None
53,006,Filosoraptor,SI NOS ECHAMOS OFF EN EL CUERPO? PORQUE TAMBIEN NO NOS ECHAMOS RAID?,None,None
56,001,Ancient Aliens,POLLO GORDO,None,None
68,012,Willy Wonka,Asi que tienes facebook ¿Que se siente no tener una vida real?,None,None
71,012,Willy Wonka,Asi que otro arroyo de vacaciones... osea que me vais a joder la semana a fotos,None,None
73,008,Matias Prats,"ultima noticia en chile el joven irvin confiesa a todo chile lo mucho q ama asu mujer ""viviana aranda"" q vive en pucon con su hija adorada ""catalina""",None,None
75,001,Ancient Aliens,simplemente  eres hermosa,None,None
79,003,Ay Si,huy si huy si que malota soy..,None,None
91,006,Filosoraptor,si zoofilia es sexo con ani males y  necrofilia es sexo con muertos como se le llamaria tener sexo con un animal muerto,None,None
96,002,Annoying Gamer Kid,Repite su gol en todos los angulos  te apreta star y no te deja repetir el tuyo,None,None
97,006,Filosoraptor,si zoofilia es sexo con animales y  necrofilia es sexo con muertos como se le llamaria tener sexo con un animal muerto,None,None
107,001,Ancient Aliens,¿Va al parque de diversiones y no disfruta la entrada? La macha,None,None
110,003,Ay Si,Ay si cuando yo EMPECIESE con el bulin karen y andi manis,None,None
134,007,Futurama Fry,mira mas alla de lo que vez,None,None
137,004,Bad Luck Brian,Termina la remediacion Tiran script,None,None
139,012,Willy Wonka,"Dime, asi que te da wueba ir a los xbox",None,None
147,006,Filosoraptor,copa suat me pregunto que es eso  cuando llegues a la final de la libertadores hablamos kagon jajaja,None,None
148,004,Bad Luck Brian,SUBE FOTOS AL FACEBOOK LE HACEN MEME,None,None
149,003,Ay Si,esau es un sinverguenza se acosto con migo solo por interes,None,None
150,003,Ay Si,YO NO SE NADA .,None,None
155,007,Futurama Fry,Parece ser que no lo entendio Mejor se lo explico con figuritas,None,None
157,006,Filosoraptor,DONDE ESTARAN LAS POLERAS,None,None
158,002,Annoying Gamer Kid,ahora vere porno en mi play station,None,None
161,003,Ay Si,AY SI LE COMI  PONGALE SALSA A MI ENPANADA Q TENGO HAMBRE,None,None
164,001,Ancient Aliens,muy buen post le hizo falta ayuda  de televisa y los  arbitros pero muy bien post,None,None
168,003,Ay Si,AY SI  JAJAJAAJA,None,None
171,003,Ay Si,ahy yo. no se pero juan carlos es polvo e gallo,None,None
177,011,Problems,hay un problema no tengo muchos like !!!  ^^te puedes unir ala pagina de arrriba???,None,None
180,013,Yao Wonka,...AJAJJAJAJAAJ   TAN PENDEJO...,None,None
184,009,No me digas,mayte pascual ahora??,None,None
188,011,Problems,la cara de una mujer  cuando ve a emilio,None,None
191,012,Willy Wonka,asi que te llamas patricia lopez ? que se sientes ser la bb bonita mas buena de todo españa?,None,None
194,003,Ay Si,Ay si ay Si Caras de chango!!,None,None
196,009,No me digas,kiyo tiene novia eso esta de locos,None,None
199,004,Bad Luck Brian,abre plazo fijo corralito,None,None
200,003,Ay Si,a no es mi culpa que los mexicanos la tenga chiquitas LOL ...,None,None
210,009,No me digas,asi q cumpa regala tiempo,None,None
213,012,Willy Wonka,asi que rita no fue?? que se siente ser tan  tarado??,None,None
215,003,Ay Si,AY SI   AY SI VIENE RODRIGO MEDINA  Y ARREGLAN LAS CALLES,None,None
224,010,Prepare Yourself,me dejas chuparte una teta? solo una ...!!sii??,None,None
227,013,Yao Wonka,"si Daniela ""te creo""",None,None
228,006,Filosoraptor,imanolllllllllll jaajaja,None,None
230,004,Bad Luck Brian,ME DICE PARA fumar unos puchos... a partir del lunes disponible,None,None
231,011,Problems,ese chiste es tan malo  que me hace llorar,None,None
