,meme_id,plantilla,texto_no_tilde,text_1,text_2
0,013,Yao Wonka,"que ponga mi like para que lleguez a los 10, 000 MG y luego dices que yo soy el friki",None,None
2,001,Ancient Aliens,solo de imaginar q muevas esa cinturita   me dan ganas de bailarte el goloso jajajaj,None,None
6,006,Filosoraptor,sI el hombre araña la mujer rasguña????,None,None
7,002,Annoying Gamer Kid,hola soy daniel  y me falta un nivel para terminar halo 4,None,None
8,001,Ancient Aliens,que es super swag?? zoologic park,None,None
10,001,Ancient Aliens,LA FORMULA DE EL JOTIAR  DE CArLOS.. solo francisco LA  SABRA..!!!,None,None
17,001,Ancient Aliens,POS el madrid  jamas ganara la decima,None,None
19,002,Annoying Gamer Kid,Soy alan y ganarare el torneo,None,None
20,009,No me digas,no me digas enserio,None,None
25,004,Bad Luck Brian,tiene el season pass de GEARS 3 NO TIENE EL JUEGO,None,None
27,001,Ancient Aliens,el no es lento es solo que el mundo va muy rapido para el,None,None
33,005,Disaster Girl,quieres que te ayude a quemar tu casa wrayan!!,None,None
40,011,Problems,No le pEGue  A la negra!,None,None
44,005,Disaster Girl,dijo que me subiria a  GATADAS LICEO CENTRAL,None,None
46,005,Disaster Girl,naruto revolution cancelado? arde kishimoto,None,None
47,001,Ancient Aliens,solo hay una explicacion babas,None,None
52,006,Filosoraptor,me haces cuestionarme felipe que tipo soy?,None,None
53,011,Problems,uno simplemente no se echa pepsi encima,None,None
54,001,Ancient Aliens,hay una explciacion: ingenieros,None,None
55,008,Matias Prats,atencion venezolano q se respete se queda chatiando hasta las 4 jejejejeje,None,None
58,004,Bad Luck Brian,Va a jugar a la pelota con sus amigos Nadie tiene pelota,None,None
65,011,Problems,le di 30 dolares no me mostro nada,None,None
67,009,No me digas,y que  HAGO  te aplaudo,None,None
73,004,Bad Luck Brian,va al gimnasio por salud amanece muerto por hacer demasiado esfuerzo,None,None
75,011,Problems,Asta la madre que me confundan con saory bebes bazzar Entiendannnn... Ahh people tan terca noo mms..,None,None
78,005,Disaster Girl,eso les pasa por.... no darme mi gobo  =P,None,None
80,013,Yao Wonka,Eso Se llama pelarse,None,None
85,005,Disaster Girl,eran dipraleros   y no me dejaban dormir,None,None
86,006,Filosoraptor,si alan gonzalo se pasa todo el zelda ocarina of time  con young link !!sera pro!!,None,None
90,013,Yao Wonka,el pisco es peruano? jajajajaajajajajajaa,None,None
92,009,No me digas,Y QUE ME DICEN LA COMAYE ESTA EN EL BAR  PERO SI NI TOMA JAJAJAJA,None,None
93,004,Bad Luck Brian,no me mandes toques por facebook  ando chido!!!,None,None
95,005,Disaster Girl,ya no tendras que venir al imss este fin de semana doc,None,None
99,013,Yao Wonka,watch me making fun of you Jewish shit,None,None
101,006,Filosoraptor,si todos nacen ateos y anarquicos  por que hay religion y democracia?,None,None
102,011,Problems,Sepa,None,None
103,010,Prepare Yourself,Preparense una ola de troleadores se aproxima,None,None
112,006,Filosoraptor,muy buena pregunta,None,None
132,003,Ay Si,levate 'sta parucca nun te se po' guarda',None,None
135,011,Problems,what do you get if you cross an insomniac an agnostic and a dyslexic?? Someone who stays up all night woNdering if there is a dog,None,None
136,011,Problems,what do you get if you cross an insomniac an agnostic and a dyslexic Someone who stays up all night woNdering if there is a dog,None,None
142,003,Ay Si,hay ya !! el mas bicicletoso,None,None
144,012,Willy Wonka,que pasen los mexicanos desgraciados,None,None
145,007,Futurama Fry,NO SE SI ESTOY VOLAO O ESTOY CURAO,None,None
147,008,Matias Prats,ultima  hora! Lorena Guilbe cumple años,None,None
162,013,Yao Wonka,"Pobre Unowen sin casa en 3,2,1...",None,None
165,008,Matias Prats,en otras noticias salen a la calle los papis cabron si eres uno de ellos grita papi cabronnnnnn,None,None
166,007,Futurama Fry,MMM MMM,None,None
169,002,Annoying Gamer Kid,soy un VIcIO VIcIO y soy feo,None,None
170,004,Bad Luck Brian,Soy gordillo el guevon y elimine la foto del futbolillo el retorno,None,None
173,012,Willy Wonka,Que se siente Luis eduardo? cumplir 47 y que te mantenga tu abuela,None,None
176,008,Matias Prats,"David no viene a buscar plantas, se puede DECIR que nos dejo... plantados",None,None
177,004,Bad Luck Brian,comparten contraseña ...es el unico q la da,None,None
182,006,Filosoraptor,para que nos bañamos si luego nos vamos a ensusiar,None,None
191,004,Bad Luck Brian,Busca a la chavas pedas Las cuida,None,None
203,013,Yao Wonka,pobre niño siendo vip y lo desperdicia,None,None
204,003,Ay Si,"no,no.no yo no fui",None,None
211,011,Problems,Me dijo prestame la movie mañana t la devuelvo Ya paso mas de una mes,None,None
218,001,Ancient Aliens,gitanos    ...,None,None
220,001,Ancient Aliens,simplemente EA,None,None
224,013,Yao Wonka,JAJAJAJA VOTO UTIL,None,None
231,004,Bad Luck Brian,"feliz porque saca 900 error del sistema, su nota real el 650",None,None
234,003,Ay Si,ni pedo,None,None
235,013,Yao Wonka,LIBERTINAJE  ES LO QUE HAY,None,None
253,012,Willy Wonka,Guerra de memes y despues se hacen los ocupados... cuentenme mas,None,None
254,001,Ancient Aliens,qwwrewrqwqewrqwrq ryze smartcast,None,None
268,009,No me digas,neta  wey!!!!!!!!,None,None
270,006,Filosoraptor,si te meten el bubulubu sientes ricolino????,None,None
276,013,Yao Wonka,Betelen hermano.... y lo sabes!!,None,None
284,008,Matias Prats,noticias de ultimo minuto elvis tiene un lento apredisajeee....,None,None
285,002,Annoying Gamer Kid,voy a estar jugando y tu no,None,None
302,003,Ay Si,UY SI QUE MALOTE,None,None
307,004,Bad Luck Brian,Tiene auto nuevo No tiene placas,None,None
310,008,Matias Prats,en otras noticias : les presento ala chica mas linda del mundo (anacelly)),None,None
320,011,Problems,Aveces Es Mejor Morir Para Asii No Molestar A Nadie,None,None
324,005,Disaster Girl,queme la casa de la carmen porque la quiero,None,None
332,007,Futurama Fry,tu comentario hizo QUE SOPITO  sonriera,None,None
341,003,Ay Si,no no me dijo que no era virgen,None,None
343,005,Disaster Girl,me dio op en su server le pete los mundos,None,None
348,006,Filosoraptor,COMO ES QUE GANA 30 MILLONES MENSUALES PERO LE PAGAN 1500 MILLONESNADA MÁS EN SEGURIDAD?,None,None
351,011,Problems,Me prometio no mas guerra de memes es lo unico que hace de su vida,None,None
352,001,Ancient Aliens,QUE SPYLEN NO HAGA SHHHHHST COSA DE ALIENS,None,None
358,003,Ay Si,"cuidado chicos, Abraham fue modelo y no estudia",None,None
359,011,Problems,aurita estoy asi hilda,None,None
367,009,No me digas,no me digas,None,None
368,004,Bad Luck Brian,Dice que sergiox esta sobrevalorado solo por el micro le quita el whc de forma limpia y le gana en wm,None,None
372,013,Yao Wonka,. mientras tanto yo...,None,None
374,001,Ancient Aliens,"Me gaste todo el ""$"" de cdm! ""PASCUA""",None,None
376,001,Ancient Aliens,A quien le estorban los anaqueles... A Jorge cabrera...,None,None
381,003,Ay Si,oooh   lindos los dos,None,None
384,011,Problems,te la pasas llorando x tus ex ya deja el pasado vive el precente ',None,None
385,004,Bad Luck Brian,LO INVITAN A UNA PARRILLADA TIENE EL CELULAR APAGADO,None,None
395,012,Willy Wonka,Una vez Trabaje para un cliente muy bien Y Me pago de mas,None,None
396,003,Ay Si,Uy que malote Tiene una pLanta de maria,None,None
401,001,Ancient Aliens,... gordas,None,None
403,006,Filosoraptor,Me llamas facha por mi Bandera Roja y Gualda y tu te crees guay con la republicana y el millon de muertos a la espalda,None,None
406,012,Willy Wonka,a no me hablas mas por que se enojan tus dueñas,None,None
408,010,Prepare Yourself,Preparense  TRues se aproximan,None,None
412,007,Futurama Fry,por que chucha  no te mueres?,None,None
413,012,Willy Wonka,Asi que tienes muchas imagenes  Dime que se siente Tener la memoria llena De fotos de memes,None,None
419,004,Bad Luck Brian,tiene el tremendo celular no tiene wi,None,None
440,001,Ancient Aliens,solo hay una explicacion para esto manuel varera,None,None
441,006,Filosoraptor,¿SI LA GRESA NO EXISTIERA? ¿ENTONCES PORQUE EXISTES?,None,None
442,008,Matias Prats,"""ultima noticia"" Pedro cordero se lanza a la alcaldia  de puente piedra",None,None
443,007,Futurama Fry,solo 2 registros que extraño,None,None
446,011,Problems,No tenemos pisto para comprar la 30,None,None
450,004,Bad Luck Brian,MARCHO A VER una serie!!!!,None,None
452,006,Filosoraptor,si una mariposa se enamora sentira humanos en el estomago,None,None
455,001,Ancient Aliens,asi de grande  son los ojos de la angie,None,None
456,011,Problems,Maestro yi riot pls nerf,None,None
459,003,Ay Si,CUIDADO CHABALES QUE TIENE UN AJENJO,None,None
461,002,Annoying Gamer Kid,BUENO CHABALES VOY A VER UNA SERIE,None,None
462,008,Matias Prats,extra noticioso a Coilla le dieron permiso para ir al estadio.,None,None
470,003,Ay Si,aisi aisi  ya todos escuchan skrillex,None,None
471,006,Filosoraptor,¡me pregunto q tiene danna  para q meguste?,None,None
474,003,Ay Si,hace memes de gracioso el peligroso,None,None
480,006,Filosoraptor,No se a que jugar creo que voy a ir al elsword.,None,None
489,004,Bad Luck Brian,NECESITA CUERDAS PARA SALIR LAS TIRA TODAS ANTES DE ENTRAR,None,None
495,012,Willy Wonka,si eres belieber dale mg y comenta jb,None,None
501,002,Annoying Gamer Kid,ESTÁN TODOS CON 300 HP ES KATHUS,None,None
503,011,Problems,dijo que no me haria nada me lo hecho en la cara,None,None
504,012,Willy Wonka,¿Estas pololiando? Dime que se siente pololiar con alguien tan rico como chalito,None,None
505,012,Willy Wonka,A ver mi rica Dime de cUal te fumaS??,None,None
506,003,Ay Si,Uy SI cauros es que no me he podido conectar,None,None
