,meme_id,plantilla,texto_no_tilde,text_1,text_2
18,012,Willy Wonka,y dime don quijote.... como se siente que un mago te haya robado los libros,y ,dime don quijote.... como se siente que un mago te haya robado los libros
32,004,Bad Luck Brian,Tu le das me divierte Por que ya te comi,Tu, le das me divierte Por que ya te comi
82,004,Bad Luck Brian,Esperas un guardado Se lo comen,Esperas un guardado Se, lo comen
219,003,Ay Si,"Ay si, ay si ahora todos En Balboa son bikers",Ay si ay si, ahora todos En Balboa son bikers
221,003,Ay Si,"Ay si, ay si ahora todos En Balboa montan bici",Ay si ay si, ahora todos En Balboa montan bici
222,008,Matias Prats,noticia de ultima hora bsc 3 y emelec 1,noticia de ultima hora, bsc 3 y emelec 1
285,004,Bad Luck Brian,se va a un entrenamiento se vuelve vegana,se va a un entrenamiento, se vuelve vegana
335,003,Ay Si,Ay si ay si Estoy en la nueva y ni pelo a mi grupillo,Ay si ay si, Estoy en la nueva y ni pelo a mi grupillo
451,013,Yao Wonka,"ASÍ ¿que LEÍSTE el VIZCONDE de mediado? dime ¿ que se siente que alguien mas que tu, tenga noviia",ASÍ ¿que LEÍSTE el VIZCONDE de mediado? ,dime ¿ que se siente que alguien mas que tu tenga noviia
460,012,Willy Wonka,"ASÍ ¿que LEÍSTE el VIZCONDE de mediado? dime ¿ que se siente que alguien mas feo que tu, tenga NOVIA",ASÍ ¿que LEÍSTE el VIZCONDE de mediado? ,dime ¿ que se siente que alguien mas feo que tu tenga NOVIA
486,012,Willy Wonka,asi que no compraste en wonderkuchen dime que se siente no haber probado lo mejor de  la semana,asi que no compraste en wonderkuchen ,dime que se siente no haber probado lo mejor de  la semana
555,012,Willy Wonka,que sera la edad antigua?? sera la era de los dinosaurios??,que sera la edad antigua?? sera la era de los ,dinosaurios??
583,004,Bad Luck Brian,Sale de un secuestro lo atropellan,Sale de un secuestro, lo atropellan
592,003,Ay Si,ay si ay si tomo cerveza y ya me creo mucho,ay si ay si, tomo cerveza y ya me creo mucho
612,004,Bad Luck Brian,quiere terminar no lo dejan,quiere terminar no, lo dejan
642,012,Willy Wonka,"ASÍ que recien graduado quieres dar clases de alfabetizacion dime, quien pretende no aprender nada",ASÍ que recien graduado quieres dar clases de alfabetizacion ,dime quien pretende no aprender nada
652,011,Problems,cuando tu hermana se parece a tus padres y tu pareces adoptado,cuando tu hermana se parece a tus padres, y tu pareces adoptado
694,003,Ay Si,hay si solo porque tiene pito no significa que no pueda ser mi novia,hay si, solo porque tiene pito no significa que no pueda ser mi novia
750,003,Ay Si,"ay si, ay si de forever alone paso a ser together forever",ay si ay si, de forever alone paso a ser together forever
752,003,Ay Si,"ay si, ay si este años me les caso",ay si ay si, este años me les caso
754,003,Ay Si,"ay si, ay si este año me les caso",ay si ay si, este año me les caso
759,004,Bad Luck Brian,Vota pac por miedo al diezmo de fabricio y el pac le mete impuesto de 15% a todas las pensiones,Vota pac por miedo al diezmo de fabricio y el pac, le mete impuesto de 15% a todas las pensiones
803,003,Ay Si,"Ay si,ay si como es el profe Alejandro a el si lo abrazas Pero a los otros coaches ni los pelabas",Ay siay si, como es el profe Alejandro a el si lo abrazas Pero a los otros coaches ni los pelabas
834,003,Ay Si,Ay si ay si! Ella y su ropa del mercado,Ay si ay si,! Ella y su ropa del mercado
841,008,Matias Prats,Noticias de ultima hora !santos¡ Otra vez no llego a trabajar,Noticias de ultima hora, !santos¡ Otra vez no llego a trabajar
851,003,Ay Si,"Ay si ay si, me sacaron del vintage ni que fuera internacional jaja",Ay si ay si, me sacaron del vintage ni que fuera internacional jaja
926,012,Willy Wonka,"¡¿Asi que soy un facha?! ¡Que interesante, cuentame mas!",¡¿Asi que soy un facha?! ¡Que interesante ,cuentame mas!
994,003,Ay Si,"Hay si, gana Bolivar, todos se levantan bolivaristas",Hay si, gana Bolivar todos se levantan bolivaristas
1044,011,Problems,le dije tocame abajo y me toco los pies,le dije tocame abajo, y me toco los pies
1052,006,Filosoraptor,"si rider fuera un poco fantasma ¿seria ""ghost rider""?",si rider fuera un poco fantasma ,"¿seria ""ghost rider""?"
1128,003,Ay Si,ay si el mas pendejo de ´3°a´,ay si, el mas pendejo de ´3°a´
1139,003,Ay Si,Hay si se pintan de vieras y ya se screen gringas,Hay si, se pintan de vieras y ya se screen gringas
1199,008,Matias Prats,ultimas noticias maryory se cree mujer,ultimas noticias, maryory se cree mujer
1201,003,Ay Si,"Ay si ay si, sere de los primeros en obtener el libro de guardianes elementales firmado por el autor",Ay si ay si, sere de los primeros en obtener el libro de guardianes elementales firmado por el autor
1240,004,Bad Luck Brian,hace campaña para que se vaya evo no tiene un presidente en su remplazo,hace campaña para que, se vaya evo no tiene un presidente en su remplazo
1244,004,Bad Luck Brian,hace campaña para que se vaya evo no tiene un presidente en su reEmplazo,hace campaña para que, se vaya evo no tiene un presidente en su reEmplazo
1330,003,Ay Si,ay si ay si espero que todo super bien con las gemelas!,ay si ay si, espero que todo super bien con las gemelas!
1378,003,Ay Si,ay si ay si y debe llamarse tito,ay si ay si, y debe llamarse tito
1428,003,Ay Si,ay si si tenemos que entrevistar otros candidatos,ay si, si tenemos que entrevistar otros candidatos
1448,004,Bad Luck Brian,ahora le dicen fabio... dejo de escribir en el grupo,ahora, le dicen fabio... dejo de escribir en el grupo
1467,006,Filosoraptor,¿Si hitler fuera gordo se llamaria eatler?,,¿Si hitler fuera gordo se llamaria eatler?
1470,003,Ay Si,"Uy si, uy si voy a ir el domingo a la iglesia",Uy si uy si, voy a ir el domingo a la iglesia
1486,003,Ay Si,"Uy si, uy si Todos a trabajar",Uy si uy si, Todos a trabajar
1547,003,Ay Si,"ay si,ya dijo ya le crei",ay si,ya dijo ya le crei
1567,003,Ay Si,"Ay si, ay si...mi amigo nacho Es la onda y me cae muy bien. Ay si...",Ay si ay si,...mi amigo nacho Es la onda y me cae muy bien. Ay si...
1575,003,Ay Si,Ay si ay si uso huaraches y me creo bien pueblo,Ay si ay si, uso huaraches y me creo bien pueblo
1592,007,Futurama Fry,no se pasha si dijiste lo mismo o es un acertijo?,no se pasha si dijiste lo mismo, o es un acertijo?
1675,006,Filosoraptor,SI el cuadrado de la hipotenusa es igual a la suma de los cuadrados de los catetos ¿PORQUE EL NO ME AMA?,SI el cuadrado de la hipotenusa es igual a la suma de los cuadrados de los catetos ,¿PORQUE EL NO ME AMA?
1699,004,Bad Luck Brian,Trauma a sus sobrinos Ellos crecen y lo demandan,Trauma a sus sobrinos Ellos crecen y, lo demandan
1712,003,Ay Si,"Ay si, ay si Gaby esta piense y piense",Ay si ay si, Gaby esta piense y piense
