,meme_id,plantilla,texto_no_tilde,text_1,text_2
0,012,Willy Wonka,Tener novia y llevarla a todo lado El lado triste es pedirle prestado a tu ex para hacerlo,None,None
2,008,Matias Prats,"no quiero ser mitotero pero hoy en las noticas, se casa panda",None,None
7,003,Ay Si,Ay si Ay si Asistire al 2CID,None,None
14,003,Ay Si,uy chele q fuerte esa imagen me matas viejo,None,None
18,010,Prepare Yourself,un monuto de silencio panda se ha casado,None,None
19,010,Prepare Yourself,un minuto de silencio panda se ha casado,None,None
23,001,Ancient Aliens,SOLO HAY UNA EXPLICACION PARA ESTO SEXO,None,None
26,012,Willy Wonka,hola tito,None,None
30,003,Ay Si,Ay si nomas se va a casar y ya ni me abla,None,None
37,003,Ay Si,Pelas,None,None
38,005,Disaster Girl,CUANDO TE DICE NOOB Y LE HACES VS,None,None
54,009,No me digas,AH ! que padre,None,None
59,003,Ay Si,hay no puede ser,None,None
68,005,Disaster Girl,mis vecinos me dijeron que no me ivan a traer los reyes polvito para volar,None,None
72,012,Willy Wonka,Asi que eres la mama de nela Dime que se siente darle comida al yerno,None,None
73,012,Willy Wonka,Asi que te gusta pamela? Que se siente que este como que un cerdo vuele?,None,None
76,012,Willy Wonka,Asi que te gusta pamela? Que se siente que te tenga en friendzone,None,None
82,005,Disaster Girl,cuando fui al oratorio le pedi a dios que quemara la casa de mi suegra,None,None
103,004,Bad Luck Brian,se burla de nacional por empatar de local pierde de local con los suplentes de huracan,None,None
110,009,No me digas,milagro lo hiso mejor que todos,None,None
111,010,Prepare Yourself,un minuto de silencio por nuestros amigos que se casan,None,None
124,012,Willy Wonka,que se siente no poder bajar la ola,None,None
128,003,Ay Si,Ay si!! Dulce e Isabel Son amiga amiga de la bolsa roja,None,None
129,001,Ancient Aliens,si tiene cara de papa su mama esta abierta de patas,None,None
130,013,Yao Wonka,Jajaja... Ya te maleaste Pero no me callare,None,None
133,003,Ay Si,AY SI AY SI  AHORA RESULTA QUE TEODORO SHALOOM  ES  HARE KRISHNA,None,None
137,005,Disaster Girl,yo no hice nada,None,None
140,007,Futurama Fry,yair mediana,None,None
155,007,Futurama Fry,en este grupo hay un yeguero,None,None
160,004,Bad Luck Brian,Como barnie,None,None
161,010,Prepare Yourself,"Preparense, ya vienen los pendejos Con sus predicciones de la ban",None,None
187,003,Ay Si,lo k pasa k vives de lo k disen,None,None
189,001,Ancient Aliens,juegan a la silla musical udd,None,None
213,004,Bad Luck Brian,el martes voy como loco a rendir (recursa la materia),None,None
214,010,Prepare Yourself,"macri, reclamamos luz en monte castro",None,None
217,010,Prepare Yourself,"monte castro, no hay luz macri 8 alos de tu gobierno",None,None
218,011,Problems,Mañana Musica noooooooooooooo,None,None
220,010,Prepare Yourself,bsas  8 años de tu gobierno que haces  macri,None,None
222,010,Prepare Yourself,metete a pedorreo en el orto,None,None
223,013,Yao Wonka,Por fin Hablo alvaro,None,None
225,010,Prepare Yourself,rotas cadenas fondos buitres,None,None
230,007,Futurama Fry,nunca habia visto semejante pendejes en un cabron,None,None
231,003,Ay Si,Oh yes ! Today there was trembling and everyone says,None,None
234,007,Futurama Fry,ke hermosa eres lizbeth viridiana te kiero,None,None
237,004,Bad Luck Brian,Perder la virginidad Quedar  embarazada,None,None
240,009,No me digas,nomames eloy y luego,None,None
250,013,Yao Wonka,nada ajajaja,None,None
253,012,Willy Wonka,asi que decidiste graduarte eh? que se siente que un niño de cinco años sepa mas que tu?,None,None
256,011,Problems,"Me dijo la puntita no mas Quede ""preña""",None,None
257,003,Ay Si,Ay si me joden la vida Lo que no saben es que no me imporat,None,None
259,007,Futurama Fry,No se si me sudan las nalgas O me cague,None,None
272,003,Ay Si,Ay si como no!,None,None
282,003,Ay Si,hay si hay si la pau ya se a loko,None,None
283,011,Problems,me tienen aburrida estos gueones,None,None
290,007,Futurama Fry,YO TE VIGILO,None,None
291,009,No me digas,no me digas,None,None
297,003,Ay Si,Hay si hay si Me compro un chicharron y pienso que esta mejor que todos los coches,None,None
298,001,Ancient Aliens,hola me llamo KIKE,None,None
299,009,No me digas,quee quee.... 2 bud light de 24 oz x 29 pesossss....,None,None
301,007,Futurama Fry,No se si reirme Levemente U orinarme de la risa,None,None
306,005,Disaster Girl,ME DIJERON QUE NO QUEDABAN CUPOS,None,None
309,005,Disaster Girl,"yo solamente ABRÍ el tanque de gas y tire un serillo, pero nada mas.",None,None
322,004,Bad Luck Brian,Se liga a una vieja... Vive hasta chalco,None,None
330,009,No me digas,"Mi amor, te levantaste un poco tarde, vas a llegar tarde al trabajo! Vos sabes que no me di cuenta! Pense que eran las 2 de la madrugada!",None,None
347,006,Filosoraptor,camilo es bobo por naturaleza,None,None
350,006,Filosoraptor,camilo marin raro,None,None
351,012,Willy Wonka,que se siente trabajar en un gym y estar gordito,None,None
356,006,Filosoraptor,Entendamosla es una niña diferente se pega mocos en la frente ..... valentina marin,None,None
362,011,Problems,Me invito a creeps dijo que el pagaba Nos pusieron a lavar platos,None,None
366,010,Prepare Yourself,casos psicosociales soon,None,None
373,008,Matias Prats,Y en otras noticias Samuel Muere Penetrado por un Negro,None,None
374,011,Problems,Vamos a hacer actividades dijeron Sera divertido dijeron,None,None
377,009,No me digas,aahhh osea como,None,None
378,006,Filosoraptor,la naturaleza necesita nuestra ayuda tenemos que actuar SIEMPRE escuchamos esto pero no lo ponemos en practica,None,None
383,011,Problems,se acabo la pizza,None,None
397,009,No me digas,Que ago ¿Te aplaudo?,None,None
403,004,Bad Luck Brian,jaja xd xd xd no cren que mario bautista sea gay osea gey,None,None
405,009,No me digas,enserio,None,None
407,009,No me digas,enserio no me dijas,None,None
411,009,No me digas,enserio no me digas,None,None
415,006,Filosoraptor,"yo reciclo, tu reciclas, el recicla reciclemos todos",None,None
421,004,Bad Luck Brian,Tipico te llamas yeiron y tus amigos te hacen bullyng,None,None
424,006,Filosoraptor,y y,None,None
429,004,Bad Luck Brian,"BRAN, MIRA LA MINA QUE ME ESTOY CHAMUYANDO *ERA LA DE BRAN*",None,None
436,002,Annoying Gamer Kid,gerardito y dilan y su jefe traumados con el wi,None,None
439,001,Ancient Aliens,Yo no se como coño se llama ese negro Pero la tiene asi !!!!,None,None
440,008,Matias Prats,Ultima noticia Santos vs America semifinal,None,None
448,007,Futurama Fry,No se si sera guerra de memes? O solo emocionaran como ayer y nadie publico,None,None
449,009,No me digas,mañana nos toman prueba,None,None
450,004,Bad Luck Brian,Me siento mucho Estudio farmacia,None,None
452,005,Disaster Girl,Les dije que me invitaran al clan Pero no lo isieron ahora siguen ustedes lyon,None,None
457,003,Ay Si,Ay si Ay si Me voy morir porque te caigo mal,None,None
460,001,Ancient Aliens,buena historia falto el japish pero buena hitoria,None,None
466,004,Bad Luck Brian,SE HACE EL GRACIOSO EXPULSANDO A NEOS LO EXPULSAN,None,None
471,006,Filosoraptor,si la tierra es nuestro hogar por que estamos arrojando residuos tecnologicos sabiendo las CONSECUENCIAS de estas acciones,None,None
474,004,Bad Luck Brian,Juega minecraft. Lo matan en creativo,None,None
477,012,Willy Wonka,Si tienen dudas estoy listo para ayudarles,None,None
481,004,Bad Luck Brian,SE HACE EL GRACIOSO EN LYON LO EXPULSAN,None,None
492,007,Futurama Fry,Umm....aqui huele a virgen,None,None
498,005,Disaster Girl,la casa de mi tia me mando a buscar trabajo,None,None
502,008,Matias Prats,Creemos que el de Arriba es gey,None,None
503,008,Matias Prats,buenas noches ah todos buenas noticias el reggateton dejo de existir,None,None
504,008,Matias Prats,No se ase,None,None
505,001,Ancient Aliens,Valbuena,None,None
509,009,No me digas,Naaa... franco otra vez aumento la nasssta ??? No te lo puedo cre   errrr !!!,None,None
511,009,No me digas,Ahora quien es El Chistoso?,None,None
512,008,Matias Prats,ULTIMO MINUTO por inconformidad de chiri se acaba de cancelar el dia sin carro,None,None
517,006,Filosoraptor,CHULIN ... ERES TU ??,None,None
526,009,No me digas,no me digas eschuchas reggaeton como se ciente se un idiota nivel dios,None,None
527,008,Matias Prats,En otras noticias le informamos a Axel que el clan esta lleno,None,None
529,012,Willy Wonka,DIME QUE SE SIENTE SER UN MANTENIDO A LOS 30,None,None
534,003,Ay Si,Yo me pirateo Los memes de mis cuates,None,None
535,006,Filosoraptor,Los pedos pesan... O ya me cague?,None,None
547,003,Ay Si,AY SI AY SI NO SOMOS MACHAS PERO SOMOS MUCHAS,None,None
548,008,Matias Prats,y en otras noticias leonardo dicaprio gano un oscar,None,None
552,003,Ay Si,Ay tu I work for the government,None,None
560,005,Disaster Girl,Mis vecinos creian en el creacionismo Creian...,None,None
566,003,Ay Si,Ay si Ay si Tenes que poner que se aceptan secuestros a palmares a ver quien te da pelota,None,None
575,012,Willy Wonka,Asi que Carlos publico en face She is the one,None,None
582,002,Annoying Gamer Kid,Juego Clash of Clans Quiero saber si el rey y la reina se casan al final,None,None
585,006,Filosoraptor,K hablas Pollo,None,None
588,007,Futurama Fry,ya te cache,None,None
592,009,No me digas,y ahora quien tiene la culpa Borgui ?,None,None
599,011,Problems,La Lizzet queria ir a la Cena Gala El Meño la saca de su mesa,None,None
601,006,Filosoraptor,Si dos cuerpos no pueden ocupar el mismo espacio Como explican que un politico sea corrupto?,None,None
607,001,Ancient Aliens,asi las tiene mi chiquita la lupitaa,None,None
609,009,No me digas,Enserio wey no m digas,None,None
629,003,Ay Si,"""'ai si asi'"" no me gusta puro desmadre de SKA",None,None
635,003,Ay Si,Hay yay!! Pretextos,None,None
647,004,Bad Luck Brian,donde esta el chiste,None,None
652,007,Futurama Fry,Quien Chupara Mas Rico Juliana O Taira?,None,None
660,009,No me digas,AAA AHORA ENTIENDO,None,None
667,003,Ay Si,"HAY SI, HAY DEFIENDO A MI HOMBRE",None,None
671,013,Yao Wonka,Y EN NOMBRE DEL ANARKISTA,None,None
673,007,Futurama Fry,che y boca donde esta ???,None,None
675,011,Problems,Yo Pense Que Decian Birolo Por Los Ojos,None,None
676,011,Problems,Yo Pense Que Le Decian Birolo Por Los Ojos,None,None
679,011,Problems,Por Favor Lore No te hagas la dormida que kiero hablas contigo,None,None
683,012,Willy Wonka,Dime que se siente ver doble,None,None
686,007,Futurama Fry,creo que ya estoy pedo,None,None
691,011,Problems,luego de copiar tanta tarea,None,None
694,009,No me digas,Como que chiro Se quiso suisidar!!!,None,None
695,006,Filosoraptor,Los jefes Dinosaurios,None,None
698,013,Yao Wonka,Seis merino jajajaja,None,None
699,013,Yao Wonka,Meli Seis mesino jajajaja,None,None
702,011,Problems,Me dijo que tenia azucar Y le dije winie pooh,None,None
705,012,Willy Wonka,"O SEA TU JOHNICITO CREES QUE SOMOS CAIDOS DEL PALTO?? MEJOR ANDA Y SIENTATE  EN UN HORMIGUERO,, Y LAS HORMIGAS TRAVIESAS SE EQUIVOQUEN DE AGUJERO",None,None
710,008,Matias Prats,Que paso Yo todavia no eatoy enterado,None,None
715,005,Disaster Girl,OOOPS!! CREO QUE SE ME FUE LA MANO!,None,None
718,013,Yao Wonka,que pene me da que pene me dA AJJA,None,None
722,012,Willy Wonka,apoco si.... muy chingona!,None,None
723,004,Bad Luck Brian,"Se hace llamar ""puma"" Traga Hierbitas",None,None
724,007,Futurama Fry,No se si molestarme Pedirte un consejo sobre la cancion,None,None
732,006,Filosoraptor,si tenias una ex y ya tienes otra ex tu antigua ex vendria a ser una exex?,None,None
733,001,Ancient Aliens,Leonardo DiCaprio gano el Oscar..... ALIENS!!!,None,None
736,013,Yao Wonka,oSPWEL!!! QUE DIOS TE BENDIGA!!  :V,None,None
749,003,Ay Si,hay si hay si y yo soy de oro,None,None
751,003,Ay Si,paremos aqui mucha belleza para mis ojos,None,None
754,004,Bad Luck Brian,Secreto en la montaña VS Secreto en el concierto,None,None
756,004,Bad Luck Brian,juega con alche radiance en min 30,None,None
757,009,No me digas,No me digas k pasado mañana es viernes,None,None
760,012,Willy Wonka,ASI QUE ERES MECHON QUE SE SIENTE EL SUSPENSO DEL MECHONEO,None,None
762,007,Futurama Fry,aldahir te toy viendo deja de estar  asiendo memes,None,None
763,009,No me digas,tienes un grave problema aldahir entiendelo,None,None
769,003,Ay Si,ya todos sabemos eso,None,None
786,012,Willy Wonka,Dime yan... ¿que se siente ser admin y que te sigan ignorando?,None,None
796,008,Matias Prats,la fiesta de unete sera la mejor del año,None,None
797,003,Ay Si,Yo no se,None,None
805,012,Willy Wonka,A poco si? Tan poca imaginacion tienes,None,None
806,001,Ancient Aliens,¿por quien votare? ¡por el mas chato!,None,None
807,001,Ancient Aliens,Why not? Traumatologos,None,None
808,001,Ancient Aliens,¿por quien votare? por el mas chato!,None,None
809,001,Ancient Aliens,¿por quien votare? por el mas chato,None,None
813,011,Problems,no se por quien votar por los nuevos sin experiencia o por el chato,None,None
817,004,Bad Luck Brian,Los de C llegan 39394 veces a puerta Quedan 0,None,None
819,011,Problems,"no se por quien votar Carhuaricra es la mejor opcion, pero es muy chato",None,None
826,002,Annoying Gamer Kid,ya vi la six de xul ya se copiaron del hydra de dota,None,None
857,008,Matias Prats,Cuando habla Blynn,None,None
861,004,Bad Luck Brian,"Cree que aprueba castellano Saca un 0,5",None,None
862,004,Bad Luck Brian,Se descarga solo el facebook Le ponen parte,None,None
865,004,Bad Luck Brian,Dos mil seguidos Zero seguidores,None,None
869,001,Ancient Aliens,Letis,None,None
873,003,Ay Si,Revision de Ipads,None,None
878,009,No me digas,eres muy alto  ! No me digas,None,None
879,009,No me digas,en serio andy? entonces eres pajero jajajajaaj,None,None
881,009,No me digas,enserio andy? entonces eres pajero jajajajaaj,None,None
890,005,Disaster Girl,qUANDO IL TUO SPECIALISTA DELLA FONIA LASCIA L'AZIENDA E A OGNI CHIAMATA MEDIABAR SFANCULI I COORDINATORIAPRENDO UN TICKET AI FRANCESI,None,None
895,013,Yao Wonka,vida sexual plena dice y su chica se llama manuela dipalma jaaaja,None,None
907,011,Problems,Noemi dijo que no tenia bateria pero fran le dejo el cargador,None,None
912,011,Problems,hijo de tu madre me distes hasta dentro pero que placerr,None,None
917,009,No me digas,En serio ? El juvenil b son el papi y 10 mas ?,None,None
918,008,Matias Prats,Esperando a que Te den el examen,None,None
921,008,Matias Prats,noticia de ultimo momento Andy se esta garchando a todos,None,None
926,009,No me digas,julio deja la paja jamas,None,None
929,009,No me digas,WHEN YOU COUPLE IS ROMANTIC,None,None
950,001,Ancient Aliens,Latinas...,None,None
959,009,No me digas,I'm normal?,None,None
979,009,No me digas,Entonces Mataste a Marsella?,None,None
980,007,Futurama Fry,Cuando tu mejor amigo Te pide prestada la xbox...,None,None
984,013,Yao Wonka,Yermin Diaz Chavez dios te bendiga que la paz de dios sea contigo y con aquellos que comentaran,None,None
985,010,Prepare Yourself,Preparence Ahi vienen los marcos del moreno,None,None
986,010,Prepare Yourself,Preparence Ahi vienen los marros del moreno,None,None
993,006,Filosoraptor,El que invento el reloj Como sabia que hora era,None,None
996,003,Ay Si,2º No me sujetes durante el ataque,None,None
1003,004,Bad Luck Brian,NO HAY NUTELLA FUERA MADURO,None,None
1007,007,Futurama Fry,Y Vo Crei ke's ta leche tuya,None,None
1012,003,Ay Si,"AY SI, ESTOY OCUPADO ...gay",None,None
1014,008,Matias Prats,LOS TURA TENDRÁN CACHORRILLOS!!!,None,None
1015,008,Matias Prats,¡Permiteme que insista! ¡Luna te ama!,None,None
1016,001,Ancient Aliens,No la muñeca es... Sumamente mandilon,None,None
1018,008,Matias Prats,subnormal....no lo siguiente,None,None
1020,001,Ancient Aliens,Problemas en Renfe que no son culpa del dns problemas aliens,None,None
1033,011,Problems,Me opere los pechos pero no son suficiente grandes aun,None,None
1039,004,Bad Luck Brian,Toda la semana esperando la rebaja de la gasolina Tiene restriccion,None,None
1042,007,Futurama Fry,Tu mejor amigo nunca puede ni debe dejar de serlo ...........sabe mucho el maldito,None,None
1045,007,Futurama Fry,Tu mejor amigo nunca puede ni debe dejar de serlo ...sabe                      mucho el maldito,None,None
1053,008,Matias Prats,cordial saludo radio pinatica,None,None
1056,012,Willy Wonka,¿Donde quereis comer? ..Fabrica!!,None,None
1066,011,Problems,Si no te cuidas El afectado no solo eres tu,None,None
1073,008,Matias Prats,BUENO pues ya tienes el maldito disco,None,None
1074,008,Matias Prats,pues nada pues ya tienes el maldito disco,None,None
1099,007,Futurama Fry,Jonathan Donde estas ?,None,None
1106,008,Matias Prats,ULTIMO MOMENTO ya empesaron a aparecer los sintomas de la gripe k,None,None
1107,003,Ay Si,"ay SI, AY SI QUE TE CRITIQUEN, MARICON",None,None
1116,006,Filosoraptor,las gallinas... se pelean por el gallo?,None,None
1130,009,No me digas,NO ME DIGAS EN SERIO EL 302 ES DEL GORDO!,None,None
1132,011,Problems,Ya nada te conforma yuyo,None,None
1134,011,Problems,Ya perdiste el interes en nosotros,None,None
1148,003,Ay Si,Ayy si si..... Estaba borracho ..como no..,None,None
1155,004,Bad Luck Brian,crea una base de datos decian no te la hackearan decian,None,None
1156,002,Annoying Gamer Kid,toma jugo decian sera divertido decian,None,None
1157,012,Willy Wonka,con que eres adicto a facebook? seria una lastima que te hackearan,None,None
1158,009,No me digas,asi que eres pendejo porque trabajas en tottus...,None,None
1160,009,No me digas,asi que eres pendejo... porque trabajas en tottus...,None,None
1173,003,Ay Si,AY SI NUNCA HACE FRAUDE PERO LE COGEN UNA LLAMADA EN DONDE LO HACE,None,None
1177,012,Willy Wonka,De seguro que todos los maestros le llevaran rwgalo a EPN por agradecimiento por las reformas,None,None
1181,003,Ay Si,Ay si ya se que sigues viendo mi perfil TRAUMADA FEA,None,None
1187,009,No me digas,"¿que, como? ¿que yo tipifique mal?",None,None
1189,012,Willy Wonka,Adivinaaa Quien va para AZUA! !!!,None,None
1193,011,Problems,"""windows 8 es el mejor"" malditos mentirosos",None,None
1205,009,No me digas,No me digas ? Esa madre ya ni existe!!,None,None
1206,012,Willy Wonka,¿que siente poner memes sin sentido?,None,None
1217,011,Problems,le dije que anda en mis dias me contesto que era vampiro,None,None
1219,011,Problems,le dije que andaba en mis dias me contesto que era vampiro,None,None
1222,008,Matias Prats,en otras noticias a carmen  se le prendio el cerebro,None,None
1227,013,Yao Wonka,disculpe se le perdio un pendejo ya lo encontre,None,None
1228,007,Futurama Fry,donde estas melissa  vuelvas.,None,None
1239,004,Bad Luck Brian,Pide mekans Y LO DENEGAN,None,None
1242,004,Bad Luck Brian,Pito Pene,None,None
1245,012,Willy Wonka,que se siente ser parecerse a una ballena,None,None
1246,012,Willy Wonka,Que se siente parecerse a una ballena,None,None
1247,012,Willy Wonka,que se siente ser una foca de orilla,None,None
1249,005,Disaster Girl,Lunghi arreglarme la calle O te mando esta nena a tu casaaaa!!!!,None,None
1261,004,Bad Luck Brian,Estudia prevencion de riesgos Se accidenta,None,None
1262,003,Ay Si,AY SI AY SI LLEGASTE TEMPRANO,None,None
1271,001,Ancient Aliens,GALEGOS...,None,None
1272,004,Bad Luck Brian,juega espadeo biblico solo sale segundo,None,None
1283,003,Ay Si,yo toy meta pega,None,None
1302,001,Ancient Aliens,"Y en conclusion, eres un tarado",None,None
1303,012,Willy Wonka,a si que te refriaste justo a dias de entrar a clases sospechosa la wuea !!!!,None,None
1309,009,No me digas,La cara de angel Al vengarse del chino,None,None
1325,004,Bad Luck Brian,ammmmn emmm,None,None
1332,011,Problems,Liliana llorando Y yo que hago ahora  que Juan esta desempleado,None,None
1336,012,Willy Wonka,seria una pena que mayelin vea esto,None,None
1338,006,Filosoraptor,Mmhmmmm    Denzel Y ese es para ofenderme,None,None
1347,004,Bad Luck Brian,"acusa a los demas de ""genios del voto"" voto scioli zannini",None,None
1352,011,Problems,Me dijo que tenia 30años Y lo tiene mas arrugado q una pasa,None,None
1354,004,Bad Luck Brian,mira que pendejos jaja,None,None
1365,001,Ancient Aliens,esta plantilla es de otro planeta,None,None
1367,004,Bad Luck Brian,Como andas del chocloso Mi chory,None,None
1377,012,Willy Wonka,"asi que el flamenco es cuna de toda la musica, Manue ¿entonces como explicas en el antiguo egipto ya hubiese musica cuando no existia el flamenco?",None,None
1383,012,Willy Wonka,"Cuentame... aja, aja",None,None
1384,012,Willy Wonka,"el flamenco es cuna de toda la musica, Manue ¿como ex`plicas que en la antigua grecia y roma YA HUBIESE Musicos si no existia el flamenco?",None,None
1387,012,Willy Wonka,El flamenco es cuna de toda la musica Los antiguos griegos y romanos tocaban fandangos en Esparta,None,None
1389,001,Ancient Aliens,Ese momento... Que pasa la chica que te gusta!!!!,None,None
1392,006,Filosoraptor,porque tanta contaminacion por las causas electricas acaso no podemos reciclar  para el medio ambiente,None,None
1398,001,Ancient Aliens,flow flow everywhere,None,None
1400,003,Ay Si,quien se comio mi tamal????? quiensabe,None,None
1401,006,Filosoraptor,si el mundo es nuestro hogar por que razon lo destruimos como si no lo fuera ?,None,None
1403,006,Filosoraptor,SI LOS HUMANOS TUBIERAN SEXO LOS PERROS TAMBIEN?,None,None
1404,006,Filosoraptor,si en tu conciencia esta el mejoramiento del medio ambiente por que no solo actuas en vez de pensar?,None,None
1409,006,Filosoraptor,a veces pienso trabajar pero me doy cuenta que matoneando gano mas y se me pasa,None,None
1417,013,Yao Wonka,"Venga calid, te hago jefa de black ops",None,None
1418,004,Bad Luck Brian,"first order on amazon item is late, needed for a bday gift, is from a 3p seller in china, paid with a closed cc",None,None
1419,006,Filosoraptor,a veces quiero que mi hermano menor sea normal luego recuerdo que se golpeo la cabeza con la mesa y se me pasa,None,None
1421,006,Filosoraptor,si sabemos que el futuro de nuestros hijos esta en riesgo por que seguimos contaminando su futuro hogar ?,None,None
1426,004,Bad Luck Brian,O LA K ASE,None,None
1428,004,Bad Luck Brian,"first order on amazon item is late, needed for a bday gift, is from a 3p seller in china, paid with pinless debit",None,None
1433,007,Futurama Fry,Como le haria un buen purrum en el ogt a la profe,None,None
1440,011,Problems,no lloras hoy es un dia especial el dia tuya mujeres si no fuera por vosotra no estariamos aqui feliz,None,None
1441,010,Prepare Yourself,Hola soy Cristian Buenos dias grupo,None,None
1442,008,Matias Prats,URIBE PIDE A LA COMUNIDAD INTERNACIONAL NO APLICAR LA JUSTICIA COLOMBIANA A SU FAMILIA,None,None
1446,006,Filosoraptor,logico es tan importante porque hay tanta brutalidad,None,None
1447,006,Filosoraptor,si el reciclaje tecnologico es tan importante porque hay tanta brutalidad,None,None
1449,006,Filosoraptor,si la gente es tan inteligente porque no saben reciclar,None,None
1451,003,Ay Si,Ami me dijeron que pagan en marzo Ahora si me engañron no se,None,None
1452,011,Problems,Y entonces... ...no piso home,None,None
1461,006,Filosoraptor,Si te dicen ponte pilas y se acaban.. las reciclas?,None,None
1468,006,Filosoraptor,reciclar tecnologia es una obligacion de los ciudadanos entonses porque la gente es tan incredula,None,None
1472,005,Disaster Girl,ESTO LE PASO ALA K ADOPTO A SOFIA,None,None
1473,004,Bad Luck Brian,Sergitus Me mato tropas y regalo recursos.... Boludo Nivel : Dios.,None,None
1478,011,Problems,pos me caigo por la culpa de meño,None,None
1481,006,Filosoraptor,si hay tana contaminacion ambiental porque no aprendemos a reciclar,None,None
1483,004,Bad Luck Brian,Le llaman por telefono No sabe que hacer,None,None
1485,006,Filosoraptor,si en el pais se reciclan residuos tecnolgicos la gente porque no los aprovecha,None,None
1491,006,Filosoraptor,la contaminacion ambiental esta dando por el mal uso de la tecnologias porque hacen mas dertrucion ambiental,None,None
1494,011,Problems,no llores mujer que hoy es un dia especial. tu dia que sera sempre recuerdado.Feliz dia a todas las mujeres.,None,None
1504,006,Filosoraptor,r,None,None
1507,011,Problems,Que sea el dia de la mujer Y tu novio ni un feliz dia te diga,None,None
1515,005,Disaster Girl,Guess who was the idea?,None,None
1516,006,Filosoraptor,"la solucion al problema de los desechos electronicos. Cuando estos aparatos se desechan, se convierten en unos residuos muy contaminantes",None,None
1517,005,Disaster Girl,Guess who was the idea:3,None,None
1518,011,Problems,siempre lo mismo hace un año q los prometistes ufffffffff,None,None
1526,011,Problems,Libia Domingez Cuando se despide de su familia,None,None
1527,003,Ay Si,ay!!silvita!,None,None
1532,013,Yao Wonka,lleva aprendiendo danza oriental 1 año y ya se pone a dar clases,None,None
1540,001,Ancient Aliens,lo tuyo es caracter podrido,None,None
1555,013,Yao Wonka,De dia: Alias Bamfi De Noche: Alias La ROYNNER,None,None
1564,005,Disaster Girl,Mi cara despues de incendiar la unefa Con todos lo militares adentro,None,None
1568,006,Filosoraptor,Si reciclas el celular... quedara en buzon de reciclaje?,None,None
1569,001,Ancient Aliens,esto es culpa de los aliens,None,None
1575,006,Filosoraptor,a veces quiero hacer gestion luego lo veo llegar tarde al srtario gral y se me pasa,None,None
1577,006,Filosoraptor,si reciclamos el wi,None,None
1580,002,Annoying Gamer Kid,el rata te agarra,None,None
1583,001,Ancient Aliens,rico rico rico,None,None
1587,008,Matias Prats,"Buenas tardes compañeros OS quedan poco .as de 48 horas para ""el reencuentro"" A pasarlo de pu.... Madre  jjjjj",None,None
1590,001,Ancient Aliens,NO COMPRE TODO PARA EL MALL SUR LUIS VALENCIA,None,None
1596,003,Ay Si,Ay si Ay si Hoy cumplo años y ni una rosa me compras,None,None
1597,001,Ancient Aliens,Irish,None,None
1606,003,Ay Si,UY !Q gran noticia!,None,None
1607,003,Ay Si,Linda me ilimino del whasapp Para mirar mi muro x el otro selu...,None,None
1609,013,Yao Wonka,Estos benavides se estan enamorando oome,None,None
