,meme_id,plantilla,texto_no_tilde,text_1,text_2
6,008,Matias Prats,PERMITEME QUE INSISTA UNO POR COMPONENTE,None,None
7,004,Bad Luck Brian,Presta la moto Ni gas para llegar a la bomba,None,None
9,001,Ancient Aliens,HA SIDO EL MARCIANO,None,None
11,001,Ancient Aliens,ARTUR MAS,None,None
14,009,No me digas,Un peneeee,None,None
15,006,Filosoraptor,NO SE SI ES O SE HACE ME PONE DE MALAS SU ACTITUD,None,None
18,007,Futurama Fry,EL GATERO GATERO MUERE,None,None
20,013,Yao Wonka,PASO POR LA ESCUELA TIRANDO PIEDRAS,None,None
21,013,Yao Wonka,STEVE HARVEY PASO POR LA ESCUELA TIRANDO PIEDRAS,None,None
28,007,Futurama Fry,solo once caldas le quedo claro,None,None
32,008,Matias Prats,"Subio el iva, las tasas de interez , el minimo el 4%, Pero la noticia para toda la semana es que nos robaron mis universo .",None,None
33,005,Disaster Girl,pobre dina era tan buena,None,None
38,001,Ancient Aliens,nokia,None,None
43,003,Ay Si,excuse me please a nombre del refresco que mas sabe a seven up,None,None
46,009,No me digas,A poco creias Que tenias que echarle gasolina?,None,None
52,004,Bad Luck Brian,con dos carreras y en el paro vota al pp,None,None
57,006,Filosoraptor,si mi cuerpo es una iglesia... entonces soy una iglesia llena de grafitis...,None,None
69,008,Matias Prats,FELICIDADES A LOS PAISAS POR ESE TITULO SE LO MERECEN,None,None
78,008,Matias Prats,Extra extra! Doña liopo dice que ya no come mas Pescao por que le produjo alergia....,None,None
80,008,Matias Prats,Extra extra! Doña liopo dice que ya no come mas Gano el chance con el 1515,None,None
81,008,Matias Prats,Extra extra! Gano el chance con el 1515,None,None
83,008,Matias Prats,Ultimo minuto Hinchas del junior quieren solo bandeja paisa....el pescao los brota,None,None
100,006,Filosoraptor,Si LA CORONA ERA DE COLOMBIA EL GOL ERA DE YEPES?,None,None
105,011,Problems,estos animales no entienden QUE TIENEN que esperar 15 años mas para ser campeones de nuevo,None,None
108,006,Filosoraptor,q miedo el coco llamen al peluquero,None,None
109,008,Matias Prats,atencion noticia de ultimo minuto el verde es el campeon y es el rey de copas con 15 copas,None,None
113,012,Willy Wonka,"via x, Asi que despediste a natalia valdebenito? Dime que se siente perder a la susesora de boloco cecilia",None,None
