,meme_id,plantilla,texto_no_tilde,text_1,text_2
0,009,No me digas,ahhh no entiendo feliz dia porque????,None,None
17,009,No me digas,Este es el origen del no me digas,None,None
23,012,Willy Wonka,ella dijo..estare solo un rato y callada y tu te lo creiste?,None,None
27,001,Ancient Aliens,"quien invento el, pan con huevo!! alienigenas? jajaja",None,None
35,009,No me digas,gerson.. quiere jugar?,None,None
45,004,Bad Luck Brian,Llega recien de coquimbo tiene que irse a yumbel,None,None
47,005,Disaster Girl,lesli no m adopto...  miren lo q paso...,None,None
50,004,Bad Luck Brian,tu bien pvpear como yo bien conjugar,None,None
53,004,Bad Luck Brian,trabaja de lunes a sabado tiene que ser jurado de votacion el domingo,None,None
54,013,Yao Wonka,Daniel eres gay ?? ahora lo comprendo todo !!,None,None
57,004,Bad Luck Brian,trabaja de lunes a sabado debe ser jurado de votacion el domingo,None,None
69,007,Futurama Fry,¿futurama? ¿que es eso?,None,None
74,004,Bad Luck Brian,"SI CEST LA FETE DES PERES PI TA FETE AUSSI, CA VEUX TU DIRE QUE T'A DES ENFANTS?",None,None
89,002,Annoying Gamer Kid,espera a que respeten a su pais mexico insulta a los paises de sudamerica,None,None
98,003,Ay Si,"ay, ya... soy un experto en nudos...wao!",None,None
124,001,Ancient Aliens,Ff vIII ALIENS,None,None
129,009,No me digas,asi que la viste una vez y ya te gusta no me digas,None,None
134,012,Willy Wonka,te quejabas de bernal? que se siente rotar por plantas?,None,None
147,002,Annoying Gamer Kid,si nunca encontrate a tu pata  en plena paja..¡¡ es porque puso cortina a su cuarto..¡¡,None,None
151,002,Annoying Gamer Kid,MMM............QUE TAL COMO AMANESISTE HIJO .....JAJAJA,None,None
158,008,Matias Prats,"en otras noticias BOMBA CAE A CEMENTERIO, MUERTOS CORREN POR SUS VIDAS",None,None
160,001,Ancient Aliens,Las bosqueras siempre han existido... desde antes que naciera gustavo a.madero,None,None
170,004,Bad Luck Brian,Tiene un rollo de jutsus prohibidos y geniales en sus manos aprende a hacer clones,None,None
174,003,Ay Si,javiera y chinos queda la cag ........,None,None
175,003,Ay Si,cuidado chicos  estamos delante de una chica malota,None,None
176,012,Willy Wonka,Que pedo con tu vida Erik,None,None
177,013,Yao Wonka,pensaban en el maracanazo... no pudieron ganarle a costa rica,None,None
188,001,Ancient Aliens,. .aliens,None,None
193,008,Matias Prats,feliz cumple  don pipicha 2,None,None
194,003,Ay Si,HAY SI vOY A LLORAR,None,None
201,013,Yao Wonka,escribe feliz dia papa su papa no tiene facebook,None,None
210,001,Ancient Aliens,solo hay una explicacion para esto brutierrez,None,None
212,001,Ancient Aliens,egresado de la unam y leva al pumas,None,None
216,011,Problems,Le ganaremos a italia facil... decia ....,None,None
217,003,Ay Si,Yo no fui Que me miras!,None,None
219,003,Ay Si,Que me miras! Yo no fui,None,None
223,008,Matias Prats,noticia de ultimo minuto la directiva de los chinchones a decidido alargarle 1 semana de contrato al dt burriño tras la sufrida victoria frente a zona ll,None,None
224,003,Ay Si,AY SI AY si ES dia DEL PADRE Y TODOS PONIENDO FOTOS CON SU PAPA!!!,None,None
232,009,No me digas,no me digas tienes ex,None,None
234,011,Problems,como no venga pronto luis miguel a españa nose que sera de mi.....,None,None
239,006,Filosoraptor,"ese jugador de japon que se llama ""kagawa"" que sera lo que come??? mmmm?",None,None
241,008,Matias Prats,BUENAS NOCHES EN 30 SEG. EL TIEMPO,None,None
251,003,Ay Si,UY SI.... QUE MALOTA,None,None
253,009,No me digas,ola elder ¿como estas,None,None
257,011,Problems,Erro ro ro no puedo creer que este stunt,None,None
262,003,Ay Si,AY SI PUSE AL TATA Y PIENSO QUE VOY A GANAR EL MUNDIAL OLA,None,None
265,009,No me digas,a Vo' Po  lkjhgfdsañ',None,None
