,meme_id,plantilla,texto_no_tilde,text_1,text_2
2,006,Filosoraptor,¿QUE HONDA?,,¿QUE HONDA?
68,012,Willy Wonka,oye Ruby y cuentame no has vuelto a ver a Arturo,oye Ruby y ,cuentame no has vuelto a ver a Arturo
75,004,Bad Luck Brian,Se le va la luz se le desinstala el paladins,Se le va la luz, se le desinstala el paladins
154,012,Willy Wonka,Entonces quimico cuentanos de tu experiencia en ese mall,Entonces quimico ,cuentanos de tu experiencia en ese mall
159,003,Ay Si,Ay si ay si Cuidado con los menores consentidos,Ay si ay si, Cuidado con los menores consentidos
169,003,Ay Si,"ay si, ay si soy muy kinky",ay si ay si, soy muy kinky
178,003,Ay Si,ay si ay si y le dije que no queria que se fuera,ay si ay si, y le dije que no queria que se fuera
199,004,Bad Luck Brian,uriel dice manda tpa no pasa nada le mandas te mata,uriel dice manda tpa no pasa nada, le mandas te mata
209,007,Futurama Fry,"No se si la negra, es webera o quiere que clau le diga para ser su damita...",No se si la negra es webera, o quiere que clau le diga para ser su damita...
244,004,Bad Luck Brian,vuelve a comprar su primer auto para dejarlo el mejor del condado lo destruye,vuelve a comprar su primer auto para dejarlo el mejor del condado, lo destruye
264,004,Bad Luck Brian,me dijeron que era la mecanica y mira lo que dije la meca jejejejejejej,me dijeron que era la mecanica y mira, lo que dije la meca jejejejejejej
288,011,Problems,cuando por fin aprendes hacer reacciones QUÍMICAS pero tu reaccionas y te das cuenta que el semestre acabo,cuando por fin aprendes hacer reacciones QUÍMICAS pero tu reaccionas, y te das cuenta que el semestre acabo
331,011,Problems,"vautrin kocher, jean gosset, nissen, demeester... Por que no se llaman juan perez y pablo gonzalez?",vautrin kocher jean gosset nissen demeester... Por que no se llaman juan perez, y pablo gonzalez?
338,004,Bad Luck Brian,Mañana es feriado E INDUAMERICA lo sabe,Mañana es feriado E INDUAMERICA, lo sabe
343,011,Problems,"recordar las tecnicas de vautrin kocher, jean gosset, demeester, nissen, etc ¿por que no se llamaban juan perez y pedro gonzalez?",recordar las tecnicas de vautrin kocher jean gosset demeester nissen etc ¿por que no se llamaban juan perez, y pedro gonzalez?
359,003,Ay Si,Huuuuuy si Que atrooo atro,Huuuuuy si, Que atrooo atro
434,004,Bad Luck Brian,ay un perro y lo empieza a violar,ay un perro y, lo empieza a violar
489,010,Prepare Yourself,preparense fotos con disfraces de halloween are coming,preparense, fotos con disfraces de halloween are coming
494,004,Bad Luck Brian,quiere ser un pais desarrollado se la pasa de pelea en pelea durante todo el siglo xx,quiere ser un pais desarrollado, se la pasa de pelea en pelea durante todo el siglo xx
500,003,Ay Si,"ay si, vamos a perder sebastian refsial",ay si, vamos a perder sebastian refsial
518,003,Ay Si,ay si ahora las estrellas hablan,ay si, ahora las estrellas hablan
524,006,Filosoraptor,si para Halloween me disfrazo de guitarrista criollo... ¿Celebro Halloween o la cancion criolla?,si para Halloween me disfrazo de guitarrista criollo... ,¿Celebro Halloween o la cancion criolla?
532,003,Ay Si,ay si ahora sere un rey cruel,ay si, ahora sere un rey cruel
539,003,Ay Si,ay si ahora resulta que tienes a alguien mejor,ay si, ahora resulta que tienes a alguien mejor
636,004,Bad Luck Brian,Andy hace una fiesta en su casa no lo invitan,Andy hace una fiesta en su casa no, lo invitan
673,003,Ay Si,"Uy si, uy si Le ganamos a boca y salvamos el año",Uy si uy si, Le ganamos a boca y salvamos el año
681,012,Willy Wonka,con que corriges la ortografia del resto dime que se siente ser un profesor frustrado,con que corriges la ortografia del resto ,dime que se siente ser un profesor frustrado
754,003,Ay Si,uy si uysi ahora todo esta conectado con todo,uy si, uysi ahora todo esta conectado con todo
794,011,Problems,cuando todos estan conectados y nadie te habla... jajajaj,cuando todos estan conectados, y nadie te habla... jajajaj
796,011,Problems,cuando todos estan conectados y nadie te habla..XD,cuando todos estan conectados, y nadie te habla..XD
808,004,Bad Luck Brian,Dice ser un equipo grande lo elimina petrolera,Dice ser un equipo grande, lo elimina petrolera
829,004,Bad Luck Brian,en el cali no existe crisis lo elimina alianza,en el cali no existe crisis, lo elimina alianza
842,003,Ay Si,Ay si ay si Solo hablo con hinchas de Lanus,Ay si ay si, Solo hablo con hinchas de Lanus
854,003,Ay Si,uy si uy si porque tu tienes la potestad para eso,uy si uy si, porque tu tienes la potestad para eso
855,003,Ay Si,uy si uy si porque tu debes de poner lo que esta en la ppt,uy si uy si, porque tu debes de poner lo que esta en la ppt
899,003,Ay Si,ay si ya van a comenzar con su noviembre sin ti..!!,ay si, ya van a comenzar con su noviembre sin ti..!!
924,003,Ay Si,Ay si ay si Comiendo comida Peruana,Ay si ay si, Comiendo comida Peruana
971,004,Bad Luck Brian,Hacen un club de fans en su honor No lo incluyen,Hacen un club de fans en su honor No, lo incluyen
973,003,Ay Si,ay si ay si 500hs de uptime,ay si ay si, 500hs de uptime
976,012,Willy Wonka,Cuando tienes mas de 300 contactos en facebook... dime que se siente no tener vida social,Cuando tienes mas de 300 contactos en facebook... ,dime que se siente no tener vida social
985,003,Ay Si,ay si ay si habemus 7juego ya no se si soy dodger o astro,ay si ay si, habemus 7juego ya no se si soy dodger o astro
987,007,Futurama Fry,no se si soy feo o solo tengo miedo de que facebook me bloquee por ser contenido ofensivo,no se si soy feo, o solo tengo miedo de que facebook me bloquee por ser contenido ofensivo
991,003,Ay Si,ay si antes windows ahora aplle,ay si, antes windows ahora aplle
1019,013,Yao Wonka,Asi que hiciste primero tu cierre de campaña dime que se siente ser fsln y sentirte derrotado,Asi que hiciste primero tu cierre de campaña ,dime que se siente ser fsln y sentirte derrotado
1100,004,Bad Luck Brian,pide un asenso lo despiden,pide un asenso, lo despiden
1105,003,Ay Si,Ay si ay si como parcero mayor Le va a los astros yo tambien,Ay si ay si, como parcero mayor Le va a los astros yo tambien
1130,004,Bad Luck Brian,Busco a Nikita lo han visto a mi  Apa....,Busco a Nikita, lo han visto a mi  Apa....
1162,004,Bad Luck Brian,DECLARA LA INDEPENDENCIA y lo meten preso,DECLARA LA INDEPENDENCIA y, lo meten preso
