,meme_id,plantilla,texto_no_tilde,text_1,text_2
0,009,No me digas,¿se come al isra?????,None,None
4,009,No me digas,¿se come al isra?????,None,None
9,008,Matias Prats,EN OTRAS NOTICIAS EL ALBERTO SE VOLVIO GAY,None,None
11,007,Futurama Fry,"cuando alguien mas le dise a mi mejor amiga ""mejor amiga""",None,None
25,008,Matias Prats,Aqui hay tema... Pero vamos...,None,None
32,007,Futurama Fry,me miro y digo toy feo... pero luego te veo y pienso ella si esta fea yo no,None,None
39,013,Yao Wonka,en serio? pago la corporacion,None,None
42,013,Yao Wonka,hay que dio mio!!!,None,None
48,010,Prepare Yourself,Preparense Conferencia de prensa a las 14:00,None,None
49,013,Yao Wonka,comparte por el mas drogado ignora y besaras a JB,None,None
51,013,Yao Wonka,y tu crres que la corporacion pagara,None,None
53,013,Yao Wonka,y tu crees que la corporacion pagara,None,None
61,009,No me digas,te queres quedar conmigo?,None,None
63,012,Willy Wonka,BAIA COBAIA,None,None
72,004,Bad Luck Brian,soy gay metemelo,None,None
73,004,Bad Luck Brian,es fea en todo pero tiene buenos sentimientos :v,None,None
81,001,Ancient Aliens,lavamamas tendras,None,None
86,013,Yao Wonka,Veo Muy gracioso ver a Hamilton Lopez decir que ganara su sexta luna,None,None
89,013,Yao Wonka,Escucho  Muy gracioso  a Hamilton Lopez decir que ganara su sexta luna,None,None
90,004,Bad Luck Brian,va a su primer masivo es de ommix,None,None
94,001,Ancient Aliens,efe e te ese,None,None
109,012,Willy Wonka,"Quieres otro estudio como el de anoche, eh !",None,None
119,013,Yao Wonka,dios te guarde mama raja y se le ovide donde,None,None
122,009,No me digas,ti jairo qe ases,None,None
137,003,Ay Si,me siento muy bendecida,None,None
139,012,Willy Wonka,hay que decirle al idiota de martenoli que hable mal de peña nieto y le pega y luego el chillon  lo acusa y luego  lo corremos,None,None
140,013,Yao Wonka,A veces me dan ganas de tomas con mis amigos luego recuerdo que despues se ponen a vomitar y se me pasa,None,None
142,005,Disaster Girl,me tire un pedo .... creo que era nuclear,None,None
152,006,Filosoraptor,no es lo mismo...marioneta que mario te la meta,None,None
158,001,Ancient Aliens,como voy a vivir sin escuchar a nyno,None,None
165,010,Prepare Yourself,Brace yourselves toma de ramos is coming,None,None
167,012,Willy Wonka,Hola soy israel,None,None
171,010,Prepare Yourself,Brace yourself toma de ramos is coming,None,None
172,008,Matias Prats,piden que Nyno vaya a eurovision,None,None
180,006,Filosoraptor,no es lo mismo..tita dame te que dame tetita,None,None
194,012,Willy Wonka,hhhh jjj,None,None
195,002,Annoying Gamer Kid,extraños esas mochas,None,None
202,008,Matias Prats,Se le informa que ya es la hora de buscar a dianita la niña mas bonita,None,None
227,002,Annoying Gamer Kid,jijijiji soy rodolfo y juego cay of dury,None,None
229,012,Willy Wonka,iraloo pero mañana wey.!,None,None
231,011,Problems,Me dijo que andaba tan ocupada Que ni los buenos dias me dio,None,None
239,010,Prepare Yourself,todos sabemos cual es el cambio ximena chavero,None,None
241,010,Prepare Yourself,"todos sabemos cual es el cambio ximena chavero,por un cine",None,None
260,006,Filosoraptor,quien cumple mañana ahh quien?,None,None
275,013,Yao Wonka,Como se siente Ser violado por negros,None,None
300,003,Ay Si,Ay Si ablo De los inmigrantes Y se que solto  el chapo y mello,None,None
301,009,No me digas,estas jugando agar.io?,None,None
306,007,Futurama Fry,no hay duda.. son los hijos de Andres,None,None
310,002,Annoying Gamer Kid,Tanta vaina... PAC,None,None
312,013,Yao Wonka,Puede que lery al ver eso sufrio un poco de celos,None,None
323,010,Prepare Yourself,The cachones is comimg..,None,None
326,003,Ay Si,hay si hay si no solo eres pantene sino que tambien charito,None,None
327,006,Filosoraptor,Si NOS CREO A NOSOTRO QUIEN CREO A DIOS,None,None
349,011,Problems,Me decia Tu confia,None,None
353,003,Ay Si,Pue' a mi que me impolta Yo solo se que voy a votal por el chapo ese,None,None
355,010,Prepare Yourself,DUOC IS COMING,None,None
357,010,Prepare Yourself,cambio de casa is coming,None,None
373,009,No me digas,no me digas que quieres una recepcionista? cuanto pagas?,None,None
378,003,Ay Si,"Ahi si, como no, Ahora todos tienen la foto de perfil en Buenos Aires",None,None
383,009,No me digas,ahhhh a mi no me engañas,None,None
387,009,No me digas,Wow k belleza,None,None
388,008,Matias Prats,fin de la primera parte,None,None
391,008,Matias Prats,santi perdoname que insista,None,None
395,005,Disaster Girl,mama jugue con fuego como me dijo usted,None,None
413,003,Ay Si,Ahy si ahy si Me creo sexy sin camisa,None,None
414,001,Ancient Aliens,Solo hay una explicacion para esto carla,None,None
416,012,Willy Wonka,¿asi que creias que ibas a salir exitoso con mucha confianza? ¿Que no sabes que la desconfianza cumple tus metas?,None,None
420,001,Ancient Aliens,que hace many ahi con ese pelo,None,None
