,meme_id,plantilla,texto_no_tilde,text_1,text_2
12,012,Willy Wonka,Y dime Elizabeth Que se siente ser la chava mas guapa de ceutec,Y ,dime Elizabeth Que se siente ser la chava mas guapa de ceutec
68,003,Ay Si,Ay si ay si Intelectual organico,Ay si ay si, Intelectual organico
82,003,Ay Si,"ay si, ay si, soy chairo soy muy tolerante",ay si ay si, soy chairo soy muy tolerante
88,007,Futurama Fry,no se si a los de la uct les gusta el pico o si solo son cobardes,no se si a los de la uct les gusta el pico, o si solo son cobardes
163,004,Bad Luck Brian,Se mata estudiando para los finales de la unfv y al final se loaprende todo Cierran la unfv hasta nuevo aviso,Se mata estudiando para los finales de la unfv y al final, se loaprende todo Cierran la unfv hasta nuevo aviso
173,012,Willy Wonka,"asi que crees que el comunismo es el totalitarismo de la urss interesante, cuentame mas",asi que crees que el comunismo es el totalitarismo de la urss interesante ,cuentame mas
182,004,Bad Luck Brian,esto se gana !derrota!,esto, se gana !derrota!
205,003,Ay Si,ay si ay si se va a ir a dormir :3,ay si ay si, se va a ir a dormir :3
215,003,Ay Si,Ay si ay si Toon link es del demonio,Ay si ay si, Toon link es del demonio
216,011,Problems,te dicen:shu es el novio de yui y tu querias que fuera ayato,te dicen:shu es el novio de yui, y tu querias que fuera ayato
217,004,Bad Luck Brian,Formatea la pc le va mas lento,Formatea la pc, le va mas lento
220,003,Ay Si,Ay si ay si Saque el cuchillo y rebane a todos,Ay si ay si, Saque el cuchillo y rebane a todos
225,008,Matias Prats,En ultimas noticias Chiwas es joto repito chiwas es joto,En ultimas noticias, Chiwas es joto repito chiwas es joto
288,003,Ay Si,ay si ay si G,ay si ay si, G
360,008,Matias Prats,En ultimas noticias kim hyun joong ah sido secuestrado,En ultimas noticias, kim hyun joong ah sido secuestrado
379,012,Willy Wonka,Asi que ya eres madrina dime que se siente que no te sabes ni los pasos..,Asi que ya eres madrina ,dime que se siente que no te sabes ni los pasos..
