,meme_id,plantilla,texto_no_tilde,text_1,text_2
2,004,Bad Luck Brian,Vende una borde con salsa bbq La hace con salsa de tomate,None,None
5,004,Bad Luck Brian,cuando sabes que van a comprar otro carton,None,None
6,006,Filosoraptor,si estoy en una iglesia y tengo wifi estoy recibiendo la señal de dios,None,None
11,012,Willy Wonka,A todo esto... A que hora es tu grounding mañana??,None,None
16,004,Bad Luck Brian,Le dan su brevete Se pasa el semaforo en rojo,None,None
31,004,Bad Luck Brian,Tiene el mejor cafe del mundo Hace fila para el starbuks,None,None
48,008,Matias Prats,"La falta de una coma (,) nos puede meter en problemas judiciales por canibalismo: «Vamos a comer niños». «Vamos a comer, niños».",None,None
54,006,Filosoraptor,"La falta de una coma (,) nos puede meter en problemas judiciales por canibalismo: «Vamos a comer niños». «Vamos a comer, niños».",None,None
56,001,Ancient Aliens,LA CIENCIA LO DICE  Y QUE TE VALLAS A CHINGAR ATU MADRE,None,None
59,007,Futurama Fry,te vi brayan entre los yuyos pensavas que no att:leo,None,None
60,011,Problems,Joker No me Quiere,None,None
83,003,Ay Si,louis ama a danielle larry no es real,None,None
89,003,Ay Si,Quien se acabo la coca? Yo no fui,None,None
90,004,Bad Luck Brian,Cuando te ries de un chiste sin entenderlo,None,None
93,005,Disaster Girl,mis vecinos no creian en larry no creian,None,None
94,004,Bad Luck Brian,LOGRA LIBERAR EL BANKAI CASI MUERE,None,None
95,008,Matias Prats,"Buenos dias pedro, pero... permiteme que insista... feliz cumpleaños amigo mio",None,None
97,001,Ancient Aliens,Cientificamente comprovado asi de grande la tengo,None,None
98,001,Ancient Aliens,Solo hay una explicacion Consolidar,None,None
99,005,Disaster Girl,mis vecinos aymaban lounielle AMABAN,None,None
102,001,Ancient Aliens,Solo hay una explicacion Los marcianos se llevaron el terreno,None,None
107,008,Matias Prats,Cuidado niños Barney es un dinosaurio que vive en tu casa y cuando no lo ves te la encaja en la mañana,None,None
110,003,Ay Si,Comprobadoo Por la gaby*Ajuaa Compa,None,None
113,010,Prepare Yourself,preparence con papeleria se viene colorada 2,None,None
118,012,Willy Wonka,DANIELLE que se siente ser una barba,None,None
120,007,Futurama Fry,Me pregunto... Que haras despierta a esta hora???,None,None
124,012,Willy Wonka,DIME QUE SE SIENTE QUE YO JUEGUE MEJOR QUE TU,None,None
125,012,Willy Wonka,DIME QUE SE SIENTE QUE YO JUEGUE MEJOR QUE TU y DIGAS QUE NO JUEGO NADA,None,None
