,meme_id,plantilla,texto_no_tilde,text_1,text_2
22,004,Bad Luck Brian,Quiere ganarse un combo Se lo muestra a Tovar,Quiere ganarse un combo Se, lo muestra a Tovar
24,011,Problems,dijieron que no me aumentaria el abono me lo aumentaron y bajaron mis beneficios,dijieron que no me aumentaria el abono me lo aumentaron, y bajaron mis beneficios
74,006,Filosoraptor,Si te llamas Alba ¿Eres familia del Sol?,Si te llamas Alba ,¿Eres familia del Sol?
122,011,Problems,se me olvido mi comida y solo tengo una hora para comer,se me olvido mi comida, y solo tengo una hora para comer
173,003,Ay Si,ay si when eres un dibujo ;,ay si, when eres un dibujo ;
207,008,Matias Prats,noticia de ultima hora la maquina sigue corriendo,noticia de ultima hora, la maquina sigue corriendo
345,006,Filosoraptor,Si las nalgas permanecen frias ¿Por que se calientan los asientos?,Si las nalgas permanecen frias ,¿Por que se calientan los asientos?
361,007,Futurama Fry,soy tonto o inteligente?,soy tonto, o inteligente?
391,004,Bad Luck Brian,Peru saca tres puntos no lo ve porque tiene que trabajar,Peru saca tres puntos no, lo ve porque tiene que trabajar
468,004,Bad Luck Brian,dice que es el mas bravo de marques sus vecinos le roban,dice que es el mas bravo de marques sus vecinos, le roban
469,004,Bad Luck Brian,Quiere comer pate con galleta le venden humus,Quiere comer pate con galleta, le venden humus
576,004,Bad Luck Brian,Si ALEXA que se bURLO DE MI PORQUE SHO NO QUERIA TRABAJAR,Si ALEXA que, se bURLO DE MI PORQUE SHO NO QUERIA TRABAJAR
601,004,Bad Luck Brian,Su enamorada se va del banco cancelan el tono,Su enamorada, se va del banco cancelan el tono
605,004,Bad Luck Brian,Su novia se va del banco cancelan el tono,Su novia, se va del banco cancelan el tono
637,006,Filosoraptor,Si alguien te dice que no le hagas caso ¿ Le estas haciendo caso al no hacerle caso?,Si alguien te dice que no le hagas caso ,¿ Le estas haciendo caso al no hacerle caso?
638,003,Ay Si,huy sii saray segun tu no eres odiosa,huy si,i saray segun tu no eres odiosa
667,003,Ay Si,hay si ahora todos ivan a pr,hay si, ahora todos ivan a pr
699,004,Bad Luck Brian,Al cid de la tierra del rey lo desterraban,Al cid de la tierra del rey, lo desterraban
715,003,Ay Si,Ay si ay si David me regaña,Ay si ay si, David me regaña
780,003,Ay Si,"Ay si, ay si Me felicitan en el facebook sobre el tema del enequen y ya me siento famoso en tankuche",Ay si ay si, Me felicitan en el facebook sobre el tema del enequen y ya me siento famoso en tankuche
784,003,Ay Si,las mas perras de turbo ay si,las mas perras de turbo ay si,
809,003,Ay Si,ay si  me creo director y de la television ni me acuerdo,ay si,  me creo director y de la television ni me acuerdo
934,004,Bad Luck Brian,jimena ayuda al cid en todo por que lo admira,jimena ayuda al cid en todo por que, lo admira
989,004,Bad Luck Brian,esta en una pista de avion lo mata un helicoptero,esta en una pista de avion, lo mata un helicoptero
1028,004,Bad Luck Brian,le prometen cañas se va todo el mundo,le prometen cañas, se va todo el mundo
1029,003,Ay Si,Ay si ay si canto mientras escucho el radio Y ya siento que canto igual que el cantantr,Ay si ay si, canto mientras escucho el radio Y ya siento que canto igual que el cantantr
1034,003,Ay Si,Ay si ay si princesa canta mirntras escucha el radio Y ya siente k canta como la cantante,Ay si ay si, princesa canta mirntras escucha el radio Y ya siente k canta como la cantante
1037,003,Ay Si,Ay si ay si Princesa canta mientras escucha el radio Y ya siente que canta igual que la cantante,Ay si ay si, Princesa canta mientras escucha el radio Y ya siente que canta igual que la cantante
1038,008,Matias Prats,Noticia de ultima hora ballan a la expoferia donde Javier refrescate,Noticia de ultima hora, ballan a la expoferia donde Javier refrescate
1175,004,Bad Luck Brian,Trata de hacer su display se fractura la mano,Trata de hacer su display, se fractura la mano
1201,003,Ay Si,"uuy si, mi auditoria",uuy si, mi auditoria
1230,003,Ay Si,ay si soy gey,ay si, soy gey
1285,008,Matias Prats,noticia de ultima hora emily no sabe besar xddddd,noticia de ultima hora, emily no sabe besar xddddd
1337,008,Matias Prats,Noticias de ¡ultima hora! vallan ahorrando para mis cumpes,Noticias de ¡ultima hora,! vallan ahorrando para mis cumpes
1363,012,Willy Wonka,asi que fumas cigarrillo dime que se siente tener mal aliento,asi que fumas cigarrillo ,dime que se siente tener mal aliento
1389,012,Willy Wonka,y cuentame que tal tu dia ?,y ,cuentame que tal tu dia ?
1415,010,Prepare Yourself,preparense fumadores las enfermedades are coming,preparense, fumadores las enfermedades are coming
1426,003,Ay Si,"uy si, uy si mi papa se va a trabajar a otra galaxia",uy si uy si, mi papa se va a trabajar a otra galaxia
1552,006,Filosoraptor,Aqueromomucho ¿que vaina es esa ?,Aqueromomucho ,¿que vaina es esa ?
