,meme_id,plantilla,texto_no_tilde,text_1,text_2
40,012,Willy Wonka,Con que tu nombre es maira alejandra caicedo dime que se siente ser el ser mas lindo del universo,Con que tu nombre es maira alejandra caicedo ,dime que se siente ser el ser mas lindo del universo
43,011,Problems,le dije solo la puntita me la metio bola y too,le dije solo la puntita me la metio bola, y too
58,003,Ay Si,ay si ay si yo ya fui ve tu tambien,ay si ay si, yo ya fui ve tu tambien
65,012,Willy Wonka,asi que te ivas a casar dime que se siente que un comentario cague tu bodorrio.,asi que te ivas a casar ,dime que se siente que un comentario cague tu bodorrio.
71,003,Ay Si,ay si ay si que malota,ay si ay si, que malota
76,012,Willy Wonka,Asi que quieres disfrutar el feriado largo dime ¿que se siente tener clases  sabado y domingo?,Asi que quieres disfrutar el feriado largo ,dime ¿que se siente tener clases  sabado y domingo?
80,012,Willy Wonka,asi k te gusta guns n' roses.... dime k e siente saber de buena musica,asi k te gusta guns n' roses.... ,dime k e siente saber de buena musica
90,012,Willy Wonka,Asi que quieres guerra de memes dime que se siente no tener nada que hacer,Asi que quieres guerra de memes ,dime que se siente no tener nada que hacer
92,003,Ay Si,ay si ay si pero que malota,ay si ay si, pero que malota
94,003,Ay Si,ay si ay si tengo lavadora nueva,ay si ay si, tengo lavadora nueva
103,004,Bad Luck Brian,Da clases de historia en el cch y hace alianza con los maestros lo traiciona America escudero,Da clases de historia en el cch y hace alianza con los maestros, lo traiciona America escudero
109,003,Ay Si,ay si ay si me voy al retiro y abrazo a mario,ay si ay si, me voy al retiro y abrazo a mario
123,008,Matias Prats,noticias de ultima hora el negro garcia dice que estoy loko,noticias de ultima hora, el negro garcia dice que estoy loko
127,003,Ay Si,ay si tu deverias ser checho el dececho jajajajaja  cara de nagla,ay si, tu deverias ser checho el dececho jajajajaja  cara de nagla
151,003,Ay Si,Uy si uy si ya te crees porque te cuida San ponciano,Uy si uy si, ya te crees porque te cuida San ponciano
179,007,Futurama Fry,no se si mi tiempo se va volando o es que lo dejo escapar,no se si mi tiempo se va volando, o es que lo dejo escapar
185,003,Ay Si,ay si ay si  solo lo dices para que no te molesten dracula mix,ay si ay si,  solo lo dices para que no te molesten dracula mix
197,003,Ay Si,ay si ay si no soy gordo ni feo ni pobre,ay si ay si, no soy gordo ni feo ni pobre
214,004,Bad Luck Brian,Compra gtav y fifa 14 cae un rayo se quema su ps3,Compra gtav y fifa 14 cae un rayo, se quema su ps3
234,004,Bad Luck Brian,paga el internet  se le daña la pc,paga el internet , se le daña la pc
277,005,Disaster Girl,descubri donde vivia nicolas maduro repito vivia,descubri donde vivia nicolas maduro repito ,vivia
280,005,Disaster Girl,"descubri donde vivia nicolas maduro repito, donde vivia",descubri donde vivia nicolas maduro repito donde ,vivia
309,008,Matias Prats,ultimas noticias lisbeth llega borracha a su casa,ultimas noticias, lisbeth llega borracha a su casa
312,004,Bad Luck Brian,"se consigue 4 amigos 1 le quita la novia,los otros 3 lo abandonan lejos de casa",se consigue 4 amigos 1 le quita la novialos otros 3, lo abandonan lejos de casa
327,004,Bad Luck Brian,explota para derrotar a nappa no le hace ni un rasguño,explota para derrotar a nappa no, le hace ni un rasguño
356,005,Disaster Girl,dragon es para bebes decian decian...,dragon es para bebes decian ,decian...
357,004,Bad Luck Brian,Esta de cumpleaños facebook no le avisa a sus amigos,Esta de cumpleaños facebook no, le avisa a sus amigos
360,005,Disaster Girl,dragon ball es para bebes decian decian...,dragon ball es para bebes decian ,decian...
363,004,Bad Luck Brian,hace ejercicio para ser mas atractiva se le acaban las nalgas,hace ejercicio para ser mas atractiva, se le acaban las nalgas
375,004,Bad Luck Brian,imprime el portafolio se lo piden en cuaderno,imprime el portafolio, se lo piden en cuaderno
381,007,Futurama Fry,no se si es a mi o que,no se si es a mi, o que
409,008,Matias Prats,y en ultimas noticias  bayern munich es una caca,y en ultimas noticias,  bayern munich es una caca
419,012,Willy Wonka,Asi que tu cumpleaños es el 03 de octubre dime que se siente,Asi que tu cumpleaños es el 03 de octubre ,dime que se siente
431,012,Willy Wonka,cuentame  que se siente que te creen memes,,cuentame  que se siente que te creen memes
459,011,Problems,me dijo kerida  y despues ke llevara las drogas,me dijo kerida , y despues ke llevara las drogas
460,012,Willy Wonka,asi que te llamas santiago vargas dime que se siente que kevin tobon te haga los oles en futbol,asi que te llamas santiago vargas ,dime que se siente que kevin tobon te haga los oles en futbol
461,003,Ay Si,ay si ay si toco instrumentos y me creo mucho,ay si ay si, toco instrumentos y me creo mucho
473,012,Willy Wonka,asi que subes fotos de galaxys dime que se siente que nunca tendras uno,asi que subes fotos de galaxys ,dime que se siente que nunca tendras uno
486,012,Willy Wonka,dime que se siente tener bigotes y poder crecer ni un centimetro,,dime que se siente tener bigotes y poder crecer ni un centimetro
490,004,Bad Luck Brian,el adscrito le enseña a colocar cateter central con tecnica de ghost,el adscrito, le enseña a colocar cateter central con tecnica de ghost
502,003,Ay Si,Ay si ay si soy dodger porque estan en playoff,Ay si ay si, soy dodger porque estan en playoff
523,011,Problems,me pinte las uñas y me quedaron demasiado paque,me pinte las uñas, y me quedaron demasiado paque
534,004,Bad Luck Brian,por fin ganara una partida de smash se va la luz,por fin ganara una partida de smash, se va la luz
539,012,Willy Wonka,dime que se siente tener bigotes y no poder crecer ni un centimetro,,dime que se siente tener bigotes y no poder crecer ni un centimetro
541,003,Ay Si,ay si ay si aun me falta un año,ay si ay si, aun me falta un año
543,004,Bad Luck Brian,defiende el amor libre por primera vez en la vida su novia le es fiel,defiende el amor libre por primera vez en la vida su novia, le es fiel
545,003,Ay Si,hu si huy si ahora todo mundo publica en tus ojos me enamoraron,hu si huy si, ahora todo mundo publica en tus ojos me enamoraron
578,003,Ay Si,"ay si, ay si ahora solo me dice care nalga  tan mala ajaja",ay si ay si, ahora solo me dice care nalga  tan mala ajaja
581,012,Willy Wonka,y dime euyin por que  la cagas a cada rato,y ,dime euyin por que  la cagas a cada rato
594,004,Bad Luck Brian,Se compra su dragon campeon le sale en un sobre,Se compra su dragon campeon, le sale en un sobre
598,012,Willy Wonka,"ASI que resolviste todos los ejercicios ""imposibles"" dime que se siente que no venga ninguno en tu pc","ASI que resolviste todos los ejercicios ""imposibles"" ",dime que se siente que no venga ninguno en tu pc
607,004,Bad Luck Brian,Su primera vez que se va de pinta  lo cachan,Su primera vez que se va de pinta , lo cachan
