,meme_id,plantilla,texto_no_tilde,text_1,text_2
38,012,Willy Wonka,asi que el profe piña no te ayudo en el proyecto? y dime... como te hace sentir eso??',asi que el profe piña no te ayudo en el proyecto? y ,dime... como te hace sentir eso??'
42,012,Willy Wonka,¿Asi que votaste por el NO y no tienes propuestas alternas? Ahora dime que se siente ser tan idiota.,¿Asi que votaste por el NO y no tienes propuestas alternas? Ahora ,dime que se siente ser tan idiota.
53,003,Ay Si,ay si Santiago no diga que no le gusto papito,ay si, Santiago no diga que no le gusto papito
83,007,Futurama Fry,mmm o sera q la popis  al lado de la tiger ya sta aguelusca jajaja,mmm, o sera q la popis  al lado de la tiger ya sta aguelusca jajaja
140,012,Willy Wonka,asi es que medel dice que recupero la piscina municipal dime es la misma piscina que el perdio el 2011???,asi es que medel dice que recupero la piscina municipal ,dime es la misma piscina que el perdio el 2011???
264,004,Bad Luck Brian,Colombia quiere la paz hace un acuerdo y lo somete a votacion. Gana el no.,Colombia quiere la paz hace un acuerdo y, lo somete a votacion. Gana el no.
299,003,Ay Si,Hay si ud pendiente de mis salidas y luego sufre por eso jajajajajaja,Hay si, ud pendiente de mis salidas y luego sufre por eso jajajajajaja
306,003,Ay Si,Hay si la que solo para la escuela tiene y pregunta q ya no salimos,Hay si, la que solo para la escuela tiene y pregunta q ya no salimos
384,003,Ay Si,uuuuy si no me digas,uuuuy si, no me digas
387,007,Futurama Fry,Estara muy bien la tarea o la fregue por completo,Estara muy bien la tarea, o la fregue por completo
521,003,Ay Si,ay si ay si tengo ojos tapatios,ay si ay si, tengo ojos tapatios
551,004,Bad Luck Brian,Le manda ya duermete Y no le contestan por que ya se durmio,Le manda ya duermete Y no, le contestan por que ya se durmio
565,004,Bad Luck Brian,5096335 intentos del easter egg Porfin lo hacemos y el pepelu se queda sin gusano,5096335 intentos del easter egg Porfin, lo hacemos y el pepelu se queda sin gusano
604,006,Filosoraptor,¿Apoya usted el acuerdo final para enviar un misil y desviar el meteorito? NO,,¿Apoya usted el acuerdo final para enviar un misil y desviar el meteorito? NO
608,012,Willy Wonka,Y dime que se siente Crear un meme,Y ,dime que se siente Crear un meme
628,004,Bad Luck Brian,Estaba haciendo un trabajo se le va la luz,Estaba haciendo un trabajo, se le va la luz
691,012,Willy Wonka,"asi que estas haciendo memes con esto dime, que se siente ser retrasado?",asi que estas haciendo memes con esto ,dime que se siente ser retrasado?
697,003,Ay Si,"Ay si ay si Hermanito, hermanito",Ay si ay si, Hermanito hermanito
699,003,Ay Si,Ay si ay si Hermanito hermanito,Ay si ay si, Hermanito hermanito
717,003,Ay Si,"ay si, ay si soy la dra.cinthya",ay si ay si, soy la dra.cinthya
718,003,Ay Si,"ay si, ay si soy la dra. cinthya",ay si ay si, soy la dra. cinthya
728,012,Willy Wonka,Asi que vendiste tu alma y la de tu familia al diablo por riqueza claro; por favor cuentame acerca de como queres romper un pacto con satanas,Asi que vendiste tu alma y la de tu familia al diablo por riqueza claro; por favor ,cuentame acerca de como queres romper un pacto con satanas
733,004,Bad Luck Brian,Cuando le preguntas a un colega que hizo la noche anterior con tus colegas. No quieras saber lo.,Cuando, le preguntas a un colega que hizo la noche anterior con tus colegas. No quieras saber lo.
755,004,Bad Luck Brian,"Vota por el si, pierde Se va a USA, gana Trump, lo deportan",Vota por el si pierde Se va a USA gana Trump, lo deportan
771,004,Bad Luck Brian,Esteban... se la come,Esteban..., se la come
780,007,Futurama Fry,No se retar al diablo fue bueno o estupido,No se retar al diablo fue bueno, o estupido
