,meme_id,plantilla,texto_no_tilde,text_1,text_2
9,002,Annoying Gamer Kid,soi un nino rrata i ke soy vien cul,None,None
29,004,Bad Luck Brian,Es hincha del dim es hincha del dim,None,None
30,004,Bad Luck Brian,creo que me paresco al renzo alejandro comeneten si o no,None,None
51,001,Ancient Aliens,calanche,None,None
53,002,Annoying Gamer Kid,tu te cagas en lo que juego,None,None
57,003,Ay Si,huy si huy si ahora resulta que todos diciendo mis hijos son mas bellos;para darse consuelo,None,None
61,001,Ancient Aliens,Y ASÍ NO ERA EL DE vALERIA,None,None
71,012,Willy Wonka,alfetv es bueno pero q se siente q cgp t paso el trapo?,None,None
75,012,Willy Wonka,ni;o una pregunta que se siente ser ;ero,None,None
81,007,Futurama Fry,con esta mirada te vere despues,None,None
84,013,Yao Wonka,me va tocar hacerle fuerza a river,None,None
88,008,Matias Prats,nuevas noticias televisa se chingo la cultura,None,None
89,011,Problems,yo aun recuerdo el panda que contaba chistes chistosos,None,None
91,003,Ay Si,aiii yo nose nda brian,None,None
94,012,Willy Wonka,oe mote osea tiene internet  ilimitado con razon jodes la vida de toda la promo 2003  incluyendo mas a edson !,None,None
95,009,No me digas,deja de las drogas cabron por eso estas ta pendejo,None,None
101,004,Bad Luck Brian,jose luis,None,None
107,010,Prepare Yourself,si tan solo las cosas no quedaran en memes,None,None
112,004,Bad Luck Brian,giorgino que guapo soy feo pero estoy feliz,None,None
113,001,Ancient Aliens,esto es candybear,None,None
115,011,Problems,El problema no es crear un legend el problema es que cuesta mucho oro,None,None
127,011,Problems,yo aun recuerdo al panda que decia buenos chistes,None,None
132,012,Willy Wonka,mi mayor sueño que arnie deje de publicar huevadas,None,None
139,009,No me digas,no me digas,None,None
142,004,Bad Luck Brian,pasa a escribir otra palabra escribe la misma,None,None
148,003,Ay Si,Hay si !  hay si !!!! volvi a ganar en el angry birds,None,None
150,006,Filosoraptor,que jodida,None,None
160,003,Ay Si,AY SI HORA TODOS QUIEREN VIAJAR,None,None
162,001,Ancient Aliens,no trae cta solo hay una explicacion koreanos,None,None
164,003,Ay Si,vilu y su psicopatia de corregir la ortografia,None,None
168,004,Bad Luck Brian,Invita a alguien al concierto Lo dejan plantado,None,None
170,005,Disaster Girl,Creia que era original ... Creia.,None,None
176,004,Bad Luck Brian,Hola qUIEN HABLA CON EL JEAN C KHALIFA,None,None
182,003,Ay Si,¿que harias si un negro es rasista,None,None
191,003,Ay Si,Ay si ay sI No entiende que Es especIal,None,None
192,011,Problems,EL PINCHI CHARLY ES PRIISTA SI YOLIS UBIESE TOMADO ASIDO FOLICO,None,None
205,006,Filosoraptor,el guru de etica,None,None
207,003,Ay Si,Ay se delico la niña,None,None
219,003,Ay Si,"ay si , ay si, soy un poeta copio y pego ,copio y pego",None,None
224,011,Problems,si queria tacos pero de la puerta negra,None,None
231,007,Futurama Fry,es un hobita a no es josue,None,None
234,003,Ay Si,Jose manda dale like =D,None,None
241,007,Futurama Fry,cuando te piden que compres algo esto eehh snooo,None,None
250,007,Futurama Fry,este es tu cara xd l......de tarado,None,None
251,011,Problems,como habra gente idiota,None,None
270,003,Ay Si,ahy si ahy si te crees machito... y te pica tu asquerosa chucha perra..,None,None
277,007,Futurama Fry,tranquila cochinada... controlate cabro mal cachado...,None,None
287,004,Bad Luck Brian,joao Dice que se va y se queda has socio,None,None
290,004,Bad Luck Brian,joao dice que se va y se queda hasta ser socio,None,None
291,007,Futurama Fry,Santillan No sabes cuanto te Odio,None,None
295,012,Willy Wonka,te haces cachar dia y noche,None,None
301,013,Yao Wonka,larga la costa seamos trabas,None,None
307,003,Ay Si,maten el negro,None,None
308,012,Willy Wonka,wily wonka wily wonka la primavera,None,None
315,011,Problems,flor regresa!!!!,None,None
324,004,Bad Luck Brian,911 LINEA OCUPADA,None,None
333,001,Ancient Aliens,solo una palabras pongan las chelas,None,None
334,013,Yao Wonka,que dices que tu eres bueno para jugar gitar fals,None,None
337,006,Filosoraptor,aya chevere,None,None
339,007,Futurama Fry,NO HABÍA NOTADO LO DEFORME QUE ESTÁS,None,None
343,006,Filosoraptor,JURASIC WORD SERA UNA PARODIA DE JURASIC PARK,None,None
350,006,Filosoraptor,JURASIC  WORD SERA UNA PARODIA DE JURASIC  PARK,None,None
355,001,Ancient Aliens,chumlee no es un ninja es un alienigena,None,None
362,010,Prepare Yourself,Definitivamente goku es el mejor pokemon de Yugi,None,None
364,007,Futurama Fry,Si como no Ya tE lo wa Creer,None,None
365,011,Problems,y pensar .. que mañana me tedre que bañar con este frio!!,None,None
372,012,Willy Wonka,Asi que mañana tiene muestra de bibliolabs Y no te conecta nada,None,None
374,004,Bad Luck Brian,queria hacer el mundial del 86 solo queria hacer el mundial del 86,None,None
380,001,Ancient Aliens,trankilos  trankilos ajja..,None,None
395,009,No me digas,¿asi que eres fashion blogger? Pero si no tienes plata ni para comprate un carro,None,None
404,001,Ancient Aliens,te prometo alexa que no nos pasaremos del presupuesto para la final,None,None
406,009,No me digas,y a quien carajos le importa juan diego? :v,None,None
408,006,Filosoraptor,"si te gana un equipo ""de la b"" te hace de la ""C""",None,None
416,004,Bad Luck Brian,Trata DE HACER GARGARAS SE AHOGA,None,None
418,005,Disaster Girl,x si ustede pensaba k yo paula'ramirez era una tierna niña se dan kuenta k noo,None,None
422,005,Disaster Girl,matiii te va a pasar lo mismo que a mi vecina,None,None
428,008,Matias Prats,IN OTHER NEWS ERICK GO FUCK YOUR SELF,None,None
431,005,Disaster Girl,LE DIJE QUE SE LO COLOCARA,None,None
444,007,Futurama Fry,yo donde fue que deje los papeles del carro,None,None
446,013,Yao Wonka,jajaja ben si kieres !!!,None,None
447,001,Ancient Aliens,aLEXANDRER fEO,None,None
448,007,Futurama Fry,si....creo q no lo extrañaremos,None,None
453,003,Ay Si,AYY SII SII TU ERES PAJERO NOE,None,None
456,011,Problems,porque no vajai luego la guata bastian,None,None
461,005,Disaster Girl,GABRIEL ZURITA DECIA QUE JUSTIN ES GENIAL YA NO,None,None
465,003,Ay Si,"hAY SI, HAY SI... hoy si le voy a los pumas, aunque nunca me quito mi playera del cruz azul!!!",None,None
470,005,Disaster Girl,TU PUBLICACION ME HIZO INCENDIAR MI CASA,None,None
473,003,Ay Si,hoi si yo no fumo soi guei jajaja,None,None
485,011,Problems,me conto  el chiste de siempre pero olvido Que  en  Mis DIAS,None,None
489,011,Problems,me  CONTO El CHISTE de SIEMPRE pero olvido que  ESTOY En Mis dias,None,None
490,007,Futurama Fry,LAMINA ELIZABET lee al rebes,None,None
495,005,Disaster Girl,mira lo que puedo hacer,None,None
499,005,Disaster Girl,mama no paso nada solo vino martin garrix,None,None
500,003,Ay Si,HAY SI ME TOMO UNA NOELINA Y ME DISEN LA CORRE CAMINO WUAJAJAJA,None,None
502,011,Problems,siempre tendre poder ya se te acabo...,None,None
504,003,Ay Si,Yo No TE Mande no OBEDECISTE Ya!,None,None
505,009,No me digas,no me digas justin bieber es gay,None,None
508,011,Problems,siempre tendre poder ya se me acabo...,None,None
509,005,Disaster Girl,admira a la explosion de los edificios,None,None
528,005,Disaster Girl,IBAN A HACER UNA FIESTA en lo de martin IBAN...,None,None
529,006,Filosoraptor,cuanto sera 5 por 5,None,None
531,012,Willy Wonka,asi que te gustan los hombres,None,None
541,006,Filosoraptor,si un aficionado del pumas le tiro arra al gober por que ama a peña?,None,None
549,012,Willy Wonka,asi que vienes por tu dosis de bullying seria una lastima que no te apoyemos en tu causa,None,None
550,006,Filosoraptor,nomas no pendejo,None,None
555,008,Matias Prats,por fin encontramos a la señorita q le gusta poner webadas en sus conversa,None,None
561,006,Filosoraptor,si los zombies entran a tu casa zombienvenidos ??,None,None
567,009,No me digas,aerrsss que paso,None,None
569,007,Futurama Fry,sacate la otra chichi pa mi,None,None
571,009,No me digas,NO ME DIGAS,None,None
575,004,Bad Luck Brian,que pero que imbesil,None,None
577,009,No me digas,no me digas tu eres mas pendejo giovani,None,None
584,012,Willy Wonka,hayyyyy pila de caga,None,None
590,004,Bad Luck Brian,Quiere enviar un comercial debe hacerlo por A+V,None,None
