,meme_id,plantilla,texto_no_tilde,text_1,text_2
13,008,Matias Prats,noticia ultima hora una niña se ba a morir de la risa todavia no se sabe quien es el culpable,noticia ultima hora, una niña se ba a morir de la risa todavia no se sabe quien es el culpable
36,007,Futurama Fry,no se si todo esta caro o yo soy muy pobre,no se si todo esta caro, o yo soy muy pobre
38,012,Willy Wonka,asi que usas revit? dime que se siente usar un programa atrasado 17 años en el mundo bim,asi que usas revit? ,dime que se siente usar un programa atrasado 17 años en el mundo bim
41,012,Willy Wonka,asi que usas revit? dime que se siente usar un programa atrasado 13 años en el mundo bim,asi que usas revit? ,dime que se siente usar un programa atrasado 13 años en el mundo bim
44,012,Willy Wonka,asi que usas revit? dime que se siente no ser compatible con otros programas bim?,asi que usas revit? ,dime que se siente no ser compatible con otros programas bim?
70,012,Willy Wonka,asi que te burlas de peto dime que se siente tener el mismo pelo que el,asi que te burlas de peto ,dime que se siente tener el mismo pelo que el
74,011,Problems,hay no y de donde salen estos pendejos,hay no, y de donde salen estos pendejos
76,008,Matias Prats,atencion de ultima hora a oscar cada dia mas le crecen las pepas,atencion de ultima hora, a oscar cada dia mas le crecen las pepas
85,012,Willy Wonka,dime que se siente encontrar tus llaves dentro de un zapato,,dime que se siente encontrar tus llaves dentro de un zapato
103,012,Willy Wonka,tu tambien crees en eso? dime que se siente ser estupido,tu tambien crees en eso? ,dime que se siente ser estupido
143,008,Matias Prats,ultima hora marifer dolmus acosta comento aja siipp ??,ultima hora, marifer dolmus acosta comento aja siipp ??
190,012,Willy Wonka,y dime que se siente querere aprender acordeon jajjajaj,y ,dime que se siente querere aprender acordeon jajjajaj
202,003,Ay Si,ay si ay si,ay si ay si,
204,007,Futurama Fry,eres gael el gay o q,eres gael el gay, o q
208,004,Bad Luck Brian,t gusta el pito y yo lo se,t gusta el pito y yo, lo se
242,003,Ay Si,ay si como no yo todo,ay si, como no yo todo
278,008,Matias Prats,"ultima hora salio a vacaciones la mesa de dialogo en cuba,,al parecer vienen para colombia,,asi que ..vamonos todos",ultima hora, salio a vacaciones la mesa de dialogo en cubaal parecer vienen para colombiaasi que ..vamonos todos
297,004,Bad Luck Brian,cumple  años lo levantan,cumple  años, lo levantan
300,004,Bad Luck Brian,cumple años se estrella,cumple años, se estrella
311,012,Willy Wonka,te dicen trapias dime que se sienteser el hazme reir de logistica internacional,te dicen trapias ,dime que se sienteser el hazme reir de logistica internacional
312,012,Willy Wonka,te dicen trapias dime que se siente ser el hazme reir de logistica internacional,te dicen trapias ,dime que se siente ser el hazme reir de logistica internacional
328,010,Prepare Yourself,preparense para el Paintball,preparense, para el Paintball
338,008,Matias Prats,ultimas noticias... A Ronny le pica el orto,ultimas noticias,... A Ronny le pica el orto
339,010,Prepare Yourself,preparense para el Paintball Mañana,preparense, para el Paintball Mañana
365,008,Matias Prats,ultimas noticias mujer llamada dahiana ama a su amor quien es,ultimas noticias, mujer llamada dahiana ama a su amor quien es
392,011,Problems,me ti la llave maya en las compu del cole y todo lo que tenia se me borro,me ti la llave maya en las compu del cole, y todo lo que tenia se me borro
397,007,Futurama Fry,No se si es mi imaginacion o sabines y otros locos es el mejor grupo,No se si es mi imaginacion, o sabines y otros locos es el mejor grupo
439,004,Bad Luck Brian,gasto 3000 isos le salio 12 monedas,gasto 3000 isos, le salio 12 monedas
458,003,Ay Si,ay si aysi rebeca se quedara en mi casa #bodareal,ay si, aysi rebeca se quedara en mi casa #bodareal
466,008,Matias Prats,ultima hora se convoca casting para delegado de infantiles,ultima hora, se convoca casting para delegado de infantiles
489,004,Bad Luck Brian,empuja a Renata al pastel le da un sembron,empuja a Renata al pastel, le da un sembron
508,011,Problems,me gusta el chisme y dany me cierra el face,me gusta el chisme, y dany me cierra el face
515,003,Ay Si,ay si asy si no hemos ido a las makis ...desde ayer,ay si, asy si no hemos ido a las makis ...desde ayer
521,004,Bad Luck Brian,juega el ultimo nivel de un juego super dificil se le va la energia en la casa,juega el ultimo nivel de un juego super dificil, se le va la energia en la casa
546,007,Futurama Fry,tipico mirada de cuando alguien te coje de recocha o te ase una broma pesada,tipico mirada de cuando alguien te coje de recocha, o te ase una broma pesada
635,003,Ay Si,"ay si,fue yo quien rompio el play",ay si,fue yo quien rompio el play
644,003,Ay Si,ay si primer semana que trabajo conpleta yumi yumi hi oy sepaga la brutoma,ay si, primer semana que trabajo conpleta yumi yumi hi oy sepaga la brutoma
646,007,Futurama Fry,no se si no tengo sueño o ya he dormido tanto otros dias que ya se me quitaron las ganas de dormir,no se si no tengo sueño, o ya he dormido tanto otros dias que ya se me quitaron las ganas de dormir
648,011,Problems,primero la selfie y no limpia la casa hasta el desorden sale en la selfie xd!,primero la selfie, y no limpia la casa hasta el desorden sale en la selfie xd!
649,011,Problems,primero la selfie  y no limpia la casa sera que el desorden es parte de la selfie ?,primero la selfie , y no limpia la casa sera que el desorden es parte de la selfie ?
660,004,Bad Luck Brian,Quiere hacer gestion la psg no le habla,Quiere hacer gestion la psg no, le habla
701,012,Willy Wonka,y dime Jr!! quese siente ser pobre y quedarse sin bateria,y ,dime Jr!! quese siente ser pobre y quedarse sin bateria
763,006,Filosoraptor,"si ""abrazar"" es rodear con el brazo, ""apoyar"" ¿que es?","si ""abrazar"" es rodear con el brazo ""apoyar"" ",¿que es?
794,013,Yao Wonka,conque tienes un celular galaxi dime que se siente que tu celular sea mas inteligente que tu,conque tienes un celular galaxi ,dime que se siente que tu celular sea mas inteligente que tu
825,003,Ay Si,haaaaay si publicare algo relacionado con la marihuna por que es abril  y quiero que todo el mundo sepa que soy un volao a la moda,haaaaay si, publicare algo relacionado con la marihuna por que es abril  y quiero que todo el mundo sepa que soy un volao a la moda
851,012,Willy Wonka,dime marcos que se siente perder todos los juegos de la play?,,dime marcos que se siente perder todos los juegos de la play?
856,004,Bad Luck Brian,Se filtra una colaboracion suya La filtra el por que a nadie le importa,Se filtra una colaboracion suya La filtra el por que a nadie, le importa
884,004,Bad Luck Brian,Es jefe de soporte llama a soporte para que lo ayuden,Es jefe de soporte llama a soporte para que, lo ayuden
924,007,Futurama Fry,NO Se si es miercoles santos o viernes,NO Se si es miercoles santos, o viernes
934,008,Matias Prats,Noticia de ultima hora Derfel muere al ver una chica desnuda,Noticia de ultima hora, Derfel muere al ver una chica desnuda
953,003,Ay Si,ay si en semana santa todos son santos y luego ni se acuerdan de Dios,ay si, en semana santa todos son santos y luego ni se acuerdan de Dios
960,004,Bad Luck Brian,por que no dejas de molestar a los demas antes que te hagan lo mismo,por que no dejas de molestar a los demas antes que te hagan, lo mismo
984,004,Bad Luck Brian,Es ateo se llama emmanuel jesus,Es ateo, se llama emmanuel jesus
988,003,Ay Si,ay si ay si ya no les quiero hablar a mis amigos nada mas por que trabajo con el chocolate,ay si ay si, ya no les quiero hablar a mis amigos nada mas por que trabajo con el chocolate
1000,008,Matias Prats,ultima hora! arruinamos el estado.,ultima hora,! arruinamos el estado.
1013,003,Ay Si,"Ay si, ay si! Me hago el rudo diciendo que le hace falta ver mas bax!",Ay si ay si,! Me hago el rudo diciendo que le hace falta ver mas bax!
1018,007,Futurama Fry,NO SE que es mas estupido si tu o tus comentarios,NO SE que es mas estupido si tu, o tus comentarios
