,meme_id,plantilla,texto_no_tilde,text_1,text_2
3,008,Matias Prats,Accion 10: lider los protestantes de chichigalpa exige indemnizacion el informe indica que el lider anarquista es trabajor de iprocen,None,None
4,013,Yao Wonka,Estas bien pendejo Foncho,None,None
5,008,Matias Prats,Accion 10: lider de los protestantes de chichigalpa exige indemnizacion el informe indica que el lider anarquista es trabajor de iprocen,None,None
8,008,Matias Prats,Y el dia de hoy Zoe esta bien pendejo,None,None
10,005,Disaster Girl,Vez solo que pasa Si no sabes quien es Rubius,None,None
12,006,Filosoraptor,si soy p*to entonce tengo p**o?,None,None
22,009,No me digas,What? Como se llama este grupo?,None,None
28,012,Willy Wonka,"Te reto a comentar Un pais que tenga la letra ""A""",None,None
31,010,Prepare Yourself,te he vencido bicht,None,None
38,004,Bad Luck Brian,SE HABLAN MAS EN FACEBOOK QUE EN PESONA,None,None
39,013,Yao Wonka,"hola... con la fabrica de amigos? este, mire.. esque me salieron bien jotos todos!!",None,None
47,012,Willy Wonka,"Fabian Lo mula, no te lo quitas",None,None
50,008,Matias Prats,"EN OTRAS NOTICIAS,HOY SE CUMPLE UNA SEMANA CUANDO LE SACARON PEFECT AL AFRO",None,None
52,008,Matias Prats,"EN OTRAS NOTICIAS,HOY SE CUMPLE UNA SEMANA CUANDO LE SACARON PERFECT AL AFRO",None,None
62,012,Willy Wonka,MUCHACHOS Y SI COMPRAMOS UNA BASUCA PARA VOLARLE LA CABEZA..,None,None
69,004,Bad Luck Brian,Juega Halo en facil no psasa del punto de control,None,None
71,012,Willy Wonka,Asi que eres novia de Red Skittle Dime que se siente ser pareja de un pedofilos,None,None
90,007,Futurama Fry,gil te estoy viendo ayyyyyyyyyy,None,None
100,001,Ancient Aliens,Los hombres pelean por una mujer Nosotros por una pizza,None,None
101,012,Willy Wonka,asi que volviste con tu novio y no te importa que te engañe otra ves???,None,None
103,012,Willy Wonka,"a mi no me engañas,te gusto como te trono el ejotito",None,None
109,011,Problems,termine con el luis ... a no ya volvimos,None,None
110,007,Futurama Fry,Si ellos odian a Red Skittle Para que le dedican post y comentarios,None,None
116,011,Problems,Por dios Que le pasa a la familia keim,None,None
118,012,Willy Wonka,me estas mintiendo,None,None
122,005,Disaster Girl,SI  CLARO YO  LE  HAGO  EL FAVOR,None,None
134,005,Disaster Girl,"+1 y quemare en donde hacen SU y MH,hice un bien a E.E.U.U",None,None
137,011,Problems,q madres  quieres chamaco chamaco,None,None
145,005,Disaster Girl,Ahi estaba Justin bieber!!,None,None
146,011,Problems,noooooooooooooo que hicistes mrd,None,None
148,012,Willy Wonka,hulala samantha,None,None
155,013,Yao Wonka,on quien te pario Tu mami,None,None
160,009,No me digas,AGRADECEME JAJAJ CURITA,None,None
169,007,Futurama Fry,No se si hacer las 72 preguntas O seguir haciendo memes,None,None
171,006,Filosoraptor,Desarrolla tus dones y capacidades,None,None
176,013,Yao Wonka,Sigueme contando Me muero de la risa,None,None
188,005,Disaster Girl,Yo me encargo del maletin Todad ira bien decian..,None,None
189,005,Disaster Girl,Yo me encargo del maletin no se preocupen,None,None
190,011,Problems,dame una oportunidad no la desperdiciare,None,None
