,meme_id,plantilla,texto_no_tilde,text_1,text_2
8,007,Futurama Fry,nO se si es una pregunta o es que me espias,nO se si es una pregunta, o es que me espias
12,004,Bad Luck Brian,"se cambia de equipo y juega su primer partido ,gana pero se lo dan por perdido por no estar en la nomina",se cambia de equipo y juega su primer partido gana pero, se lo dan por perdido por no estar en la nomina
16,003,Ay Si,hay si amy lee  en todos los Dp si supieran k ta fea,hay si, amy lee  en todos los Dp si supieran k ta fea
17,004,Bad Luck Brian,pierde un año para estar con su novia terminan se relacion,pierde un año para estar con su novia terminan, se relacion
18,012,Willy Wonka,asi que vas al gym hace 2 años y no tomas proteinas dime que se siente tener el mismo cuerpo de cuando comenzaste a ir,asi que vas al gym hace 2 años y no tomas proteinas ,dime que se siente tener el mismo cuerpo de cuando comenzaste a ir
20,006,Filosoraptor,TORO ¿CONNOR?,TORO ,¿CONNOR?
26,004,Bad Luck Brian,tiene que entregar una trabajo de maximo  10 hojas entrega 11 y lo suspenden,tiene que entregar una trabajo de maximo  10 hojas entrega 11 y, lo suspenden
40,012,Willy Wonka,¿asi que te gusta bigote? dime que se siente tener buen gusto,¿asi que te gusta bigote? ,dime que se siente tener buen gusto
41,003,Ay Si,hay si tu  quien eres,hay si, tu  quien eres
51,012,Willy Wonka,a que eres amigo de tefy montalvo cuentame que se siente ser un afortunado,a que eres amigo de tefy montalvo ,cuentame que se siente ser un afortunado
54,012,Willy Wonka,"Asi que no eres de cortes? dime, que se siente ser un imbecil ignorante que no voto por el pac?",Asi que no eres de cortes? ,dime que se siente ser un imbecil ignorante que no voto por el pac?
75,012,Willy Wonka,Asi que eres madridista y hablas mal de messi? dime que se siente saber que ahora que messi se va del barsa ya el real lo esta pidiendo,Asi que eres madridista y hablas mal de messi? ,dime que se siente saber que ahora que messi se va del barsa ya el real lo esta pidiendo
85,003,Ay Si,ay si ay si lo cage & quiere parar para no pasar verguenza,ay si ay si, lo cage & quiere parar para no pasar verguenza
101,003,Ay Si,ay si ay si como ya tengo novio ya no hablo,ay si ay si, como ya tengo novio ya no hablo
106,011,Problems,el coilson me dijo solo la puntita y ahora ya tengo casi 9 meses,el coilson me dijo solo la puntita, y ahora ya tengo casi 9 meses
120,003,Ay Si,"uy si, uy si, TE CRES PORQUE ES TU CUMPLE MUCGAS FELICIDADES KATY VALENCIA",uy si uy si, TE CRES PORQUE ES TU CUMPLE MUCGAS FELICIDADES KATY VALENCIA
139,004,Bad Luck Brian,Finalmente se entera de que llega internet a su casa ya no hay cupo,Finalmente, se entera de que llega internet a su casa ya no hay cupo
163,006,Filosoraptor,Si tomas alcohol eres alcoholico si tomo fanta¿Sere fantastico?,Si tomas alcohol eres alcoholico si tomo fanta,¿Sere fantastico?
181,012,Willy Wonka,fort dime que se siente ser querido solo cdo mures ?,fort ,dime que se siente ser querido solo cdo mures ?
184,012,Willy Wonka,"Con que querias hacerte una paja en tu escritorio mientras todos dormian? dime, que se siente que tu hermano aparezca de la nada y te cague la paja?",Con que querias hacerte una paja en tu escritorio mientras todos dormian? ,dime que se siente que tu hermano aparezca de la nada y te cague la paja?
192,004,Bad Luck Brian,se mete a comentar al grupo lo fusilan...,se mete a comentar al grupo, lo fusilan...
195,003,Ay Si,ay si ay si ahora si uno empalida lo bañan,ay si ay si, ahora si uno empalida lo bañan
210,006,Filosoraptor,y si los simpsons ¿se inspiraron en robin para michael jackson?,y si los simpsons ,¿se inspiraron en robin para michael jackson?
213,006,Filosoraptor,¿y si allan de resacon... es enric?,,¿y si allan de resacon... es enric?
221,012,Willy Wonka,"Con que aguinaga es tu profesor de intro? dime, que se siente que te vaya a dar como a hijo en el final?",Con que aguinaga es tu profesor de intro? ,dime que se siente que te vaya a dar como a hijo en el final?
266,004,Bad Luck Brian,viene por amor lo trolea sin misericordia,viene por amor, lo trolea sin misericordia
267,007,Futurama Fry,no se si la gente se copia de los simpsons o solo son unos jodidos genios,no se si la gente se copia de los simpsons, o solo son unos jodidos genios
269,007,Futurama Fry,nose si devuelvo el terno o lo mando a entallar para mi,nose si devuelvo el terno, o lo mando a entallar para mi
280,011,Problems,me dijo que era pro y no callo el flip,me dijo que era pro, y no callo el flip
286,007,Futurama Fry,no se si me esta llamando feo o demasiado guapo para comprometerse,no se si me esta llamando feo, o demasiado guapo para comprometerse
292,013,Yao Wonka,interesante  cuentame mas,interesante  ,cuentame mas
294,012,Willy Wonka,dime que se siente ser peke?,,dime que se siente ser peke?
314,012,Willy Wonka,asi que el shorizo esta en tu casa.. dime que se siente no tener intimidad con tu pareja,asi que el shorizo esta en tu casa.. ,dime que se siente no tener intimidad con tu pareja
328,012,Willy Wonka,Asi que eres Junior dime que se siente que tus compañeras te hagan bullying?,Asi que eres Junior ,dime que se siente que tus compañeras te hagan bullying?
329,012,Willy Wonka,Asi que estas en una nueva relacion dime que se siente que todos te agarren pal webeo y no den un peso por tu pololeo??,Asi que estas en una nueva relacion ,dime que se siente que todos te agarren pal webeo y no den un peso por tu pololeo??
343,004,Bad Luck Brian,comentara para webiar al jaji la señora se lo caga,comentara para webiar al jaji la señora, se lo caga
366,004,Bad Luck Brian,va a una pichanga se lo folla dos dias un caballo,va a una pichanga, se lo folla dos dias un caballo
379,012,Willy Wonka,asi que te gusta liam payne dime que se siente saber que el no sabe que tu exixstes?,asi que te gusta liam payne ,dime que se siente saber que el no sabe que tu exixstes?
398,003,Ay Si,"ay si, ay si ahora todas son fan de abel pintos",ay si ay si, ahora todas son fan de abel pintos
403,003,Ay Si,"ay si, ay si ahora todos le hacen bullying al mono con fotos",ay si ay si, ahora todos le hacen bullying al mono con fotos
416,007,Futurama Fry,No se si el examen estuvo facil o yo no sabia nada,No se si el examen estuvo facil, o yo no sabia nada
421,003,Ay Si,"Ay si, ay si vienen del inr a darnos capacitacion  en iso9001",Ay si ay si, vienen del inr a darnos capacitacion  en iso9001
434,003,Ay Si,hay si. los hombres de este tiempo no sirven. komo ya nos avivamos y no les damos el cheke ya no servimos. by. cookies,hay si,. los hombres de este tiempo no sirven. komo ya nos avivamos y no les damos el cheke ya no servimos. by. cookies
483,003,Ay Si,"ay si ay si soy un asesino, pero me cuida el gobierno",ay si ay si, soy un asesino pero me cuida el gobierno
491,003,Ay Si,hay si porque te lanzan piropos crees que estas buenisima,hay si, porque te lanzan piropos crees que estas buenisima
506,003,Ay Si,ay si ay si  se cre la gran cosa porque sabe hacer memes,ay si ay si,  se cre la gran cosa porque sabe hacer memes
508,003,Ay Si,Ay si hay si quito mi fecha de cumpleaños del face pa que no se den cuenta que llegue al cuarto piso,Ay si hay si, quito mi fecha de cumpleaños del face pa que no se den cuenta que llegue al cuarto piso
510,003,Ay Si,Ay si ay si quito mi fecha de cumpleaños del face pa que no se den cuenta que llegue al cuarto piso,Ay si ay si, quito mi fecha de cumpleaños del face pa que no se den cuenta que llegue al cuarto piso
515,003,Ay Si,ay si  me amenazas con un 1 en la libreta,ay si,  me amenazas con un 1 en la libreta
527,012,Willy Wonka,entonces eres artista porque tienes 5 teras bites de musica de internet pero no tienes 750 mb de musica hecha por ti en un cd. cuentame mas,entonces eres artista porque tienes 5 teras bites de musica de internet pero no tienes 750 mb de musica hecha por ti en un cd. ,cuentame mas
544,003,Ay Si,"ahora se va a joder al ciro y no a estudiar ..!! hay si diana,..!!",ahora se va a joder al ciro y no a estudiar ..!! hay si, diana..!!
551,004,Bad Luck Brian,pide no tener novia en 2013 se le cumple,pide no tener novia en 2013, se le cumple
553,003,Ay Si,"Ay si, ay si ahora todo es epidemiologia",Ay si ay si, ahora todo es epidemiologia
555,012,Willy Wonka,asi que eres filosofo?... cuentame mas....,asi que eres filosofo?... ,cuentame mas....
563,003,Ay Si,"ahora se va a joder al ciro y no a estudiar ..!! que mal .!! hay si diana,..!!",ahora se va a joder al ciro y no a estudiar ..!! que mal .!! hay si, diana..!!
574,004,Bad Luck Brian,Pide un Ascenso lo despiden Mala suerte brian,Pide un Ascenso, lo despiden Mala suerte brian
587,007,Futurama Fry,no se si reirme o llorar por esta foto,no se si reirme, o llorar por esta foto
