,meme_id,plantilla,texto_no_tilde,text_1,text_2
5,001,Ancient Aliens,Buen intento de excusar a la administracion Le faltaron aliens pero buena historia,None,None
7,012,Willy Wonka,se van a besar,None,None
17,008,Matias Prats,en otras noticias el eliuth no le entiende al whatsapp jajajajajaja,None,None
20,008,Matias Prats,les informammos el melon es patroncillo mas omenillos,None,None
28,013,Yao Wonka,Si mbe ta weno,None,None
42,003,Ay Si,Ay si Ya hablo el guapo,None,None
49,004,Bad Luck Brian,PORTARSE BIEN?? ESO SE COME? O SE FUMA?,None,None
51,004,Bad Luck Brian,PORTARSE BIEN?? ESO SE COME? :3,None,None
60,003,Ay Si,aqui como pendejo estudiando Trileptal si voy a terminar vendiendo medias,None,None
64,003,Ay Si,Hay noooo que serote,None,None
80,007,Futurama Fry,subasta cerrada!!!!,None,None
82,001,Ancient Aliens,algo asi de grande queres,None,None
88,006,Filosoraptor,mmmm dejame pensar,None,None
89,012,Willy Wonka,mas k super marifer domus acosta,None,None
96,009,No me digas,oly gaby!!,None,None
102,006,Filosoraptor,marifer n es original creo k la conpre en el.mercado o n m acuerdo,None,None
105,007,Futurama Fry,Nose si es un vagabundo O Wilmer el Garavito,None,None
106,001,Ancient Aliens,Porque Dios hace la mujeres tan hermosas,None,None
108,005,Disaster Girl,I see a lot more Puppies in my future,None,None
112,007,Futurama Fry,sabes de que trata el decreto 614 de 1984? lo sabes? eh?,None,None
118,007,Futurama Fry,Y TU AMOR ANGUIE SON NOVIOS,None,None
125,001,Ancient Aliens,drones drones everywhere,None,None
126,008,Matias Prats,en otras noticias se detectan en todo el mundo un nivel de niños rata del 90.99 %,None,None
129,001,Ancient Aliens,Solo hay una explicacion para esto Wilmer el Violador,None,None
133,001,Ancient Aliens,buena historia solo le falto mas master chief y menos locke,None,None
135,003,Ay Si,Cuidado que mar se castiga sin sexo,None,None
136,003,Ay Si,pues me vale ..ajaver,None,None
138,008,Matias Prats,Ultima hora Wilmer a Violado mas de 700 niños Y dice la biblia Vendran cifras peores,None,None
149,008,Matias Prats,en otras noticias dimi pop  torres no fue el dark,None,None
