,meme_id,plantilla,texto_no_tilde,text_1,text_2
2,007,Futurama Fry,cuando te das cuenta que no tienes amigos,None,None
6,012,Willy Wonka,Asi que andas vendiendo todo para ir de patechucho,None,None
7,012,Willy Wonka,Y DIME!!! Q SE SIENTE ESTAR LEVANTADA DESDE TAMPRANO??,None,None
11,003,Ay Si,ok ok no me pegues,None,None
12,012,Willy Wonka,Mision imposible,None,None
20,001,Ancient Aliens,te falto un poco de pina... pero buen proyecto,None,None
22,010,Prepare Yourself,preparaos Ajedrez Latinoamericano y CCM Lichess Arena is Coming,None,None
26,007,Futurama Fry,ole creo q esa es tu mama,None,None
27,003,Ay Si,Por 30 pesos de una libreta de firmas soy hambriado Para el hotel el hambriado no era yo y menos en servicio,None,None
29,001,Ancient Aliens,la fase independiente de la luz se realiza en el estroma y la fase dependiente de la luz en los tilacoides,None,None
33,003,Ay Si,AhI gano el pueblo,None,None
34,004,Bad Luck Brian,QUIERE LA PAZ E INSULTA A LOS QUE VOTARON POR EL NO,None,None
38,004,Bad Luck Brian,"""esta es la unica votacion que me importa por eso esta vez si voy a votar"" PIerde",None,None
44,012,Willy Wonka,"votan sI a la paz... PERO GANALA EL ""NO"" al plebicito y gritan paIs de mierda",None,None
45,012,Willy Wonka,"votan sI a la paz... PERO GANALA EL ""NO"" al plebiscito y gritan paIs de mierda",None,None
47,006,Filosoraptor,si gano el no el centro demoniatico se pegara ala mermelada   castro chavista,None,None
48,012,Willy Wonka,Busco a beatriz,None,None
53,008,Matias Prats,"en noticias mas importantes... profe pina dice que va a apoyar con puntos extras los que entreguen el proyecto desde antes, asi que, no salgan de sus casas y cuidense",None,None
57,012,Willy Wonka,y.como para que sera,None,None
60,001,Ancient Aliens,Sirveme algo haci,None,None
67,001,Ancient Aliens,santiago tienen el pipi asi de grande,None,None
70,001,Ancient Aliens,"El Capataz,,sigue drogado?",None,None
76,007,Futurama Fry,mmm x q la popis stara celosa d la tigeresa sera q ya anda con el fco jqjaja,None,None
82,001,Ancient Aliens,pena tienes un huevo asi de grande,None,None
98,001,Ancient Aliens,Q como estan los del cecyt? mmm Buenisimos... Att: Luz Elena,None,None
99,007,Futurama Fry,Cuando estudia en Ucateba Y no dice que es la mejor opcion a la excelencia?,None,None
103,009,No me digas,Enserio cristian,None,None
105,007,Futurama Fry,mmm sera q la tigeresa hace mejores chamvas q la popis al fco jajaja,None,None
107,009,No me digas,asi,None,None
112,007,Futurama Fry,es no es el brayan,None,None
120,004,Bad Luck Brian,Es seguidor de jesucristo y no es capaz de perdonar,None,None
123,004,Bad Luck Brian,Cuando Torres juega MC Lo mata una oveja,None,None
124,012,Willy Wonka,volviste ay como si me importara,None,None
128,001,Ancient Aliens,Dice mi amiga q estan feos los del cecyted Si supiera,None,None
171,001,Ancient Aliens,COLOMBIANOS,None,None
175,009,No me digas,Te llego a agarrar Te empacho de verga,None,None
180,003,Ay Si,Ay si Tu  y tus tobilleras de estambre,None,None
188,003,Ay Si,"ahi si, ahi si solo tiendas gringas",None,None
199,008,Matias Prats,y en otras noticas robo masivo de esta puta imagen,None,None
202,012,Willy Wonka,¿actualizaste?,None,None
221,005,Disaster Girl,tu vengandote de tu ex la venganza es mia!!!!!!,None,None
250,005,Disaster Girl,ahora esto... se puso bueno!,None,None
255,012,Willy Wonka,Abril y mona Hermanas cola,None,None
273,005,Disaster Girl,GANAMOS asi estamos mas felices,None,None
291,009,No me digas,no me digas ..,None,None
294,004,Bad Luck Brian,va a capacitacion a la cdmx la mandan en autobus,None,None
303,003,Ay Si,ami no me preguntes un cono que yo no se nada,None,None
309,007,Futurama Fry,que ago antes de dormir? estar despierto xdxd,None,None
334,003,Ay Si,ese ya no mi problema..,None,None
336,003,Ay Si,no tengo la culpa de que tu intelecto sea cero,None,None
348,013,Yao Wonka,Ivan tu afro Es mas grande que las torres gemelas,None,None
353,003,Ay Si,Ay si itakua el mejor 100 viece 100 viece,None,None
358,005,Disaster Girl,Levanten la mano Si saben por que se va leidy,None,None
363,003,Ay Si,Ami no me mires porque yo no hice nada''en realidad hice dinero que dice abudso'',None,None
364,003,Ay Si,No se,None,None
367,003,Ay Si,iludIDO E PIOR DO QUE DOIDO.  AUAU,None,None
387,005,Disaster Girl,oye te llamas luis si,None,None
393,005,Disaster Girl,IF MY MOM LET ME ALONE THIS WOULD HAPPEN,None,None
396,005,Disaster Girl,if i knew the address of my teacher,None,None
397,006,Filosoraptor,Si melisa no suelta el cel A que hora ase los oficios en su casa?,None,None
398,011,Problems,Cuando te extrano John Gerlis,None,None
400,005,Disaster Girl,ACA ESPERANDO FUEGO,None,None
413,008,Matias Prats,ultimo minuto: se confirma la visita del papa francisco. VIENE A CONSOLAR                                         A LOS AFLIGIDOS DEL SÍ.,None,None
415,008,Matias Prats,ultimo minuto:                        se confirma                    la visita del papa francisco. VIENE A CONSOLAR                                         A LOS AFLIGIDOS DEL SÍ.,None,None
424,007,Futurama Fry,Te creere,None,None
426,010,Prepare Yourself,CC TE DAS CUENTA QUE LA FER ES UNA GRAN POETA,None,None
433,008,Matias Prats,Noticia de ultimo momento Valencia fue trolleado de una forma brutal y quedo sano,None,None
434,005,Disaster Girl,juan blanco me hablo de sus originales parecen que no guardan mugre pero si el calor,None,None
437,007,Futurama Fry,No se si estan burlandose de mi Mejor miro el celular y me hago el distraido,None,None
455,006,Filosoraptor,Si Uribe se sienta a negociar Sera tambien castrochavista?,None,None
458,010,Prepare Yourself,vendo o cambio ahi viene gafas con el niquel,None,None
462,007,Futurama Fry,Mi cara cuando me Piden una foto,None,None
464,007,Futurama Fry,NO ME DECIDO O DE ANTAOO O NUEVO,None,None
465,011,Problems,Gabo me hizo bullyng Y no me di cuenta,None,None
467,007,Futurama Fry,CUANDO EL PREdICADOR te manda a decirle cosas al que tienes al lado,None,None
472,001,Ancient Aliens,Algunas de las llevan de muy cabronas con que no cualquiera tiene que ser su novio! Pero se les pasa la vida esperandolo y llegan a los 40's y cuando sienten que se les va el tren agarran al primer idiota que ven!,None,None
473,006,Filosoraptor,SI JOSIE Y LUCHO SE APELLIDAN ROMANI SERAN FAMILIA?,None,None
474,001,Ancient Aliens,Algunas de las llevan de muy cabronas diciendo que no cualquiera tiene que ser su novio... Pero entonces se les pasa la vida y llegan a los 40's todavIa esperando y es cuando ven que se les va el tren agarran al primer idiota que ven...,None,None
480,001,Ancient Aliens,"LOS ADMIS DE ESTA PAGINA ESTAN DESAPARECIDOS SOLO HAY UNA EXPLICACION PARA ESTO: ""VAGOS""",None,None
481,005,Disaster Girl,Mi vecino canataba reggaeton ¡Cantaba!,None,None
483,009,No me digas,El hecho que hace por poco si cuenta Eso es ganar,None,None
484,001,Ancient Aliens,Solo hay una explicacion TLRIID,None,None
487,001,Ancient Aliens,davila,None,None
495,005,Disaster Girl,Mi vecino escuchaba reggaeton,None,None
499,003,Ay Si,soy osi y soy bien corajuda y que,None,None
500,001,Ancient Aliens,son asi de obesos,None,None
507,008,Matias Prats,Se acerca el chacackea del kvncito Y es prohibido faltar,None,None
508,003,Ay Si,Ya que tu dices Nos vemos el miercoles,None,None
510,012,Willy Wonka,nombe no podes pagar,None,None
527,003,Ay Si,"""no publico porque no me junan"" I.D.T.P.O wEON INJUNADOS DE TODAS PARTES OFICIAL",None,None
543,009,No me digas,la amas? si y mucho,None,None
544,013,Yao Wonka,tu cara cuando te dicen HOLA y despues hasta manana,None,None
545,004,Bad Luck Brian,cree que esta dominando un juego pierde,None,None
552,004,Bad Luck Brian,se la pasa burlandoce del medellin hace un dim,None,None
555,007,Futurama Fry,"Como cuando el de tu equipo te pide que cambies algo en el trabajo que escribiste Si sabe escribir mejor que yo, ¿por que no lo hace el mismo?",None,None
557,011,Problems,Como cuando tienes una entrevista con la persona que cambiara tu vida pero cuando llegas a la entrevista se va al hospital,None,None
563,006,Filosoraptor,LOS DEL NO HABLARON DEL LAPICERO MAGICO ENTONCES QUIEN ROBO A QUIEN?,None,None
568,012,Willy Wonka,Con que te gustan las reliquias Dime que se siente ser indiana jones,None,None
577,001,Ancient Aliens,Juaquina Te voy ha dejar el culo asI de roto,None,None
581,004,Bad Luck Brian,Hola amigo De dragon ball z,None,None
586,001,Ancient Aliens,PEDAZOo de nucleo,None,None
590,012,Willy Wonka,Dime que se siente Ser recepcionista y operadora,None,None
591,001,Ancient Aliens,solo ahi una explicacion Malviajes,None,None
595,011,Problems,Yo al perder Un suscriptor,None,None
606,009,No me digas,Uy Dios! no me digas,None,None
610,006,Filosoraptor,Hola soy don Roberto avispon verde,None,None
611,001,Ancient Aliens,Convinado,None,None
614,006,Filosoraptor,If you are a vegetarian do you hate animals because you're eating their food?,None,None
619,003,Ay Si,Ushalala dejenlo tambien quiere contarnos su historia,None,None
622,012,Willy Wonka,"Dime, que se siente al pasarse gordo krovi Y ahora tener que hacer shadows of evil ...",None,None
623,001,Ancient Aliens,Se hacen el ultimo easter egg Ahora les hace falta el primero... tienen decimas,None,None
636,001,Ancient Aliens,No quiero decir Angular 2 Pero digo Angular 2,None,None
647,001,Ancient Aliens,Square Enix,None,None
655,003,Ay Si,Yo no ise nada,None,None
657,004,Bad Luck Brian,tghjhgjjjhg,None,None
658,008,Matias Prats,"Buenos dIas, Teresa, te estaba buscando Feliz cumpleanos!!!",None,None
666,001,Ancient Aliens,cortana,None,None
668,008,Matias Prats,sereprta que ala blaca  le apesta el culo,None,None
669,008,Matias Prats,Sereporta  que ala blanca  ortega  le apesra el  culo,None,None
670,008,Matias Prats,Sereporta  que ala blanca  ortega  le apesta  el culo,None,None
675,001,Ancient Aliens,English c1.1 2016 Class? Out of this world,None,None
685,004,Bad Luck Brian,intenta hacer un trabajo su amigo no para de molestar,None,None
687,008,Matias Prats,Perdonad que insista pero... cuando iremos al aberronchal?,None,None
690,011,Problems,Ya no aguanto mas Que alguien lo mande a callar,None,None
698,001,Ancient Aliens,hola buenas tarde me llaman joel el tonto adeu,None,None
707,008,Matias Prats,"Tu banco, y cada dIa El de menos gente",None,None
716,012,Willy Wonka,pedro sanches dimitio ya le queda menos a carlos,None,None
717,012,Willy Wonka,pedro sanchez dimitio ya le queda menos a carlos,None,None
718,002,Annoying Gamer Kid,odio el mon per aixo soc gamer,None,None
722,004,Bad Luck Brian,Compra a Luis Suarez por 23 millones Esa semana Suarez hace el peor partido de su carrera,None,None
723,011,Problems,A PREGUNTAS EMBARAZOSAS RESPUESTAS ANTICONCEPTIVAS,None,None
744,001,Ancient Aliens,Menudo cocido Comi en el cristo!,None,None
752,001,Ancient Aliens,Users,None,None
755,004,Bad Luck Brian,SOY RATA OCC?,None,None
765,005,Disaster Girl,"cuando en el video no digo ""no intenten esto en casa""",None,None
766,006,Filosoraptor,si hoyos es cojido por el negro de watssap es puto o gay,None,None
770,006,Filosoraptor,galeano sera chupa pija de juares o de arredondo o de los dos,None,None
773,008,Matias Prats,Mujer desaparece en Tenerife Una menos en Canarias,None,None
779,001,Ancient Aliens,¿la respuesta? aliens,None,None
780,001,Ancient Aliens,¿cual es el problema del ser? aliens,None,None
783,001,Ancient Aliens,Hespana,None,None
785,001,Ancient Aliens,brujerIa,None,None
