,meme_id,plantilla,texto_no_tilde,text_1,text_2
4,009,No me digas,Quiero unas chelas Micindo,None,None
7,013,Yao Wonka,¿¿que ser humano jala comunicacion y religion?? ... jajajaja..,None,None
10,011,Problems,Chinos mkones si  MANDAN maricadas me duele,None,None
28,004,Bad Luck Brian,Cuando juegas minecraft y tontin te encuentra,None,None
31,003,Ay Si,No si la loca,None,None
34,003,Ay Si,AY SI AY SI CREARON GRUPO Y NO ME INVITARON,None,None
38,012,Willy Wonka,que tienes lag en minecrafT? Comprate cuenta premium y listo,None,None
40,003,Ay Si,"Pero ayer el Rey Hay si hay si, Lily va a ser mIa",None,None
43,011,Problems,no lo soporto canta muy feo las de Silvio Melendez,None,None
45,010,Prepare Yourself,Preparaos Memes de parejas nonas/brutales se acercan,None,None
47,009,No me digas,VISTO,None,None
52,006,Filosoraptor,"""esto es una broma para tinelli""",None,None
61,006,Filosoraptor,la radio la television los diarios el internet,None,None
65,006,Filosoraptor,NOT SURE IF SARCASM OR REALLY GREATEFUL,None,None
66,006,Filosoraptor,todo lo inventamos para que LOS METAN EN UN LOQUERO,None,None
68,011,Problems,Cuando me acuerdo que no tengo pareja Para la tarea,None,None
69,006,Filosoraptor,te van a decir no sirve eso,None,None
70,006,Filosoraptor,si tanto odian a peppa por que los ninos son tan pendejos,None,None
71,004,Bad Luck Brian,compra un libro para estudiar los combos siempre que llega al showdown el rival lleva las nuts,None,None
72,006,Filosoraptor,¡sorpresa1 era una joda lalalalalalalalala,None,None
77,006,Filosoraptor,es un problema imaginario?,None,None
79,008,Matias Prats,"ULTIMAS NOTICIAS HOY ES EL GRAN DÍA, EL CUMPLE DE DON CARLOS GAMBOA. NO FALTEN !!",None,None
83,004,Bad Luck Brian,jeje,None,None
85,013,Yao Wonka,I am Paul Jjjjjj yo la vi primero Willian ademas Rosner es mi cunado,None,None
86,009,No me digas,cuando mis padres salen de la casa y me dicen ahora estas acargo,None,None
93,004,Bad Luck Brian,PIDE CO,None,None
101,002,Annoying Gamer Kid,Como cuando tienes 13 y te pones firulais y te sientes kul porque te reconocen de la serie,None,None
102,004,Bad Luck Brian,CREE QUE NADA SALE DE LA NADA CREE EN dIOS,None,None
104,013,Yao Wonka,when te preguntan si tienes novia :v,None,None
110,004,Bad Luck Brian,Se va antes del trabajo La agarra el corte en la pasarela de estampado,None,None
111,004,Bad Luck Brian,Deja de ser socialista y progre Se vuelve anarcocapitalista e hincha de Ayn Rand,None,None
117,009,No me digas,entiendelo... Magallanes no sirve para un cono,None,None
122,003,Ay Si,Te atreverIas a regalarme una Foto sexy,None,None
136,009,No me digas,NO Esque tengo una cita con el piso,None,None
137,004,Bad Luck Brian,La invitan a las posadas era la ultima,None,None
140,013,Yao Wonka,jaja me bloquea y desbloquea para ver que hago busca ayuda no te enganes,None,None
142,004,Bad Luck Brian,La invitan a las posadas ya era la ultima,None,None
148,008,Matias Prats,Y en otras noticias El carburador de obed no tiene manual,None,None
151,004,Bad Luck Brian,Ti iblin Sindri,None,None
154,007,Futurama Fry,No se si tradear un clima O mandarte a la mierda :v,None,None
157,008,Matias Prats,Policia muere tras un golpe por la espalda Se podrIa decir que bajo la guardia,None,None
160,008,Matias Prats,AUNQUE ESO YA NO ES NOVEDAD... ES UN GAY QUE LE GUSTA EL JUARIS....,None,None
165,008,Matias Prats,Y ENTRE OTRAS NOTICIAS MI QUERIDA CARY.. ME TIENE ABANDONADO....,None,None
169,004,Bad Luck Brian,si deveriamos de ir a echar chelas,None,None
170,008,Matias Prats,Joven deja a su pareja en ParIs Se podrIa decir que se despidio a la francesa,None,None
173,004,Bad Luck Brian,quiere tener un buen futuro trabaja en sese,None,None
174,006,Filosoraptor,sera q evelyn me metio a los 15,None,None
176,004,Bad Luck Brian,"Marcos Guidi Trabaja en la oficina de la mujer, y las llama ""gato"" cuando las ve con macri.",None,None
181,003,Ay Si,PROXIMA REUNION 14 DE ENERO  ARENAL,None,None
182,006,Filosoraptor,ah no pero apenas es martes,None,None
184,008,Matias Prats,La policia no pudo hablar con el DJ Siempre estaba cambiando de tema,None,None
185,007,Futurama Fry,TIpico cuando te mandan mensages Y no sabes para que,None,None
196,008,Matias Prats,Hola Karina,None,None
197,006,Filosoraptor,UN ABRAZO DE JENNY,None,None
202,007,Futurama Fry,Sera que a berman le dan permiso... ...hagamos las apuestas !!!,None,None
208,003,Ay Si,ay sy ay sy pinche miranda para todo,None,None
212,012,Willy Wonka,y?,None,None
219,012,Willy Wonka,que se van de vacaciones al culo de pluton?,None,None
220,006,Filosoraptor,Si el 2 de enero es feriado En BDF nos daran el 30/12??,None,None
221,012,Willy Wonka,no saben que ganaron,None,None
222,012,Willy Wonka,se preguntan entre ellos y no saben,None,None
225,012,Willy Wonka,que ganan con perseguir a los buenos?,None,None
228,006,Filosoraptor,¿si un vampiro se muerde la lengua? ¿se convierte otra vez?,None,None
229,012,Willy Wonka,"claro, la gente es tonta y cree que son buenos",None,None
231,012,Willy Wonka,cual era el objetivo de hacer todo esto?,None,None
232,012,Willy Wonka,hay miren que vivo que soy aaaaaaaaaahahaha,None,None
234,012,Willy Wonka,Asi que querias fin de ano en la playa? que me dices guille?,None,None
237,011,Problems,vuelva luego,None,None
240,012,Willy Wonka,la pantalla todavia no se puso verde,None,None
241,009,No me digas,Mi amiga cuando le digo: mira disimuladamente! jajajaja,None,None
