,meme_id,plantilla,texto_no_tilde,text_1,text_2
16,003,Ay Si,"bai a dicho que me odia cuidado, tenemos a un chico malo entre nosotros",None,None
23,012,Willy Wonka,Tenes hora libre y vos tipooo,None,None
34,006,Filosoraptor,Si me chingo al Mayito Me estoy chingando al padre Ramon?,None,None
51,008,Matias Prats,bienvenido tata esto es el criolloo,None,None
54,012,Willy Wonka,¿Te crees mas saludable porque comes organico?,None,None
57,008,Matias Prats,permiteme que insista.... paga la factura de tu movil en vez de que te la paguen entonces podras criticar a los demas,None,None
60,007,Futurama Fry,algo huele mal fue la eli,None,None
66,012,Willy Wonka,AsI que preguntas que docente es bueno para aprobar Dime que se siente no tener amigos en derecho,None,None
67,003,Ay Si,Hay si hay si eres la mejor mama del mundo y todo el ano ni la pelan jajaja,None,None
69,001,Ancient Aliens,Ya sabe que tu say,None,None
70,011,Problems,JORGE MI AMOR MENOS MAL TE DESOCUPASTE AHORA SI LLAMAME,None,None
72,003,Ay Si,hay nada hay nada :33,None,None
73,003,Ay Si,Loco  aaaaa Junio,None,None
75,012,Willy Wonka,AsI que quieres saber con que docente apruebas en las mesas Dime que se siente tomar el derecho como un chiste,None,None
82,012,Willy Wonka,Dime que se siente ser la burra pachona,None,None
83,004,Bad Luck Brian,cuidado yogui con el guardabosques,None,None
85,011,Problems,Tu cara cuando consientes mucho a tu hijo Y luego resulta marika,None,None
88,003,Ay Si,"Ay Si, AY SI... Es mi cumpleanos y soy la community manager",None,None
89,001,Ancient Aliens,Y entonces les dije... abueabuelos nos vamos pa! #MisAbuelitosYubi2016! Y se cambiaron enseguida,None,None
90,006,Filosoraptor,COmo soy dinosaurio koko,None,None
96,011,Problems,de la universidad salgo loca o salgo ingeniera,None,None
99,012,Willy Wonka,Con que tienes a tus abuelos Dime que se siente llevarlos a #MisAbuelitosYubi2016,None,None
101,009,No me digas,Ahhh Pocoooooo,None,None
103,003,Ay Si,"Ayy si, soy casi ingeniera Pero nunca cerras un caso en siebel",None,None
109,007,Futurama Fry,respondo primero y me toca hacer el trabajo a mi,None,None
112,007,Futurama Fry,me inprota tu foto,None,None
113,007,Futurama Fry,me pregunto pq dises eso,None,None
119,012,Willy Wonka,en serio Charlie contame que se siente bajar algo que no funcione,None,None
121,005,Disaster Girl,Casa de campana de la Maestra Marcela Merino,None,None
127,012,Willy Wonka,asi que de deportes arica? que se siente estar en segunda...,None,None
132,012,Willy Wonka,Ok Lo tendre en cuenta,None,None
134,005,Disaster Girl,krepy era mi vecino ERA,None,None
137,009,No me digas,tu cuando te escribe una chica que no te HABÍA escrito en 10,None,None
140,007,Futurama Fry,que estara tramando,None,None
141,008,Matias Prats,Informan que un nino desaparecio Jugaba a las escondidas,None,None
145,009,No me digas,LLEGO INTERNET !!! LO MAXIMO !!!!!,None,None
147,009,No me digas,SABES que? voy a ir a tu casa a la noche,None,None
148,009,No me digas,cuando te la  meten por donde no era,None,None
152,011,Problems,DIOSITO POR FAVOR !!!! QUE SE CORTE EL AGUA ...,None,None
155,012,Willy Wonka,Asi que te gustan muchas bandas Dime que se siente no tener un gusto musical definido,None,None
157,005,Disaster Girl,¿ArtIculos de limpieza? si....claro....como no!,None,None
178,008,Matias Prats,PARA INFORMAR QUE YA LLEGO LA FRUTA,None,None
181,002,Annoying Gamer Kid,cuando se te cae la goma en la prueba,None,None
182,008,Matias Prats,PRIMERO NOTICIAS QUE HAY FRUTA EN RECEPCION,None,None
185,008,Matias Prats,PRIMERO NOTICIAS LLEGO LA FRUTA ESTA  RECEPCION,None,None
191,011,Problems,Dios por favor Que la jaqueline deje ser puta,None,None
193,008,Matias Prats,Tienesun mondongo Te estamos buscando,None,None
195,008,Matias Prats,Tienes un mondongo Te estamos buscando,None,None
198,008,Matias Prats,y como les ddecIa manuel es gay,None,None
199,006,Filosoraptor,justin biber cuando se toma una foto penativo,None,None
200,007,Futurama Fry,Es mi impresion.. O todos tenemos un pt. Q nos vuelve locos,None,None
204,006,Filosoraptor,si esta en terapia de bronquios no deberia dejar de fumar,None,None
207,012,Willy Wonka,¿AsI que hiciste llorar a Angelito? Dime que se siente ser el incomodo del despacho,None,None
208,004,Bad Luck Brian,dije que paola no era bonita y me salieron trolleando todos,None,None
214,006,Filosoraptor,si tri,None,None
218,007,Futurama Fry,y que le dio A este estupido,None,None
223,003,Ay Si,no pues guau enamoradas de un tragaleche,None,None
229,003,Ay Si,ATI NO TE GUTA EL PENE PERO AMI SI,None,None
235,008,Matias Prats,Ya sabemos en quien se inspiro el inventor del chupa Chus. En su novia MarIa Jesus.,None,None
236,012,Willy Wonka,ALOOOO NELLY,None,None
248,004,Bad Luck Brian,Cuando viene una nina nueva Y es fea,None,None
261,001,Ancient Aliens,Son aliens Cuando yo nacI aliens este canal aliens el manicura aliens anakin alien,None,None
264,009,No me digas,subamos arriva no medigas,None,None
266,006,Filosoraptor,JAmes me suena lo de los viaticos,None,None
267,011,Problems,Yo cuando se va la luz,None,None
268,012,Willy Wonka,ASÍ QUE ODIAS EL 10 DE MAYO DIME QUE SE SIENTE PASAR DE LOS 30 Y SEGUIR CONFLICTUADO CON TU MADRE,None,None
278,006,Filosoraptor,"Hola, soy Nicolas y ahI hace mucho calor",None,None
279,006,Filosoraptor,"Hola, soy Nicolas y aquI hace mucho calor",None,None
286,001,Ancient Aliens,Simplemente cagon,None,None
295,005,Disaster Girl,A MI VECINA LE GUSTA EL REGGAETON A SI QUE YO LE DI GASOLINA,None,None
299,001,Ancient Aliens,Medicos,None,None
301,001,Ancient Aliens,Medicos,None,None
303,006,Filosoraptor,SI EL COYOTE TENIA DINERO PARA COMPRAR TNT ENTONCES POR QUE NO COMPRO COMIDA?,None,None
307,001,Ancient Aliens,Quisiera cogerte y darte unos piquitos bien ricos Mi yere papasito,None,None
310,001,Ancient Aliens,Chemistry,None,None
321,010,Prepare Yourself,brace yourself partituras are coming,None,None
324,009,No me digas,¿QUE TE LLAMo DANILO? ¡NO ME DIGAS!,None,None
341,003,Ay Si,Se jodio el Chavismo Llego Dominguason,None,None
350,007,Futurama Fry,me llegas a la pinga..!,None,None
356,006,Filosoraptor,Lo quiero y lo odio Sere acuarina?,None,None
360,007,Futurama Fry,No se si pasar de largo estudiando O levantarme temprano y hacerlo,None,None
366,006,Filosoraptor,arreglan el autoclave y muere en 1 semana me estaran cagando?,None,None
367,013,Yao Wonka,Aver senor porque le disparaste a tu suegra 3 veces Porque solo tenia 3 balas,None,None
372,001,Ancient Aliens,asi de grande la tengo david,None,None
376,003,Ay Si,Ay si Soy Yelena La que siempre viene,None,None
387,011,Problems,cuando te pierdes los nuevos episodios de steven univece,None,None
395,006,Filosoraptor,Y LA FOTO??,None,None
398,003,Ay Si,Cuando no te dejen ser feliz Solo di vive tu vida y punto,None,None
402,006,Filosoraptor,si hay un mas aya hay un menos paca,None,None
404,011,Problems,Nos dijo que no nos abandonaria Y se llama Luis,None,None
426,009,No me digas,que te enamoraste,None,None
431,012,Willy Wonka,Dime que se siente Que te metan el pico en conta?,None,None
435,005,Disaster Girl,MANZANILLO  ERA SEGURO LO ERA.....,None,None
437,005,Disaster Girl,COLIMA ERA EL ESTADO MAS SEGURO YA NO...,None,None
438,001,Ancient Aliens,Solo dejame explicarte: Tu y yo estamos destinados a casarnos,None,None
454,001,Ancient Aliens,Le esty buscando a brayitan Quien sabe donde esta,None,None
455,006,Filosoraptor,Si la envidia fuera tina Entonces la mayorIa seriamos tinosos,None,None
457,001,Ancient Aliens,faltaron velas aromaticas pero esta perfecto,None,None
477,013,Yao Wonka,Hacer meme en clases... Hagarrar pal webeo a todos,None,None
478,013,Yao Wonka,"SI LO VES A COCO EN BICICLETA, NO TE RIAS... PU",None,None
482,013,Yao Wonka,"SI LO VES A COCO EN BICICLETA, NO TE RÍAS... PUEDE SER LA TUYA...",None,None
484,011,Problems,y le dije que no podia vivir si el .. sin el internet...,None,None
496,001,Ancient Aliens,El osca tiene sus nalguitas asi Uum todavia recuerdo cuando lo cogI,None,None
498,001,Ancient Aliens,Yo pienso que perea Hace reIr mucho a las personas,None,None
499,012,Willy Wonka,hoy me sacrificare y manana sere exitoso.,None,None
503,013,Yao Wonka,y se que que aveces nada sale como uno quiere no pasa nada,None,None
511,009,No me digas,cuando voy al bano y o traigo papel igienico ever,None,None
515,010,Prepare Yourself,AQUÍ esperando tu proximo poema,None,None
518,009,No me digas,enserio pauly,None,None
522,009,No me digas,enserio puly,None,None
526,012,Willy Wonka,mm,None,None
