,meme_id,plantilla,texto_no_tilde,text_1,text_2
17,008,Matias Prats,"ultima hora extra quedan en ridiculo  Saulo,cesar y junior por tremenda pela en buchacara",ultima hora, extra quedan en ridiculo  Saulocesar y junior por tremenda pela en buchacara
55,003,Ay Si,uy si uy si UN POLLO ABURRIDO,uy si uy si, UN POLLO ABURRIDO
70,005,Disaster Girl,era nina buena decia que no pusiera la foto de mi novia en whatsapp le decia,era nina buena decia que no pusiera la foto de mi novia en whatsapp le ,decia
87,003,Ay Si,ay si ay si axelur tiene 3 suscriptores,ay si ay si, axelur tiene 3 suscriptores
92,004,Bad Luck Brian,Llega Temprano al reencuentro Nadie lo conoce,Llega Temprano al reencuentro Nadie, lo conoce
96,011,Problems,"me dijo que solo tomariamos un cafe me hizo sexo duro, se comio el asado de ayer se tomo la cerveza de carlitos y encima dejo la boleta de la luz para pagarla",me dijo que solo tomariamos un cafe me hizo sexo duro se comio el asado de ayer se tomo la cerveza de carlitos, y encima dejo la boleta de la luz para pagarla
100,011,Problems,me dijo que tenia una nave.. y era una heladera mal pintada,me dijo que tenia una nave.., y era una heladera mal pintada
114,004,Bad Luck Brian,le manda una SOLICITUD de amistad a su mama                         no lo acepta,le manda una SOLICITUD de amistad a su mama                         no, lo acepta
123,004,Bad Luck Brian,Se mata ensayando se le safa el pedal,Se mata ensayando, se le safa el pedal
188,004,Bad Luck Brian,quiere socializar ni la familia lo quiere,quiere socializar ni la familia, lo quiere
192,003,Ay Si,has si hay si ya soy famoso en minecarft por aser casas debajo del agua,has si hay si, ya soy famoso en minecarft por aser casas debajo del agua
244,008,Matias Prats,ultimas noticias!!! todas las chicas estan locas por ronald,ultimas noticias,!!! todas las chicas estan locas por ronald
274,003,Ay Si,"ay si, ay si ahora todos quieren a diana",ay si ay si, ahora todos quieren a diana
327,003,Ay Si,"ay si, ay si soy programador web",ay si ay si, soy programador web
339,004,Bad Luck Brian,hasta los papas  le hacen bullying,hasta los papas , le hacen bullying
347,005,Disaster Girl,haz fiestas decian sera divertido decian,haz fiestas decian sera divertido ,decian
352,012,Willy Wonka,ASI K TE ALUSINAS UN ENFERMO MENTAL..  dime que se siente saber que tas asi por tania,ASI K TE ALUSINAS UN ENFERMO MENTAL..  ,dime que se siente saber que tas asi por tania
353,012,Willy Wonka,asique hablas peste de esa persona por facebook dime que se siente  no poder decirle nada a la cara porque sabes bien que tiene mas moral Que tu?,asique hablas peste de esa persona por facebook ,dime que se siente  no poder decirle nada a la cara porque sabes bien que tiene mas moral Que tu?
389,008,Matias Prats,ultima hora a juanpablo le dan ataques en la cola,ultima hora, a juanpablo le dan ataques en la cola
447,008,Matias Prats,noticias de ultima hora me llegas lo que digas atorrantee!!!!!!!!!!!!!,noticias de ultima hora, me llegas lo que digas atorrantee!!!!!!!!!!!!!
450,008,Matias Prats,noticia de ultima hora me llega lo que digas atorrantee!!!!!!!!!!!!!,noticia de ultima hora, me llega lo que digas atorrantee!!!!!!!!!!!!!
459,008,Matias Prats,Noticia de ultima hora   encuestas dicen que solo los maricas publican progresos de candy crush,Noticia de ultima hora,   encuestas dicen que solo los maricas publican progresos de candy crush
479,004,Bad Luck Brian,le ensena magic a la polola ella le pide un mazo hada,le ensena magic a la polola ella, le pide un mazo hada
480,003,Ay Si,ay si ay si  tu & tu bieber,ay si ay si,  tu & tu bieber
483,008,Matias Prats,ultima hora  un mapache ha sido visto en la villa satelitr,ultima hora,  un mapache ha sido visto en la villa satelitr
542,012,Willy Wonka,asi q quieres que te diga como o ise dime que se siente que te tengan esperando,asi q quieres que te diga como o ise ,dime que se siente que te tengan esperando
562,008,Matias Prats,ultimas noticias  ralear a tus amigos esta de moda xD,ultimas noticias,  ralear a tus amigos esta de moda xD
563,004,Bad Luck Brian,"Le dan el saco para que se tape las piernas Lo usa,",Le dan el saco para que, se tape las piernas Lo usa
628,007,Futurama Fry,no se si no le gusta el fifa o es un cobarte,no se si no le gusta el fifa, o es un cobarte
646,004,Bad Luck Brian,trae incapacidad igual le descuentan el dIa,trae incapacidad igual, le descuentan el dIa
651,003,Ay Si,ay si ay si yo si se de toros,ay si ay si, yo si se de toros
669,011,Problems,Me dijo que costaba 10000 y era dura ace 9000,Me dijo que costaba 10000, y era dura ace 9000
673,011,Problems,Me dijo que le costo $ 10.000 y era dura ace 9000,Me dijo que le costo $ 10.000, y era dura ace 9000
710,003,Ay Si,ay si ay si no encontre el negro,ay si ay si, no encontre el negro
717,003,Ay Si,hay si como ya tengo foto de perfil,hay si, como ya tengo foto de perfil
726,012,Willy Wonka,cuentame que se siente el ser tan idiota,,cuentame que se siente el ser tan idiota
777,012,Willy Wonka,"dices que el reggaeton es mejor que el electro?? dime, te golpeaste tan fuerte la cabeza cuando eras pequeno??",dices que el reggaeton es mejor que el electro?? ,dime te golpeaste tan fuerte la cabeza cuando eras pequeno??
785,004,Bad Luck Brian,no tiene nada que ver con la FALSIFICACION de las notas  le ponen 1.0 en filosofia,no tiene nada que ver con la FALSIFICACION de las notas , le ponen 1.0 en filosofia
794,012,Willy Wonka,asi que eres p mance  dime que se siente tratar de ser un nti frustrado,asi que eres p mance  ,dime que se siente tratar de ser un nti frustrado
798,003,Ay Si,ay si mira como siempre juego  para nunca hacer nada en la casa,ay si, mira como siempre juego  para nunca hacer nada en la casa
801,003,Ay Si,"ay si  , ya nos creemos x estar  en ultimo semestre, q malote",ay si,   ya nos creemos x estar  en ultimo semestre q malote
