,meme_id,plantilla,texto_no_tilde,text_1,text_2
6,008,Matias Prats,PERMITEME QUE INSISTA UNO POR COMPONENTE,None,None
7,004,Bad Luck Brian,Presta la moto Ni gas para llegar a la bomba,None,None
10,001,Ancient Aliens,HA SIDO EL MARCIANO,None,None
12,001,Ancient Aliens,ARTUR MAS,None,None
15,009,No me digas,Un peneeee,None,None
16,006,Filosoraptor,NO SE SI CHAMPAGNE O FREEZE LO QUE SEA M PONGO EN P2,None,None
17,006,Filosoraptor,NO SE SI ES O SE HACE ME PONE DE MALAS SU ACTITUD,None,None
21,008,Matias Prats,BUENOS DÍAS BULLYNEROS YA PODEMOS EMPEZAR,None,None
22,007,Futurama Fry,EL GATERO GATERO MUERE,None,None
23,003,Ay Si,"Ay sI, ay sI, leI mal... Maduro nada mas puede meter la pata.",None,None
24,013,Yao Wonka,PASO POR LA ESCUELA TIRANDO PIEDRAS,None,None
26,013,Yao Wonka,STEVE HARVEY PASO POR LA ESCUELA TIRANDO PIEDRAS,None,None
33,007,Futurama Fry,solo once caldas le quedo claro,None,None
38,008,Matias Prats,"Subio el iva, las tasas de interez , el mInimo el 4%, Pero la noticia para toda la semana es que nos robaron mis universo .",None,None
39,005,Disaster Girl,pobre dina era tan buena,None,None
45,001,Ancient Aliens,nokia,None,None
49,008,Matias Prats,HOY EN INFORMATIVOS TELECINCO POR EL CULO TE LA HINCO,None,None
51,003,Ay Si,excuse me please a nombre del refresco que mas sabe a seven up,None,None
54,009,No me digas,A poco creIas Que tenias que echarle gasolina?,None,None
60,004,Bad Luck Brian,con dos carreras y en el paro vota al pp,None,None
65,006,Filosoraptor,si mi cuerpo es una iglesia... entonces soy una iglesia llena de grafitis...,None,None
79,008,Matias Prats,FELICIDADES A LOS PAISAS POR ESE TITULO SE LO MERECEN,None,None
88,011,Problems,MIERDA Y YO QUE CREIA QUE HABIAMOS GANADO DE NUEVO CON MISS COLOMBIA..!,None,None
89,008,Matias Prats,Extra extra! Dona liopo dice que ya no come mas Pescao por que le produjo alergia....,None,None
92,008,Matias Prats,Extra extra! Dona liopo dice que ya no come mas Gano el chance con el 1515,None,None
93,008,Matias Prats,Extra extra! Gano el chance con el 1515,None,None
95,008,Matias Prats,Ultimo minuto Hinchas del junior quieren solo bandeja paisa....el pescao los brota,None,None
