,meme_id,plantilla,texto_no_tilde,text_1,text_2
18,012,Willy Wonka,y dime don quijote.... como se siente que un mago te haya robado los libros,y ,dime don quijote.... como se siente que un mago te haya robado los libros
32,004,Bad Luck Brian,Tu le das me divierte Por que ya te comi,Tu, le das me divierte Por que ya te comi
87,004,Bad Luck Brian,Esperas un guardado Se lo comen,Esperas un guardado Se, lo comen
94,004,Bad Luck Brian,Por fin le dan permiso para salir en la noche Regresa temprano y sin estar a verga,Por fin, le dan permiso para salir en la noche Regresa temprano y sin estar a verga
100,004,Bad Luck Brian,Por fin le dan permiso de salir el sabado Lo obligan a volver temprano y sin estar a verga,Por fin, le dan permiso de salir el sabado Lo obligan a volver temprano y sin estar a verga
251,003,Ay Si,"Ay si, ay si ahora todos En Balboa son bikers",Ay si ay si, ahora todos En Balboa son bikers
254,003,Ay Si,"Ay si, ay si ahora todos En Balboa montan bici",Ay si ay si, ahora todos En Balboa montan bici
255,008,Matias Prats,noticia de ultima hora bsc 3 y emelec 1,noticia de ultima hora, bsc 3 y emelec 1
323,004,Bad Luck Brian,se va a un entrenamiento se vuelve vegana,se va a un entrenamiento, se vuelve vegana
379,003,Ay Si,Ay si ay si Estoy en la nueva y ni pelo a mi grupillo,Ay si ay si, Estoy en la nueva y ni pelo a mi grupillo
447,003,Ay Si,ay si ay si! Conozco 3 rolas de metallica y ya soy bien metalero,ay si ay si,! Conozco 3 rolas de metallica y ya soy bien metalero
503,013,Yao Wonka,"ASÍ ¿que LEÍSTE el VIZCONDE de mediado? dime ¿ que se siente que alguien mas que tu, tenga noviia",ASÍ ¿que LEÍSTE el VIZCONDE de mediado? ,dime ¿ que se siente que alguien mas que tu tenga noviia
513,012,Willy Wonka,"ASÍ ¿que LEÍSTE el VIZCONDE de mediado? dime ¿ que se siente que alguien mas feo que tu, tenga NOVIA",ASÍ ¿que LEÍSTE el VIZCONDE de mediado? ,dime ¿ que se siente que alguien mas feo que tu tenga NOVIA
543,012,Willy Wonka,asi que no compraste en wonderkuchen dime que se siente no haber probado lo mejor de  la semana,asi que no compraste en wonderkuchen ,dime que se siente no haber probado lo mejor de  la semana
620,012,Willy Wonka,que sera la edad antigua?? sera la era de los dinosaurios??,que sera la edad antigua?? sera la era de los ,dinosaurios??
636,012,Willy Wonka,Asi que no te gustaban las cadenas de fb y wsp dime que se siente hacer la misma mierda en estados de wsp,Asi que no te gustaban las cadenas de fb y wsp ,dime que se siente hacer la misma mierda en estados de wsp
649,004,Bad Luck Brian,Sale de un secuestro lo atropellan,Sale de un secuestro, lo atropellan
661,003,Ay Si,ay si ay si tomo cerveza y ya me creo mucho,ay si ay si, tomo cerveza y ya me creo mucho
690,004,Bad Luck Brian,quiere terminar no lo dejan,quiere terminar no, lo dejan
721,012,Willy Wonka,"ASÍ que recien graduado quieres dar clases de alfabetizacion dime, quien pretende no aprender nada",ASÍ que recien graduado quieres dar clases de alfabetizacion ,dime quien pretende no aprender nada
731,011,Problems,cuando tu hermana se parece a tus padres y tu pareces adoptado,cuando tu hermana se parece a tus padres, y tu pareces adoptado
780,003,Ay Si,hay si solo porque tiene pito no significa que no pueda ser mi novia,hay si, solo porque tiene pito no significa que no pueda ser mi novia
838,003,Ay Si,"ay si, ay si de forever alone paso a ser together forever",ay si ay si, de forever alone paso a ser together forever
840,003,Ay Si,"ay si, ay si este anos me les caso",ay si ay si, este anos me les caso
842,003,Ay Si,"ay si, ay si este ano me les caso",ay si ay si, este ano me les caso
848,004,Bad Luck Brian,Vota pac por miedo al diezmo de fabricio y el pac le mete impuesto de 15% a todas las pensiones,Vota pac por miedo al diezmo de fabricio y el pac, le mete impuesto de 15% a todas las pensiones
894,003,Ay Si,"Ay si,ay si como es el profe Alejandro a el si lo abrazas Pero a los otros coaches ni los pelabas",Ay siay si, como es el profe Alejandro a el si lo abrazas Pero a los otros coaches ni los pelabas
926,003,Ay Si,Ay si ay si! Ella y su ropa del mercado,Ay si ay si,! Ella y su ropa del mercado
934,008,Matias Prats,Noticias de ultima hora !santos¡ Otra vez no llego a trabajar,Noticias de ultima hora, !santos¡ Otra vez no llego a trabajar
946,003,Ay Si,"Ay si ay si, me sacaron del vintage ni que fuera internacional jaja",Ay si ay si, me sacaron del vintage ni que fuera internacional jaja
1036,012,Willy Wonka,"¡¿AsI que soy un facha?! ¡Que interesante, cuentame mas!",¡¿AsI que soy un facha?! ¡Que interesante ,cuentame mas!
1108,003,Ay Si,"Hay si, gana BolIvar, todos se levantan bolivaristas",Hay si, gana BolIvar todos se levantan bolivaristas
1159,011,Problems,le dije tocame abajo y me toco los pies,le dije tocame abajo, y me toco los pies
1168,006,Filosoraptor,"si rider fuera un poco fantasma ¿serIa ""ghost rider""?",si rider fuera un poco fantasma ,"¿serIa ""ghost rider""?"
1248,003,Ay Si,ay si el mas pendejo de ´3°a´,ay si, el mas pendejo de ´3°a´
1260,003,Ay Si,Hay si se pintan de vieras y ya se screen gringas,Hay si, se pintan de vieras y ya se screen gringas
1326,008,Matias Prats,ultimas noticias maryory se cree mujer,ultimas noticias, maryory se cree mujer
1372,004,Bad Luck Brian,hace campana para que se vaya evo no tiene un presidente en su remplazo,hace campana para que, se vaya evo no tiene un presidente en su remplazo
1376,004,Bad Luck Brian,hace campana para que se vaya evo no tiene un presidente en su reEmplazo,hace campana para que, se vaya evo no tiene un presidente en su reEmplazo
1469,003,Ay Si,ay si ay si espero que todo super bien con las gemelas!,ay si ay si, espero que todo super bien con las gemelas!
1518,003,Ay Si,ay si ay si y debe llamarse tito,ay si ay si, y debe llamarse tito
1580,003,Ay Si,ay si si tenemos que entrevistar otros candidatos,ay si, si tenemos que entrevistar otros candidatos
1602,004,Bad Luck Brian,ahora le dicen fabio... dejo de escribir en el grupo,ahora, le dicen fabio... dejo de escribir en el grupo
1621,006,Filosoraptor,¿Si hitler fuera gordo se llamaria eatler?,,¿Si hitler fuera gordo se llamaria eatler?
1624,003,Ay Si,"Uy si, uy si voy a ir el domingo a la iglesia",Uy si uy si, voy a ir el domingo a la iglesia
1640,003,Ay Si,"Uy si, uy si Todos a trabajar",Uy si uy si, Todos a trabajar
1706,003,Ay Si,"ay si,ya dijo ya le crei",ay si,ya dijo ya le crei
1726,003,Ay Si,"Ay si, ay si...mi amigo nacho Es la onda y me cae muy bien. Ay si...",Ay si ay si,...mi amigo nacho Es la onda y me cae muy bien. Ay si...
1735,003,Ay Si,Ay si ay si uso huaraches y me creo bien pueblo,Ay si ay si, uso huaraches y me creo bien pueblo
