,meme_id,plantilla,texto_no_tilde,text_1,text_2
18,004,Bad Luck Brian,piden sindicato lo hechan a todos,piden sindicato, lo hechan a todos
63,012,Willy Wonka,"asi que, vas a ir al congreso? dime que se siente avanzar?",asi que vas a ir al congreso? ,dime que se siente avanzar?
77,003,Ay Si,"Ay si, ay si ahora todos con camisetas de LPDE",Ay si ay si, ahora todos con camisetas de LPDE
95,004,Bad Luck Brian,pide un inbox a yei yei se lo manda por boca y nariz,pide un inbox a yei yei, se lo manda por boca y nariz
98,003,Ay Si,ay si todos le entienden a tiler pero cuando pone un examen ahi si no entienden un culo.,ay si, todos le entienden a tiler pero cuando pone un examen ahi si no entienden un culo.
149,003,Ay Si,ay si AY SI,ay si, AY SI
231,006,Filosoraptor,¿Si Victor es novio de Hector? Checha que sale siendo?,,¿Si Victor es novio de Hector? Checha que sale siendo?
305,012,Willy Wonka,Y dime picara Que se siente estar pensando todo el dIa en tu negrito,Y ,dime picara Que se siente estar pensando todo el dIa en tu negrito
316,006,Filosoraptor,SI LA VIDA ES TAN CORTA ¿POR QUE VIVIMOS TANTOS AOOS?,SI LA VIDA ES TAN CORTA ,¿POR QUE VIVIMOS TANTOS AOOS?
378,003,Ay Si,Ay si ay si dale like y te publico mame,Ay si ay si, dale like y te publico mame
382,003,Ay Si,ay si LEs recomiendo,ay si, LEs recomiendo
409,012,Willy Wonka,"Oye, dime que se siente que tu novia te bloquee del whattsap y tenga agregado en facebook al pelado que le decIa en tu cara que extranaba sus charlas en las madrugadas..",Oye ,dime que se siente que tu novia te bloquee del whattsap y tenga agregado en facebook al pelado que le decIa en tu cara que extranaba sus charlas en las madrugadas..
413,011,Problems,Me dijeron feliz dia de la profe y no me cayo ni medio billetico de 5.000,Me dijeron feliz dia de la profe, y no me cayo ni medio billetico de 5.000
422,006,Filosoraptor,"si la biblia dice: ""ama a tu enemigo"" ¿porque nadie ama a satanas?","si la biblia dice: ""ama a tu enemigo"" ",¿porque nadie ama a satanas?
