,meme_id,plantilla,texto_no_tilde,text_1,text_2
5,012,Willy Wonka,dime que se siente tener una nariz de cotorro y unos dientes de burro? putaaa,,dime que se siente tener una nariz de cotorro y unos dientes de burro? putaaa
42,007,Futurama Fry,casualmente los jueves me  llega la sed  o sera por que trabajo en macsa,casualmente los jueves me  llega la sed , o sera por que trabajo en macsa
108,003,Ay Si,Ay si ay si chupalo hasta que se te caiga la lengua,Ay si ay si, chupalo hasta que se te caiga la lengua
144,007,Futurama Fry,es idiota  o es imbecil,es idiota , o es imbecil
165,007,Futurama Fry,no se quien es mas tonto Johnny arana por decir que el casado vale mil o danny y sus memes,no se quien es mas tonto Johnny arana por decir que el casado vale mil, o danny y sus memes
190,003,Ay Si,"ay si ay si ahora luisa robledo  me la encuentro en todos lados, me tiene la perseguidora",ay si ay si, ahora luisa robledo  me la encuentro en todos lados me tiene la perseguidora
197,003,Ay Si,"Ay si, ay si me cotizo",Ay si ay si, me cotizo
234,012,Willy Wonka,asi que tu eres patricia lopez? dime que se siente ser la bb bonita mas buena de toda espana?,asi que tu eres patricia lopez? ,dime que se siente ser la bb bonita mas buena de toda espana?
238,003,Ay Si,ay si ay si se confundio de llamada y justo me llama a mi,ay si ay si, se confundio de llamada y justo me llama a mi
240,011,Problems,me dijeron que me esperaban en informatica y se fueron al bunker sin avisar,me dijeron que me esperaban en informatica, y se fueron al bunker sin avisar
255,011,Problems,"le dije: juega tloz ocarina of time y ella me pregunto ""¿esta para Ps2?""",le dije: juega tloz ocarina of time," y ella me pregunto ""¿esta para Ps2?"""
258,003,Ay Si,uy si te crees bacan por los memes que te pasan,uy si, te crees bacan por los memes que te pasan
269,012,Willy Wonka,asi que bailas por devocion? dime que se siente retar a la iglesia...hacer lo que te da la gana y encima destruir la naturaleza?,asi que bailas por devocion? ,dime que se siente retar a la iglesia...hacer lo que te da la gana y encima destruir la naturaleza?
307,004,Bad Luck Brian,va caminando se cae,va caminando, se cae
311,006,Filosoraptor,"si en toy story 1 , buzz al principio no sabia que era un juguete ¿porque se quedaba inmovil cuando estaba con andy?",si en toy story 1  buzz al principio no sabia que era un juguete ,¿porque se quedaba inmovil cuando estaba con andy?
313,003,Ay Si,"ay si ay si, me gusta el fierro y quiero que me defiendas mine",ay si ay si, me gusta el fierro y quiero que me defiendas mine
333,007,Futurama Fry,No se si el es el idiota o nosotros por comentar,No se si el es el idiota, o nosotros por comentar
357,003,Ay Si,ay si ay si ahora cambio mi voto,ay si ay si, ahora cambio mi voto
358,003,Ay Si,"Ay si, ay si.. tienes novia y ya te cres un romantico goldo",Ay si ay si,.. tienes novia y ya te cres un romantico goldo
373,007,Futurama Fry,es idea mia  o ya no veo gente con la polera de la u,es idea mia , o ya no veo gente con la polera de la u
437,003,Ay Si,ay si ay si  ya no me junto contigo porq estoy con nepo,ay si ay si,  ya no me junto contigo porq estoy con nepo
447,012,Willy Wonka,dime que se siente  volver a la realidad,,dime que se siente  volver a la realidad
460,012,Willy Wonka,asi q t cres mucho por estudiar en la fimee dime q se siente llegar en guajolotero,asi q t cres mucho por estudiar en la fimee ,dime q se siente llegar en guajolotero
470,012,Willy Wonka,asi que te llamas keila garcia dime que se siente ser tan bonita y linda persona,asi que te llamas keila garcia ,dime que se siente ser tan bonita y linda persona
