,meme_id,plantilla,texto_no_tilde,text_1,text_2
48,012,Willy Wonka,Con que tu nombre es maira alejandra caicedo dime que se siente ser el ser mas lindo del universo,Con que tu nombre es maira alejandra caicedo ,dime que se siente ser el ser mas lindo del universo
51,011,Problems,le dije solo la puntita me la metio bola y too,le dije solo la puntita me la metio bola, y too
63,007,Futurama Fry,"Nose que es mejor, haberla conocido  o que sea una gran amiga",Nose que es mejor haberla conocido , o que sea una gran amiga
69,003,Ay Si,ay si ay si yo ya fui ve tu tambien,ay si ay si, yo ya fui ve tu tambien
82,012,Willy Wonka,asi que te ivas a casar dime que se siente que un comentario cague tu bodorrio.,asi que te ivas a casar ,dime que se siente que un comentario cague tu bodorrio.
88,003,Ay Si,ay si ay si que malota,ay si ay si, que malota
93,012,Willy Wonka,Asi que quieres disfrutar el feriado largo dime ¿que se siente tener clases  sabado y domingo?,Asi que quieres disfrutar el feriado largo ,dime ¿que se siente tener clases  sabado y domingo?
97,012,Willy Wonka,asi k te gusta guns n' roses.... dime k e siente saber de buena musica,asi k te gusta guns n' roses.... ,dime k e siente saber de buena musica
108,012,Willy Wonka,asI que hernan... eres pedofilo! dime: que se siente meter la pija en el culito de un bebe?,asI que hernan... eres pedofilo! ,dime: que se siente meter la pija en el culito de un bebe?
113,012,Willy Wonka,Asi que quieres guerra de memes dime que se siente no tener nada que hacer,Asi que quieres guerra de memes ,dime que se siente no tener nada que hacer
115,003,Ay Si,ay si ay si pero que malota,ay si ay si, pero que malota
117,003,Ay Si,ay si ay si tengo lavadora nueva,ay si ay si, tengo lavadora nueva
126,004,Bad Luck Brian,Da clases de historia en el cch y hace alianza con los maestros lo traiciona America escudero,Da clases de historia en el cch y hace alianza con los maestros, lo traiciona America escudero
132,003,Ay Si,ay si ay si me voy al retiro y abrazo a mario,ay si ay si, me voy al retiro y abrazo a mario
148,008,Matias Prats,noticias de ultima hora el negro garcia dice que estoy loko,noticias de ultima hora, el negro garcia dice que estoy loko
152,003,Ay Si,ay si ay si ya por k el gonza dice k es cholo ya la evelin la eli y la concha dicen k son cholas,ay si ay si, ya por k el gonza dice k es cholo ya la evelin la eli y la concha dicen k son cholas
153,003,Ay Si,ay si tu deverias ser checho el dececho jajajajaja  cara de nagla,ay si, tu deverias ser checho el dececho jajajajaja  cara de nagla
173,012,Willy Wonka,Asi que te invitaron a una cena  en hombres de negocio cuentame que se siente que te dejen como mierda pidiendo ride,Asi que te invitaron a una cena  en hombres de negocio ,cuentame que se siente que te dejen como mierda pidiendo ride
179,003,Ay Si,Uy si uy si ya te crees porque te cuida San ponciano,Uy si uy si, ya te crees porque te cuida San ponciano
212,007,Futurama Fry,no se si mi tiempo se va volando o es que lo dejo escapar,no se si mi tiempo se va volando, o es que lo dejo escapar
219,003,Ay Si,ay si ay si  solo lo dices para que no te molesten dracula mix,ay si ay si,  solo lo dices para que no te molesten dracula mix
231,003,Ay Si,ay si ay si no soy gordo ni feo ni pobre,ay si ay si, no soy gordo ni feo ni pobre
252,004,Bad Luck Brian,Compra gtav y fifa 14 cae un rayo se quema su ps3,Compra gtav y fifa 14 cae un rayo, se quema su ps3
273,004,Bad Luck Brian,paga el internet  se le dana la pc,paga el internet , se le dana la pc
319,005,Disaster Girl,descubri donde vivia nicolas maduro repito vivia,descubri donde vivia nicolas maduro repito ,vivia
322,005,Disaster Girl,"descubri donde vivia nicolas maduro repito, donde vivia",descubri donde vivia nicolas maduro repito donde ,vivia
354,008,Matias Prats,ultimas noticias lisbeth llega borracha a su casa,ultimas noticias, lisbeth llega borracha a su casa
357,004,Bad Luck Brian,"se consigue 4 amigos 1 le quita la novia,los otros 3 lo abandonan lejos de casa",se consigue 4 amigos 1 le quita la novialos otros 3, lo abandonan lejos de casa
374,004,Bad Luck Brian,explota para derrotar a nappa no le hace ni un rasguno,explota para derrotar a nappa no, le hace ni un rasguno
405,005,Disaster Girl,dragon es para bebes decian decian...,dragon es para bebes decian ,decian...
406,004,Bad Luck Brian,Esta de cumpleanos facebook no le avisa a sus amigos,Esta de cumpleanos facebook no, le avisa a sus amigos
409,005,Disaster Girl,dragon ball es para bebes decian decian...,dragon ball es para bebes decian ,decian...
412,004,Bad Luck Brian,hace ejercicio para ser mas atractiva se le acaban las nalgas,hace ejercicio para ser mas atractiva, se le acaban las nalgas
425,004,Bad Luck Brian,imprime el portafolio se lo piden en cuaderno,imprime el portafolio, se lo piden en cuaderno
431,007,Futurama Fry,no se si es a mi o que,no se si es a mi, o que
460,008,Matias Prats,y en ultimas noticias  bayern munich es una caca,y en ultimas noticias,  bayern munich es una caca
470,012,Willy Wonka,Asi que tu cumpleanos es el 03 de octubre dime que se siente,Asi que tu cumpleanos es el 03 de octubre ,dime que se siente
483,012,Willy Wonka,cuentame  que se siente que te creen memes,,cuentame  que se siente que te creen memes
514,011,Problems,me dijo kerida  y despues ke llevara las drogas,me dijo kerida , y despues ke llevara las drogas
515,012,Willy Wonka,asi que te llamas santiago vargas dime que se siente que kevin tobon te haga los oles en futbol,asi que te llamas santiago vargas ,dime que se siente que kevin tobon te haga los oles en futbol
516,003,Ay Si,ay si ay si toco instrumentos y me creo mucho,ay si ay si, toco instrumentos y me creo mucho
528,012,Willy Wonka,asi que subes fotos de galaxys dime que se siente que nunca tendras uno,asi que subes fotos de galaxys ,dime que se siente que nunca tendras uno
545,012,Willy Wonka,dime que se siente tener bigotes y poder crecer ni un centimetro,,dime que se siente tener bigotes y poder crecer ni un centimetro
550,004,Bad Luck Brian,el adscrito le ensena a colocar cateter central con tecnica de ghost,el adscrito, le ensena a colocar cateter central con tecnica de ghost
564,003,Ay Si,Ay si ay si soy dodger porque estan en playoff,Ay si ay si, soy dodger porque estan en playoff
587,011,Problems,me pinte las unas y me quedaron demasiado paque,me pinte las unas, y me quedaron demasiado paque
598,004,Bad Luck Brian,por fin ganara una partida de smash se va la luz,por fin ganara una partida de smash, se va la luz
603,012,Willy Wonka,dime que se siente tener bigotes y no poder crecer ni un centimetro,,dime que se siente tener bigotes y no poder crecer ni un centimetro
605,003,Ay Si,ay si ay si aun me falta un ano,ay si ay si, aun me falta un ano
607,004,Bad Luck Brian,defiende el amor libre por primera vez en la vida su novia le es fiel,defiende el amor libre por primera vez en la vida su novia, le es fiel
609,003,Ay Si,hu si huy si ahora todo mundo publica en tus ojos me enamoraron,hu si huy si, ahora todo mundo publica en tus ojos me enamoraron
649,003,Ay Si,ayy si ay sii estoy bieen pinche guapo y me creo,ayy si ay si,i estoy bieen pinche guapo y me creo
651,003,Ay Si,"ay si, ay si ahora solo me dice care nalga  tan mala ajaja",ay si ay si, ahora solo me dice care nalga  tan mala ajaja
654,012,Willy Wonka,y dime euyin por que  la cagas a cada rato,y ,dime euyin por que  la cagas a cada rato
668,004,Bad Luck Brian,Se compra su dragon campeon le sale en un sobre,Se compra su dragon campeon, le sale en un sobre
