,meme_id,plantilla,texto_no_tilde,text_1,text_2
0,013,Yao Wonka,"que ponga mi like para que lleguez a los 10, 000 MG y luego dices que yo soy el friki",None,None
3,012,Willy Wonka,asi que tienes un pitbull cabezon y mamalon!! y dices que es el mejor dme que se siente no saber nada sobre pitbulls y solo hacer el ridiculo!!,None,None
4,001,Ancient Aliens,solo de imaginar q muevas esa cinturita   me dan ganas de bailarte el goloso jajajaj,None,None
9,006,Filosoraptor,sI el hombre arana la mujer rasguna????,None,None
10,002,Annoying Gamer Kid,hola soy daniel  y me falta un nivel para terminar halo 4,None,None
11,001,Ancient Aliens,que es super swag?? zoologic park,None,None
14,001,Ancient Aliens,LA FORMULA DE EL JOTIAR  DE CArLOS.. solo francisco LA  SABRA..!!!,None,None
18,001,Ancient Aliens,SIGUE SOOANDO,None,None
20,010,Prepare Yourself,BROTHERS  MON  NOS VAMOS DE PUTAS,None,None
24,001,Ancient Aliens,POS el madrid  jamas ganara la decima,None,None
26,002,Annoying Gamer Kid,Soy alan y ganarare el torneo,None,None
27,009,No me digas,no me digas enserio,None,None
32,004,Bad Luck Brian,tiene el season pass de GEARS 3 NO TIENE EL JUEGO,None,None
34,001,Ancient Aliens,el no es lento es solo que el mundo va muy rapido para el,None,None
38,001,Ancient Aliens,que desastre hise con tirarle ese chorro a esa puta negra cochi morada ese fenomeno me heredo mi frente,None,None
42,005,Disaster Girl,quieres que te ayude a quemar tu casa wrayan!!,None,None
50,011,Problems,No le pEGue  A la negra!,None,None
54,005,Disaster Girl,dijo que me subiria a  GATADAS LICEO CENTRAL,None,None
56,005,Disaster Girl,naruto revolution cancelado? arde kishimoto,None,None
57,001,Ancient Aliens,solo hay una explicacion babas,None,None
62,006,Filosoraptor,me haces cuestionarme felipe que tipo soy?,None,None
63,011,Problems,uno simplemente no se echa pepsi encima,None,None
64,001,Ancient Aliens,hay una explciacion: ingenieros,None,None
65,011,Problems,como se van a tirar  rock al parque con la etnia,None,None
67,008,Matias Prats,atencion venezolano q se respete se queda chatiando hasta las 4 jejejejeje,None,None
70,004,Bad Luck Brian,Va a jugar a la pelota con sus amigos Nadie tiene pelota,None,None
77,011,Problems,le di 30 dolares no me mostro nada,None,None
79,009,No me digas,y que  HAGO  te aplaudo,None,None
86,004,Bad Luck Brian,va al gimnasio por salud amanece muerto por hacer demasiado esfuerzo,None,None
88,004,Bad Luck Brian,Dice que conoce a toda la basica... Nada mas nombra los de primer ano.,None,None
89,011,Problems,Asta la madre que me confundan con saory bebes bazzar Entiendannnn... Ahh people tan terca noo mms..,None,None
92,005,Disaster Girl,eso les pasa por.... no darme mi gobo  =P,None,None
94,013,Yao Wonka,Eso Se llama pelarse,None,None
99,005,Disaster Girl,eran dipraleros   y no me dejaban dormir,None,None
100,006,Filosoraptor,si alan gonzalo se pasa todo el zelda ocarina of time  con young link !!sera pro!!,None,None
105,013,Yao Wonka,el pisco es peruano? jajajajaajajajajajaa,None,None
107,009,No me digas,Y QUE ME DICEN LA COMAYE ESTA EN EL BAR  PERO SI NI TOMA JAJAJAJA,None,None
108,004,Bad Luck Brian,no me mandes toques por facebook  ando chido!!!,None,None
110,005,Disaster Girl,ya no tendras que venir al imss este fin de semana doc,None,None
114,013,Yao Wonka,watch me making fun of you Jewish shit,None,None
116,006,Filosoraptor,si todos nacen ateos y anarquicos  por que hay religion y democracia?,None,None
117,011,Problems,Sepa,None,None
118,010,Prepare Yourself,Preparense una ola de troleadores se aproxima,None,None
125,001,Ancient Aliens,ESTE JUEGO ES UNA MIERDA ASI DE GRANDEEEEE,None,None
128,006,Filosoraptor,muy buena pregunta,None,None
150,003,Ay Si,levate 'sta parucca nun te se po' guarda',None,None
153,011,Problems,what do you get if you cross an insomniac an agnostic and a dyslexic?? Someone who stays up all night woNdering if there is a dog,None,None
154,011,Problems,what do you get if you cross an insomniac an agnostic and a dyslexic Someone who stays up all night woNdering if there is a dog,None,None
161,003,Ay Si,hay ya !! el mas bicicletoso,None,None
163,012,Willy Wonka,que pasen los mexicanos desgraciados,None,None
164,007,Futurama Fry,NO SE SI ESTOY VOLAO O ESTOY CURAO,None,None
165,003,Ay Si,CUIDADO CHICOS TIENE UN MODULO PROPIO,None,None
167,008,Matias Prats,ultima  hora! Lorena Guilbe cumple anos,None,None
183,013,Yao Wonka,"Pobre Unowen sin casa en 3,2,1...",None,None
186,008,Matias Prats,en otras noticias salen a la calle los papis cabron si eres uno de ellos grita papi cabronnnnnn,None,None
187,007,Futurama Fry,MMM MMM,None,None
