,meme_id,plantilla,texto_no_tilde,text_1,text_2
15,012,Willy Wonka,que se siente que el chrirss te dija  no mames verga de mono,None,None
18,009,No me digas,ohhh no me digas!!,None,None
25,009,No me digas,me estan  siguiendo???,None,None
26,006,Filosoraptor,le pregunte a mi perro como me veo y me dijo ¡ guau ! el no me miente por eso lo kiero,None,None
28,005,Disaster Girl,HAY VIVIA MI HERMANO SE COMPRO UN XBOX ONE Y ESO PASO,None,None
37,013,Yao Wonka,mas aburro que ''confesiones sutamarchan pagina oficial'',None,None
38,008,Matias Prats,ultima noticia  me inorta una  mierda tus  stikers,None,None
40,009,No me digas,En Serio!! no te creo  Richy,None,None
50,005,Disaster Girl,LE DIJE QUE NO PUSIERA LA FOTO DE PERFIL DE MI NOVIA EN WHATSAPP..! ERA NIOA BUENA DECIA,None,None
52,013,Yao Wonka,jajajjajaajaj esto es lo mas gay que he visto,None,None
53,005,Disaster Girl,se los dije... fiesta kids es mejor,None,None
54,004,Bad Luck Brian,es su primer dia de trabajo  en racoon city,None,None
57,004,Bad Luck Brian,es su primer dia de trabajo  en raccoon city,None,None
69,009,No me digas,sI tE LLAMAS cARLOS ERES BIEN PUTOTA,None,None
78,005,Disaster Girl,le dije q no pusiera la foto de mi novia en whatsapp ERA NIOA BUENA creiA,None,None
99,008,Matias Prats,El dia de hoy les informamos que alguien no aguanta bromas,None,None
102,004,Bad Luck Brian,BAja de pEso para ser atractivo Les gustan los maes con panza,None,None
109,006,Filosoraptor,why everyone have a alicorn oc?,None,None
116,004,Bad Luck Brian,no tenIamos la tula chika ustd tienen el sapo muy avierto,None,None
122,006,Filosoraptor,Sigo preguntandome... que es ser 150 KM,None,None
138,002,Annoying Gamer Kid,soy un troll equisde,None,None
142,002,Annoying Gamer Kid,me dicen gay solo por jugar a CDM,None,None
146,006,Filosoraptor,q talento en minecraft de seguro no tiene vida social,None,None
147,011,Problems,Ah que me rompes el chocho  Ai mi rubio guarrisho,None,None
154,006,Filosoraptor,si es peter pan sera wuendi bolillo,None,None
175,003,Ay Si,HOY ES MI PRIMER DIA DE CLASES Y LO PUBLICO EN EL FACE,None,None
181,006,Filosoraptor,Me pregunto yo... que hara tanto la rachell en el bano jajaja,None,None
185,011,Problems,ParA que le pasaba el  Numero se alex a chava,None,None
189,001,Ancient Aliens,Excelente guisada le hizo falta panceta pero excelente guisada,None,None
190,011,Problems,ParA que le pasaba el  Numero se alex  a  chava,None,None
194,004,Bad Luck Brian,jueves festivo no tiene clase,None,None
206,008,Matias Prats,en otras noticias gudino quieres con la licen barros,None,None
211,009,No me digas,Y QUE QUERES  QUE HAGA MMMN,None,None
217,003,Ay Si,negraaaaa ya no empieces,None,None
224,009,No me digas,"a la isa le gusta el luis?? Wtf, Fue al oculista?",None,None
232,004,Bad Luck Brian,foldea 1.3M sale de 8vo,None,None
248,009,No me digas,ne me  digas,None,None
253,009,No me digas,no me digas,None,None
256,005,Disaster Girl,"Me dijo que los verdaderos goticos, no hacen pic",None,None
263,006,Filosoraptor,P vos Filosofeitor del feibu!!!!,None,None
269,004,Bad Luck Brian,decide estudiar publi de nuevo las materias son un asco,None,None
271,004,Bad Luck Brian,no tiene amigos postea en feria de las pulgas,None,None
272,008,Matias Prats,ULTIMA HORA.... MARIA FERNANDA SE INVENTA EL ESTADO QUE USTED QUIERA...,None,None
280,013,Yao Wonka,Jajajaja prepara el tuyo que yo vengo es con toda,None,None
290,006,Filosoraptor,"JUSTIN BIEBER TIENE 9,858,063 fans me pregunto cuantos haters tendran",None,None
296,006,Filosoraptor,"JUSTIN BIEBER TIENE 9,858,063 fans me pregunto cuantos haters tendra",None,None
303,009,No me digas,oiie el ian es weco enserio me estay weando,None,None
313,009,No me digas,anda.... no me digas ?,None,None
322,005,Disaster Girl,me estaban etiquetando ese maldito spam de los emoticones y miren lo q les pasos a los hijos de puta,None,None
325,003,Ay Si,"Ay si ay ahora todos publican sus fotos editados por ""retrica""",None,None
333,009,No me digas,dime que se siente  ser pulpin nina,None,None
343,008,Matias Prats,noticia de ultimo minuto  la guerra de memes ha finalizado,None,None
346,008,Matias Prats,en otras noticias solis sigue de putas en quit,None,None
349,008,Matias Prats,ULTIMA NOTICIA CLAUDIA Y SU  LICORERA MAS POPULAR Q FERIA DE FLORES,None,None
354,003,Ay Si,. AY SI AHORA TODOS SON DEL MADRID,None,None
359,003,Ay Si,AY SI AHORA TODOS SON DEL MADRID,None,None
366,003,Ay Si,ahi si... ahi si ya sabe crear memes ahi si....,None,None
367,013,Yao Wonka,asi que buscas batero que se siente que te dejen en visto,None,None
371,012,Willy Wonka,se LE ACHORA A NOE  LE METEN UN CABEZASO,None,None
373,007,Futurama Fry,ZENAILY POR que ERES TAN pasada,None,None
374,012,Willy Wonka,SE LE ACHORA A NOE  LE METE UN CABEZASO,None,None
375,012,Willy Wonka,Guerra de iMAGENES,None,None
385,003,Ay Si,Ay SI Ay sI Manana canto en yo soy,None,None
386,006,Filosoraptor,Yo vi a independiente campeon de la libertadores,None,None
392,009,No me digas,tormen  como te salio la cena??,None,None
395,008,Matias Prats,noticia de ultimo minuto pedro ingreso a la andina pagando,None,None
396,012,Willy Wonka,Y DIME QUE SE SIENTE PONER FOTOS DE MARIHUANA Y CON SUERTE HABER FUMADO OREGANO?,None,None
411,008,Matias Prats,ultima noticia solis se fue de putas a quito (detalles a las 11),None,None
416,004,Bad Luck Brian,le ensena a jugar magic a la novia quiere un mazo hada,None,None
433,008,Matias Prats,ultima noticia ya no somos amigoss :D,None,None
443,008,Matias Prats,en otras noticias betty es una mujer hermosa y la quiero mucho,None,None
449,008,Matias Prats,Ultimas noticias acaban de informarnos que cole es el responsable de iniciar esta publicacion,None,None
467,003,Ay Si,ay me voy..... ustedes no me ayudan :(,None,None
468,004,Bad Luck Brian,Le sale un viaje a EEUU EEUU entra en guerra,None,None
470,001,Ancient Aliens,SOLO HAY UNA EXPLICACION PARA ESTO COREANOS,None,None
472,011,Problems,te amo pero me  alejare de ti,None,None
473,008,Matias Prats,Ultima hora Soy tu heroe,None,None
474,002,Annoying Gamer Kid,activando escudo de virginidad de nino rata,None,None
484,012,Willy Wonka,que no tienes vida propia?  deja de molestarmeeeeeeeee,None,None
495,005,Disaster Girl,yo solo queria  socializar...,None,None
498,013,Yao Wonka,le dicen glorioso empieza en gloria y termina en oso,None,None
512,009,No me digas,HOLA   CONOSES ALFREDO POR QUE NO LO SALUDAS CUANDO LOMIRAS,None,None
513,007,Futurama Fry,se cree cuica y caga ma ediondo la ctm,None,None
517,009,No me digas,te amo mauricio enserio yamarys,None,None
526,001,Ancient Aliens,oee chibolo alucinado!!! maduraaaaa carajoo !!!,None,None
530,013,Yao Wonka,que la comida de subway es mejor que la tradiciona? !pajudo!,None,None
538,012,Willy Wonka,"ASI QUE CRITICABAS A LAS NOVIAS DE TUS AMIGOS POR  FEAS Y EXHIBICIONISTAS. . . dIME, QUE SE SIENTE QUE TU NOVIA SEA PRODUCTORA DE BAILES SONIDEROS...",None,None
553,009,No me digas,se acaloro cielito!!!,None,None
558,002,Annoying Gamer Kid,juegas minecarft tu inventario esta lleno de tierra,None,None
566,008,Matias Prats,en otras noticias tu amiga melissa me esta gustando no me juzges,None,None
567,009,No me digas,no veo la gracia cabesa d abobra,None,None
576,013,Yao Wonka,yo fui el que gano anteriormente webonaso,None,None
577,008,Matias Prats,"ultimo momento no hay mas burguer, se pudre todo",None,None
580,008,Matias Prats,y en otras noticias no puedo  creer ke hayas caido en esta broma xd,None,None
583,008,Matias Prats,y en otras noticias no puedo  creer ke  caiste en esta broma xd,None,None
591,009,No me digas,haslo por  nosotros si ??,None,None
600,007,Futurama Fry,Mis ojos se cierran firmare numea romisha,None,None
601,009,No me digas,la javi se caso por facebock?,None,None
604,009,No me digas,me importa tres pitos no lo mires mas al emii y punto,None,None
614,004,Bad Luck Brian,Se gradua de la nacional Muere por intoxicacion etilica  post celebracion,None,None
621,002,Annoying Gamer Kid,mexico yo te vi campeon,None,None
632,001,Ancient Aliens,AsI de buenotas Estaban sus amigas sssszz.. Y dijo que las respetaba. Ayy aJaaa,None,None
633,010,Prepare Yourself,soy fuerte  la olvidare :(,None,None
635,008,Matias Prats,ultimas notocias el grupo ya esta libre de reguetoneros,None,None
640,008,Matias Prats,noticia a quedado campeon el manud,None,None
645,008,Matias Prats,noticia a quedado  CAMPEON EL MANCHESTER UNITED,None,None
656,010,Prepare Yourself,te veo y digo perdi la mejor oportunidad que tube,None,None
657,002,Annoying Gamer Kid,que linda  porno,None,None
666,007,Futurama Fry,que es lo que  hace ese nino malcriado,None,None
672,013,Yao Wonka,que es tap??? creo que ya no tengo amigos?  :(,None,None
686,001,Ancient Aliens,polleras polleras,None,None
688,008,Matias Prats,Ultimas noticias Alberto el vecino marginado de Narciso se la trago toda cuAndo se entero que godzilla existia en carta Se la mamO toda,None,None
694,008,Matias Prats,en otras noticias... pronto se sabra la tematica....,None,None
695,003,Ay Si,Hay si hay si  llore por la protagonista,None,None
696,012,Willy Wonka,ha si sos de chacarita desime q se siente??,None,None
700,007,Futurama Fry,##%&1 !! $x#%## !!,None,None
702,002,Annoying Gamer Kid,dice que es gamer se gana el premio por nino rata,None,None
706,003,Ay Si,"AY SI, AY SI! PONGO FOTOS DE LOS PERROS  PERO CUANDO ES MI CUMPLEAOOS NO PONGO LA BOTANA",None,None
708,007,Futurama Fry,##%&## !! te kiero amigo,None,None
713,003,Ay Si,se va de viaje trae recuerdos de google,None,None
725,009,No me digas,soy todo eso y yo no me he dado cuenta,None,None
728,004,Bad Luck Brian,se cree gamer juega en facebook,None,None
739,007,Futurama Fry,jejejeje  me toca :3,None,None
742,013,Yao Wonka,Dime que se siente..!!  ESTAR EN REMEDIALES?,None,None
743,013,Yao Wonka,Litz que soy un pollo en audition lo soy ?? Mona De mrd por que no te metescon uno de tu lvl xd,None,None
757,009,No me digas,esto tiene que parar vigguie bauza,None,None
759,013,Yao Wonka,SIGUE PENSANDO QUE SERAS COMO PELE  por comertE UN SUBWay,None,None
767,003,Ay Si,"AY SI, AY SI ANTES ESTABA FLACO",None,None
769,013,Yao Wonka,jajajjaj ese farid  es todo un loquillo,None,None
773,003,Ay Si,Uyy siii ! Las paltas sin cuesco,None,None
784,003,Ay Si,QUE MAlote  lo insulta por facebook,None,None
790,013,Yao Wonka,Tu nivel de idiota llego al 100%,None,None
793,002,Annoying Gamer Kid,chicos alguna  oferta por el juego rage??,None,None
810,003,Ay Si,la joshy se enojara corran todos,None,None
811,013,Yao Wonka,mas fome que el final de vuelve temprano,None,None
813,003,Ay Si,ay  si  me compro playeras y ni futbol juego,None,None
825,008,Matias Prats,noticias de ultimo momento  ratas is coming,None,None
826,012,Willy Wonka,Dime...  te gusto el final de la novela?,None,None
827,008,Matias Prats,se le comunica a  la  senorita irma ke jefferson sansen la ama mucho,None,None
828,011,Problems,esque me da un chingo de sentimiento,None,None
850,004,Bad Luck Brian,NACE UN CRIA EN EL ZOOBAQ LA ANUNCIA Y SE MUERE,None,None
852,001,Ancient Aliens,nerosus avansadus fue traida por aliens para acabar la poblacion sana,None,None
858,003,Ay Si,hay si hay si  ya por que me voy a las juntitas con carmen ya me creo presidenta mucipal de la cuadra,None,None
863,003,Ay Si,a mi no me culpen yo queria un durzno :3,None,None
864,008,Matias Prats,NOTICIA DE ULTIMO MINUTO Heath Slater vencio a Seth Rollins what!!!!,None,None
867,008,Matias Prats,NOTICIA DE ULTIMO MINUTO Heath Slater vencio a Seth Rollins what??,None,None
868,008,Matias Prats,NOTICIA DE ULTIMO MINUTO Heath Slater vencio a Seth Rollins what???,None,None
873,001,Ancient Aliens,en el 2014 el final de vuelve temprano  HUBIESE sido bueno pero por algunos extranos suceso de otro planeta no fue asi,None,None
874,003,Ay Si,yo no fuy,None,None
877,003,Ay Si,A no Si la van a empezar a montar digan,None,None
886,008,Matias Prats,"ALERTA!! ALERTA!! ""insolito"" Se descubrio q pinocho tiene 11 dedos",None,None
893,013,Yao Wonka,que se siente ser tan  pendejo?,None,None
895,001,Ancient Aliens,le lavaron los sesos los aliens,None,None
897,013,Yao Wonka,pasaste las  vacaciones estudiando,None,None
898,008,Matias Prats,altas y bajas es manana 5 de agosto... tome sus precAUCIONES Y ARREGLE ESE HORARIO DE MIERDA,None,None
906,012,Willy Wonka,viste el final de vuelve temprano? Dime que se siente haber perdido 8 meses de tu vida,None,None
912,008,Matias Prats,Entre otras noticias shizoku tv vuelve en canal 27 magestad tv,None,None
916,007,Futurama Fry,Eres real?  O mi amor platonico?,None,None
933,001,Ancient Aliens,SOLO MIERDAS HABLAS,None,None
953,005,Disaster Girl,gera decia que se quedaria a jugar en els kr... jake quemo su casa!!,None,None
955,005,Disaster Girl,EL DISTRITO ME DIJO QUE NO ME IBA A PAGAR  LES QUEME EL ZOO,None,None
961,001,Ancient Aliens,solo hay una explicacion para esto ASIATICOS,None,None
977,012,Willy Wonka,asi que te robas mi internet que pasaria si desconecto el modem,None,None
979,011,Problems,El de arriba es un baboso,None,None
985,009,No me digas,Y esa wea de final se les ocurrio,None,None
998,013,Yao Wonka,Publica no respondo inbox Y nadie le haBlA,None,None
999,011,Problems,que lindo estado hasta llore,None,None
1001,007,Futurama Fry,las feas tambien tienen derecho a estudiar pero por que todas las de mi universidad estan en mi salon,None,None
1002,003,Ay Si,. .,None,None
1004,009,No me digas,JUliana  no sabes lo que haz hecho!,None,None
1007,001,Ancient Aliens,dioooooos miooo  todo eso es tuyo mamiii hay mami rica si haci es el infierno no me imagino el cielo xd jajaja,None,None
1011,001,Ancient Aliens,solo hay una explicacion aliens,None,None
1014,001,Ancient Aliens,solo hay una explicacion aliens    _,None,None
1020,002,Annoying Gamer Kid,vatos .com,None,None
1033,011,Problems,kerim que culpa tiene fatmagul?,None,None
1036,013,Yao Wonka,poss  mole y arroz,None,None
1050,010,Prepare Yourself,preparence segundo semestre is coming,None,None
1059,009,No me digas,Si cierto Meme,None,None
1060,004,Bad Luck Brian,Quiere hijo hombre... Sale mujercita,None,None
1063,007,Futurama Fry,manana liz cuando se pare a las 5,None,None
1071,009,No me digas,pedo  Xd xd cojudo,None,None
1075,007,Futurama Fry,Wiiiii...... Tengo miedooo...,None,None
1076,013,Yao Wonka,no sabes  que es malo,None,None
1077,001,Ancient Aliens,solo hay una explicasion para esto gera y jake,None,None
1087,009,No me digas,no me digas leider ya  recurristes a las groserias,None,None
1100,009,No me digas,No me digas,None,None
1114,009,No me digas,tas loko enserio?,None,None
1119,006,Filosoraptor,si vamos rumbo al socialismo como sera cuando estemos en socialismo?,None,None
1123,003,Ay Si,"¡¡Muy reyna,muy reyna Pero vende empanadas Jaha",None,None
1126,003,Ay Si,UY uY VIllafan me escribe al whats,None,None
1127,013,Yao Wonka,david  cabro,None,None
1132,013,Yao Wonka,Y  Dime Que Sesiente Pasar Por  Ser La Lider De La BAnda Blanco,None,None
1133,013,Yao Wonka,a este h.p zancudo  solo le faltan las papas y la gaseosa,None,None
1135,006,Filosoraptor,si dicen que el ingles es el idioma mas dificicil de aprender.... entoces por que en estados unidos lo hablan de puta madre???,None,None
1136,001,Ancient Aliens,Eres lo mas estupido que eh visto  en mi vida,None,None
1138,013,Yao Wonka,Y Dime Que Sesiente Ser  La Lider De La Banda Blanco,None,None
1146,012,Willy Wonka,Aaah!!  Con que haran un barbecue!!!,None,None
1160,003,Ay Si,hay no pues tan linda leidi holguin ....,None,None
1173,006,Filosoraptor,se echan miel o jalea .playos.,None,None
1176,006,Filosoraptor,SI SCHERMAN RIE COMO PUERQUITO PUERQUITO RIE COMO SCHERMAN?,None,None
1177,010,Prepare Yourself,dios hace cosas hermosas pero conmigo ce lucio   by:liss,None,None
1181,011,Problems,Maria rosa causas desepccion,None,None
1183,011,Problems,LO HAS PEDIDO en otras cuentas,None,None
1185,011,Problems,"le dije qe terminaramos juntos pero el desgraciado no se aguanto,,,,,,",None,None
1190,007,Futurama Fry,ummm creo q fue una  q se llama maria jose,None,None
1200,011,Problems,por que  no se duerme,None,None
1203,004,Bad Luck Brian,quiere ir a pintar no sabe que decirle a sus papas,None,None
1208,001,Ancient Aliens,quien publica tantas tonterias  adair,None,None
1217,009,No me digas,anda saca  a la .....,None,None
1224,011,Problems,se acabaron los pololeos con chipelibre y se acuerda que te ama se arrepeiente y te viene a buscar despues del todo el dano que hizo,None,None
1229,001,Ancient Aliens,Me importa  Cinco mierdas asi de grandes como vos,None,None
1233,001,Ancient Aliens,¡que no me conoces! no ves que soy el loco salmon,None,None
1242,001,Ancient Aliens,"casi me la creo pero sin aliens, no puede ser verdad",None,None
1245,009,No me digas,me vale un kilo de verga  lo k digas ee cachetona,None,None
1252,012,Willy Wonka,erick !!!!! aqui estan las cervezas,None,None
1254,012,Willy Wonka,AsI que todos se mueren por shuek... Que se siente ser amigo de ella?,None,None
