,meme_id,plantilla,texto_no_tilde,text_1,text_2
47,011,Problems,le dije 3 puntos y solo me dio 2,le dije 3 puntos, y solo me dio 2
79,006,Filosoraptor,"EL CHOCOLATE VIENE DEL CACAO... EL CACAO VIENE DE UN ARBOL, ENTONCES, ¿CUENTA COMO ENSALADA?",EL CHOCOLATE VIENE DEL CACAO... EL CACAO VIENE DE UN ARBOL ENTONCES ,¿CUENTA COMO ENSALADA?
111,005,Disaster Girl,vivia con una boliviana si si vivia,vivia con una boliviana si si ,vivia
155,011,Problems,Me dijeron que no hiciera el cuestionario Todos lo llevaron y reprobe,Me dijeron que no hiciera el cuestionario Todos lo llevaron, y reprobe
186,004,Bad Luck Brian,"Queda atrapado en una isla, pero lo rescata un barco... El titanic",Queda atrapado en una isla pero, lo rescata un barco... El titanic
188,011,Problems,borro una formula y dice que ella no fue,borro una formula, y dice que ella no fue
197,012,Willy Wonka,asi que ya sabes como hacer imajenes dime que se siente cargar a los demas,asi que ya sabes como hacer imajenes ,dime que se siente cargar a los demas
304,003,Ay Si,Uy si..uy si Muy caballerito,Uy si..uy si, Muy caballerito
337,003,Ay Si,Hay si. . Hay sI. . Ahora me gusta Star Wars,Hay si,. . Hay sI. . Ahora me gusta Star Wars
398,006,Filosoraptor,¿si denny muere? no tendriamos a quien explotar,,¿si denny muere? no tendriamos a quien explotar
481,008,Matias Prats,ultima hora se le informa a johana olivero q tiene q trabajar mientras q colombia juega jajajaja,ultima hora, se le informa a johana olivero q tiene q trabajar mientras q colombia juega jajajaja
500,004,Bad Luck Brian,Caba para abajo se cae a la laba,Caba para abajo, se cae a la laba
548,003,Ay Si,Hay si Llego Maxihueco,Hay si, Llego Maxihueco
563,006,Filosoraptor,"si voto por polo ¿tendra los ""cojones"" de seguir sin saludarme?",si voto por polo ,"¿tendra los ""cojones"" de seguir sin saludarme?"
590,003,Ay Si,Ay si ay si soy misteriosa nadie me conoce,Ay si ay si, soy misteriosa nadie me conoce
630,003,Ay Si,ay si montas la de soltera y bonita tiene dos hijos y mas hitorias que emergencia de hospital,ay si, montas la de soltera y bonita tiene dos hijos y mas hitorias que emergencia de hospital
637,003,Ay Si,Ay si ay si Ora resulta que tire la barbie,Ay si ay si, Ora resulta que tire la barbie
751,003,Ay Si,huy si se la da del importante,huy si, se la da del importante
760,012,Willy Wonka,asi que eres ateo dime que se siente estar pendiente de algo que no existe,asi que eres ateo ,dime que se siente estar pendiente de algo que no existe
840,012,Willy Wonka,asi que te llamas carol dime que se siente ser tan chata,asi que te llamas carol ,dime que se siente ser tan chata
914,004,Bad Luck Brian,"se consigue uno clandestinamente para grabar paisajes, atardeceres y juegos de polvora el 31 de dic le cae la ley",se consigue uno clandestinamente para grabar paisajes atardeceres y juegos de polvora el 31 de dic, le cae la ley
924,012,Willy Wonka,¿AsI que eres filosofo? dime que se siente ser pedido para rellenar crucigramas,¿AsI que eres filosofo? ,dime que se siente ser pedido para rellenar crucigramas
939,007,Futurama Fry,no se si el HTML es sencillo o no lo entiendo,no se si el HTML es sencillo, o no lo entiendo
964,011,Problems,Me preocupo que no me envie mensajes Estara enojado conmigo? Y luego recuerdo que lo bloquie y se me pass,Me preocupo que no me envie mensajes Estara enojado conmigo? Y luego recuerdo que lo bloquie, y se me pass
967,003,Ay Si,hay si no se le puede decir nada del manga por que  se envafa,hay si, no se le puede decir nada del manga por que  se envafa
968,003,Ay Si,hay si no se le puede decir nada del manga por que  se enfada,hay si, no se le puede decir nada del manga por que  se enfada
1047,004,Bad Luck Brian,le dan 16 vidas lo atropella una 4 x 4,le dan 16 vidas, lo atropella una 4 x 4
1067,006,Filosoraptor,¿DORLETA TIENE MAS AOOS KE YO NO?,,¿DORLETA TIENE MAS AOOS KE YO NO?
1149,003,Ay Si,Ay si ay si trabajo en feriado Y lo publico para q piensen q soy el q manda,Ay si ay si, trabajo en feriado Y lo publico para q piensen q soy el q manda
1162,003,Ay Si,Ay si ay si Me creo x q soy seguridad y lo publico pa q piensen q soy el q manda,Ay si ay si, Me creo x q soy seguridad y lo publico pa q piensen q soy el q manda
1179,003,Ay Si,Ay si ay si soy un solecito,Ay si ay si, soy un solecito
1188,007,Futurama Fry,no se si es marica o de  millonarios  esque son iguales,no se si es marica, o de  millonarios  esque son iguales
1218,003,Ay Si,ay si ahora tu duermes 8 horas diarias,ay si, ahora tu duermes 8 horas diarias
1287,012,Willy Wonka,con que trabajas en la sep dime que se siente que te paguen por no hacer nada,con que trabajas en la sep ,dime que se siente que te paguen por no hacer nada
1291,003,Ay Si,ay si ay si soy mejor por saber todo sobre queen,ay si ay si, soy mejor por saber todo sobre queen
1331,012,Willy Wonka,dime que se siente cargar tu arenero ensima,,dime que se siente cargar tu arenero ensima
1364,003,Ay Si,ay si los tigres ganaron hay que rendirle pleitecia y tal,ay si, los tigres ganaron hay que rendirle pleitecia y tal
1408,003,Ay Si,"ay si, ay si me creo diferente al peje, pero soy igual",ay si ay si, me creo diferente al peje pero soy igual
1440,004,Bad Luck Brian,"""Maldito el hombre que con sus palabras definde al pueblo... Y con sus hechos lo destruye""","""Maldito el hombre que con sus palabras definde al pueblo... Y con sus hechos"," lo destruye"""
1447,003,Ay Si,ay si mira a esos liceistas y liceistos,ay si, mira a esos liceistas y liceistos
1450,003,Ay Si,ay si ay si hablo el precioso,ay si ay si, hablo el precioso
1451,003,Ay Si,"ay si la""""convivencia democratica """" es  importante para la sociedad ""ay"".",ay si," la""""convivencia democratica """" es  importante para la sociedad ""ay""."
