,meme_id,plantilla,texto_no_tilde,text_1,text_2
41,004,Bad Luck Brian,hace machete en economia le descubren,hace machete en economia, le descubren
61,007,Futurama Fry,No se si al editar mi ensayo estoy avanzando o estoy retrocediendo,No se si al editar mi ensayo estoy avanzando, o estoy retrocediendo
161,003,Ay Si,ay si ay si no mas porque a la claudia no se le ocurre nada mas,ay si ay si, no mas porque a la claudia no se le ocurre nada mas
181,008,Matias Prats,no ticia de ultima hora se adetectado que las rider son portadoras de el ebola,no ticia de ultima hora, se adetectado que las rider son portadoras de el ebola
233,004,Bad Luck Brian,se quita el pantalon franklin se lo chupa,se quita el pantalon franklin, se lo chupa
304,004,Bad Luck Brian,tiene pololo no lo ve nunca,tiene pololo no, lo ve nunca
357,004,Bad Luck Brian,dice: yo no me rajo se enferma,dice: yo no me rajo, se enferma
359,006,Filosoraptor,Si los dinosaurios se extinguieron... ¿Por que existe barney?,Si los dinosaurios se extinguieron... ,¿Por que existe barney?
364,003,Ay Si,"ay si, ay si           se los lleva el ejercito y al mes ya se creen rambo",ay si ay si,           se los lleva el ejercito y al mes ya se creen rambo
385,003,Ay Si,ay si soy ecologista miren como cuido mi granjita en facebook,ay si, soy ecologista miren como cuido mi granjita en facebook
406,008,Matias Prats,ultimas noticias la looser esta gorda,ultimas noticias, la looser esta gorda
417,003,Ay Si,ay si que quieren los factores,ay si, que quieren los factores
437,003,Ay Si,"ay si, ay si odio los memes de la ranita pero utilizo sus frases para publicarlas",ay si ay si, odio los memes de la ranita pero utilizo sus frases para publicarlas
465,003,Ay Si,ay si no jodo a jonhy porque me hace carreras,ay si, no jodo a jonhy porque me hace carreras
478,003,Ay Si,ay si como no,ay si, como no
482,003,Ay Si,ay si ay si. aquI tambien tenemos nuestros conceptos,ay si ay si,. aquI tambien tenemos nuestros conceptos
484,003,Ay Si,ay si somos los mejores primos y nos querenos todos,ay si, somos los mejores primos y nos querenos todos
502,003,Ay Si,ay si ay si estoy en grupo tactico,ay si ay si, estoy en grupo tactico
514,003,Ay Si,ay si ay si se ofende de su realidas de rata,ay si ay si, se ofende de su realidas de rata
519,004,Bad Luck Brian,se compra un rifle se cree superviviente,se compra un rifle, se cree superviviente
526,003,Ay Si,ay si ay si se ofende de su ser rata,ay si ay si, se ofende de su ser rata
531,003,Ay Si,ay si no jodo a jonhy porque me hace carreras maresssssco,ay si, no jodo a jonhy porque me hace carreras maresssssco
540,004,Bad Luck Brian,se le pierde el celu cree que se lo robaron,se le pierde el celu cree que, se lo robaron
559,013,Yao Wonka,"asiq ue estabas ""enfermo""? dime que se siente mentir por tenerle miedo a jenri","asiq ue estabas ""enfermo""? ",dime que se siente mentir por tenerle miedo a jenri
587,012,Willy Wonka,"asi que tu eres el gingo, dime que se siente dormir en el piso rojo",asi que tu eres el gingo ,dime que se siente dormir en el piso rojo
602,007,Futurama Fry,conmigo o con chaux,conmigo, o con chaux
604,003,Ay Si,ay ay si me saco el dedo mira como lloro,ay ay si, me saco el dedo mira como lloro
703,003,Ay Si,"ay si, ay si presumo de lo que no tengo",ay si ay si, presumo de lo que no tengo
708,003,Ay Si,ay si sales wey,ay si, sales wey
709,012,Willy Wonka,Asi que no mas fb... dime como va tu vida social?,Asi que no mas fb... ,dime como va tu vida social?
714,003,Ay Si,ay si ay si tomo polvos reductores pero al cierre voy a comer enchiladas,ay si ay si, tomo polvos reductores pero al cierre voy a comer enchiladas
717,007,Futurama Fry,no se si el araneda es weon o se hace,no se si el araneda es weon, o se hace
725,011,Problems,le digo que se rie poco y escribe muchas veces jajaja,le digo que se rie poco, y escribe muchas veces jajaja
727,003,Ay Si,ay si ay si le copias la musica  a otra persona y te crees famoso,ay si ay si, le copias la musica  a otra persona y te crees famoso
740,004,Bad Luck Brian,le pido el numero y no le mando mensajes,le pido el numero y no, le mando mensajes
763,004,Bad Luck Brian,va por primera ves a ayotzinapa lo matan,va por primera ves a ayotzinapa, lo matan
823,003,Ay Si,ay si ay si solo es padre y se vurla de todo,ay si ay si, solo es padre y se vurla de todo
854,003,Ay Si,ay si si se enoja porque le desimos bigotuda,ay si, si se enoja porque le desimos bigotuda
884,003,Ay Si,ay si ay si calmate jocelin,ay si ay si, calmate jocelin
900,003,Ay Si,Ay si ay si Ando en comision y puedo chocar,Ay si ay si, Ando en comision y puedo chocar
905,004,Bad Luck Brian,quiere vender un carro le hacen fraude,quiere vender un carro, le hacen fraude
908,003,Ay Si,hay si denunciar,hay si, denunciar
913,003,Ay Si,ay si ay si calmate messi chupame un huevo marvin,ay si ay si, calmate messi chupame un huevo marvin
915,012,Willy Wonka,asi que compras amor dime que se siente  estar manteniendo a tus  entradores,asi que compras amor ,dime que se siente  estar manteniendo a tus  entradores
925,003,Ay Si,hay si denunciar pdh,hay si, denunciar pdh
942,004,Bad Luck Brian,bueno ya se como hacerlo gracias yola,bueno ya, se como hacerlo gracias yola
947,004,Bad Luck Brian,Tiene todos los requisitos para movilidad no le aceptan el numero  materias que quiere cursar,Tiene todos los requisitos para movilidad no, le aceptan el numero  materias que quiere cursar
963,011,Problems,ya ni la chinga comai ni los buenos dIas meda mira como estoy retriste. y asta estoy llorando jeje comai,ya ni la chinga comai ni los buenos dIas meda mira como estoy retriste., y asta estoy llorando jeje comai
974,012,Willy Wonka,asi que disenas el logo de exploratodo dime que se siente sonar con llamas?,asi que disenas el logo de exploratodo ,dime que se siente sonar con llamas?
981,003,Ay Si,ay si ay si oriana tiene 30 billones,ay si ay si, oriana tiene 30 billones
996,006,Filosoraptor,¿que es facebook? a donde paran todos los viciosos,,¿que es facebook? a donde paran todos los viciosos
1012,012,Willy Wonka,"asi que estas llorando cinthya dime que se siente, llenar de mocos tu cuarto xD",asi que estas llorando cinthya ,dime que se siente llenar de mocos tu cuarto xD
1022,012,Willy Wonka,dime que se siente que tu amigo sea mas aragan que tu,,dime que se siente que tu amigo sea mas aragan que tu
1033,004,Bad Luck Brian,va por primera vez a un burdel lo atiende su mama,va por primera vez a un burdel, lo atiende su mama
1037,012,Willy Wonka,Asi que haces parte de green peace dime que se siente durar media hora banandote todos los dIas,Asi que haces parte de green peace ,dime que se siente durar media hora banandote todos los dIas
1039,012,Willy Wonka,a ver dime que se siente que kary no te haga caso,a ver ,dime que se siente que kary no te haga caso
1043,003,Ay Si,"hay si bendiciones pa toos soy humilde,,,soy humilde",hay si, bendiciones pa toos soy humildesoy humilde
1045,012,Willy Wonka,asi q tu eres chachi? dime q se siente ser un mojon con ropa,asi q tu eres chachi? ,dime q se siente ser un mojon con ropa
1048,011,Problems,le dije que no avanza y me dio como maquina de coser,le dije que no avanza, y me dio como maquina de coser
1049,004,Bad Luck Brian,pone una relacion en facebook su mama le comenta,pone una relacion en facebook su mama, le comenta
1151,003,Ay Si,Ay si ay si!! Solo por que no te dio Chikun te crees  superpoderoso,Ay si ay si,!! Solo por que no te dio Chikun te crees  superpoderoso
1162,007,Futurama Fry,No se que es mas idiota mis rolas o las imagenes de eduardo,No se que es mas idiota mis rolas, o las imagenes de eduardo
1167,003,Ay Si,uy si ahora todos piensan como la rana Rene,uy si, ahora todos piensan como la rana Rene
1183,003,Ay Si,ay si me creo el mas naco como la ve jefa querida,ay si, me creo el mas naco como la ve jefa querida
1222,004,Bad Luck Brian,se pone  a crear memes... telmex le kita el wiffi por no pagar,se pone  a crear memes... telmex, le kita el wiffi por no pagar
1239,003,Ay Si,"Ay si, ay si habra un encuentro de jovenes y no ire xq no quiero ser zanahoria",Ay si ay si, habra un encuentro de jovenes y no ire xq no quiero ser zanahoria
1257,007,Futurama Fry,no se si soy asiatico o tengo sueno,no se si soy asiatico, o tengo sueno
1331,003,Ay Si,"ay si ay si! !! le gano a mi papi chivas y me siento campeon,",ay si ay si,! !! le gano a mi papi chivas y me siento campeon
1372,012,Willy Wonka,asi que eres arley dime que se siente hacer un gol en propia,asi que eres arley ,dime que se siente hacer un gol en propia
1373,012,Willy Wonka,dime que se siente quedarse sin imagenes,,dime que se siente quedarse sin imagenes
1393,006,Filosoraptor,¿Que pasaria si le dieran roja al arquero?,,¿Que pasaria si le dieran roja al arquero?
1400,004,Bad Luck Brian,piensa que todos se acordaron de su cumpleanos solo son 6 weones molestandolo,piensa que todos, se acordaron de su cumpleanos solo son 6 weones molestandolo
1402,003,Ay Si,ay si ay si yo hago un trailer,ay si ay si, yo hago un trailer
1407,012,Willy Wonka,dime que se siente karen saber que tu celular es mas inteligente,,dime que se siente karen saber que tu celular es mas inteligente
1432,007,Futurama Fry,no se si me hisiste huevos por no acompanarte o por que no entendiste que no ire,no se si me hisiste huevos por no acompanarte, o por que no entendiste que no ire
1470,003,Ay Si,ay si ay si calmate chuma,ay si ay si, calmate chuma
1532,011,Problems,le dije que me la metiera despacio y me la dejo ir seca,le dije que me la metiera despacio, y me la dejo ir seca
1536,003,Ay Si,ay si  ay  si soy un agelito de  dios,ay si,  ay  si soy un agelito de  dios
1552,003,Ay Si,"ay si ""zona de lectura""",ay si," ""zona de lectura"""
1555,012,Willy Wonka,stefania dime que se siente saber q te tomaron el pelo con un perfil falso de face,stefania ,dime que se siente saber q te tomaron el pelo con un perfil falso de face
1559,003,Ay Si,"ay si ""zona de lectura"" y solo he leIdo el titulo",ay si," ""zona de lectura"" y solo he leIdo el titulo"
1560,012,Willy Wonka,Marzio dime que se siente que ni las monjas te hagan caso,Marzio ,dime que se siente que ni las monjas te hagan caso
1566,012,Willy Wonka,stefania dime que se siente que te tomaron el pelo con un perfil falso de face,stefania ,dime que se siente que te tomaron el pelo con un perfil falso de face
1572,012,Willy Wonka,asi que estas en rash dime que siente trabajar asi,asi que estas en rash ,dime que siente trabajar asi
1573,003,Ay Si,ay si solo porque es nueva,ay si, solo porque es nueva
1587,003,Ay Si,ay si,ay si,
1590,003,Ay Si,Ay si ay si nunca van  mis caguamas,Ay si ay si, nunca van  mis caguamas
1591,012,Willy Wonka,asi que vas en el cui? dime que se siente pertenecer a los fresas?,asi que vas en el cui? ,dime que se siente pertenecer a los fresas?
1593,003,Ay Si,ay si leo un libro y lo pongo de estado de whatsapp para que vean que si leo,ay si, leo un libro y lo pongo de estado de whatsapp para que vean que si leo
1595,006,Filosoraptor,¿y si tengo cresta? SERE iguanapunk?,,¿y si tengo cresta? SERE iguanapunk?
1606,012,Willy Wonka,asi que dime ¿que se siente tenerle medo a los de barba?,asi que ,dime ¿que se siente tenerle medo a los de barba?
1608,012,Willy Wonka,asi que dime ¿que se siente tenerle miedo a los de barba?,asi que ,dime ¿que se siente tenerle miedo a los de barba?
1610,008,Matias Prats,"noticia de ultima hora la berru esta ""leyendo"" un libro pero en realidad ya esta dormida",noticia de ultima hora," la berru esta ""leyendo"" un libro pero en realidad ya esta dormida"
1668,013,Yao Wonka,dime que se siente que montoya te este cagando el palo,,dime que se siente que montoya te este cagando el palo
1681,006,Filosoraptor,¿es lo mismo huele a traste que atras te huele,,¿es lo mismo huele a traste que atras te huele
1753,003,Ay Si,ay si ay si nos vestimos igualitos y nos creemos cosa 1 y cosa 2,ay si ay si, nos vestimos igualitos y nos creemos cosa 1 y cosa 2
1784,012,Willy Wonka,asI que el america se queja DE de cruz azul por 17 anos sin ser campeon dime que se siente que el america se tardo 37 anos en ser campeon,asI que el america se queja DE de cruz azul por 17 anos sin ser campeon ,dime que se siente que el america se tardo 37 anos en ser campeon
1812,012,Willy Wonka,asi que postulando jueces para que en el futuro te tapen los clavos dime que se siente estar a la altura de un marero,asi que postulando jueces para que en el futuro te tapen los clavos ,dime que se siente estar a la altura de un marero
1823,004,Bad Luck Brian,mas de mil alumnos No se regstra su cartilla,mas de mil alumnos No, se regstra su cartilla
1824,004,Bad Luck Brian,mas de mil alumnos No se registra su cartilla,mas de mil alumnos No, se registra su cartilla
1830,004,Bad Luck Brian,"lo agregan a ""no le pegue a la negra"" lo eliminan en 3 min","lo agregan a ""no le pegue a la negra""", lo eliminan en 3 min
1837,012,Willy Wonka,y dime willy k se siente estas el padrastro zone,y ,dime willy k se siente estas el padrastro zone
1870,003,Ay Si,"ay si no puedo, etiqueto a alguien mas",ay si, no puedo etiqueto a alguien mas
1875,012,Willy Wonka,"asi que votaste por chim pum callao dime, que se siente marcar al champazo?",asi que votaste por chim pum callao ,dime que se siente marcar al champazo?
1893,004,Bad Luck Brian,quiere copiar en la paes lo cuida la santisima trinidad,quiere copiar en la paes, lo cuida la santisima trinidad
1895,012,Willy Wonka,dime que se siente consejo 2014 salir con la primera generacion de culeros,,dime que se siente consejo 2014 salir con la primera generacion de culeros
1896,003,Ay Si,ay si ay si pendiente de todos los desfiles,ay si ay si, pendiente de todos los desfiles
1901,004,Bad Luck Brian,intenta wear a la gente se llama ronald y lo terminan weando,intenta wear a la gente se llama ronald y, lo terminan weando
1903,003,Ay Si,hay si que regreso #elsalesiano le voy a decir a bob esponja,hay si, que regreso #elsalesiano le voy a decir a bob esponja
1910,007,Futurama Fry,No se si es ergativa o nominativa,No se si es ergativa, o nominativa
1911,008,Matias Prats,y en ultimas noticias cristian de avila bajo de categoria liga pony,y en ultimas noticias, cristian de avila bajo de categoria liga pony
1914,007,Futurama Fry,nose si te le perdieron las pinzas o te las escondio la estefania,nose si te le perdieron las pinzas, o te las escondio la estefania
1951,013,Yao Wonka,con que estas en la dos dime que se siente.... SER TAN FREGON,con que estas en la dos ,dime que se siente.... SER TAN FREGON
1954,007,Futurama Fry,no se si estoy gordo o lleno de amor,no se si estoy gordo, o lleno de amor
1963,004,Bad Luck Brian,Hace un solo se le olvidan los pasos,Hace un solo, se le olvidan los pasos
1977,003,Ay Si,ay si ay si yo me defiendo con el nene,ay si ay si, yo me defiendo con el nene
1988,012,Willy Wonka,asi que mi apa se quedara tiempo extra dime que siente saber eso,asi que mi apa se quedara tiempo extra ,dime que siente saber eso
1993,004,Bad Luck Brian,SE compra una pc gamer le falta el procesador,SE compra una pc gamer, le falta el procesador
2020,003,Ay Si,UY SI UY SII!! no SOY PERfecTA PERO SI UNICA UY si  uy si !!! JAJAJAJA  ;):,UY SI UY SII!! no SOY PERfecTA PERO SI UNICA UY si  uy si, !!! JAJAJAJA  ;):
2048,011,Problems,Me dijo que era poeta igual a Nach y solo sabe bailar corazon confidente de las jeans,Me dijo que era poeta igual a Nach, y solo sabe bailar corazon confidente de las jeans
2052,007,Futurama Fry,Nose si me utiliza o yo no cobro por ser su novio falso,Nose si me utiliza, o yo no cobro por ser su novio falso
2055,007,Futurama Fry,No se si me creo mc o ultra Reguetono con sentimientos,No se si me creo mc, o ultra Reguetono con sentimientos
2056,003,Ay Si,ay si ay si me creo gran papada por que puedo bailar corazon confidente,ay si ay si, me creo gran papada por que puedo bailar corazon confidente
2061,004,Bad Luck Brian,se toma fotos de su trasero lo tiene cuadrado y se le cae,se toma fotos de su trasero lo tiene cuadrado y, se le cae
2116,003,Ay Si,ay si ay si tu y tu caszon chino,ay si ay si, tu y tu caszon chino
2138,003,Ay Si,ay si yo no como naranjas porque mevdejan amargas las manos,ay si, yo no como naranjas porque mevdejan amargas las manos
2139,012,Willy Wonka,asi que te tiembla la mano? dime que se siente tener parkinson a los  25?,asi que te tiembla la mano? ,dime que se siente tener parkinson a los  25?
2175,004,Bad Luck Brian,JHUlian G comenta con una foto y lo eliminan del grupo,JHUlian G comenta con una foto y, lo eliminan del grupo
2204,003,Ay Si,Ay  si ay si te blokeo para que notes mi auscencia,Ay  si ay si, te blokeo para que notes mi auscencia
2211,003,Ay Si,ay si ay si le publico te amo ala morra...para que todos crean que ya se me quito lo mujeriego,ay si ay si, le publico te amo ala morra...para que todos crean que ya se me quito lo mujeriego
2212,003,Ay Si,ay si ay si le publico te amo a la morra...para que todos crean que ya se me quito lo mujeriego,ay si ay si, le publico te amo a la morra...para que todos crean que ya se me quito lo mujeriego
