,meme_id,plantilla,texto_no_tilde,text_1,text_2
5,004,Bad Luck Brian,Paso a produccion la clarita valida,None,None
18,004,Bad Luck Brian,"INVOCA A CHARLIE,  CHARLIE Y EMITEN LA SEGUNDA TEMPORADA DE PADRES E HIJOS",None,None
27,005,Disaster Girl,Servidor de la UMC a las 8.59am,None,None
30,011,Problems,"LE DIJE A RICHARD,LA BICICLETA O YO. Y AGARRO LA BICI Y SE FUE.",None,None
34,005,Disaster Girl,ESO PASA POR JUGAR A COUNTER,None,None
46,006,Filosoraptor,encerio? y que mas?,None,None
55,003,Ay Si,yo no fui fue el pajarito,None,None
56,002,Annoying Gamer Kid,So schaffe ich,None,None
57,005,Disaster Girl,esto me huele a cantinflas piromano andresit,None,None
59,003,Ay Si,solo soy corrupto nada mas,None,None
76,005,Disaster Girl,al conductor le gustaba Daddy Yankee y le di gasolina,None,None
83,006,Filosoraptor,cual juego es mas peligroso? el charlie,None,None
86,006,Filosoraptor,si tienen que habilitar es MAS MONITORIA mas... mmm,None,None
94,003,Ay Si,Cuidado chicas estamos delante de un chico malo!!!,None,None
116,012,Willy Wonka,¿Integracion continua? ¿Eso que es?,None,None
128,003,Ay Si,aaa no se no es mi culpa q seas tan feo,None,None
130,005,Disaster Girl,i had nothing to do,None,None
138,006,Filosoraptor,Si el mercosur es tan bueno para venezuela Por que en ninguna casa de cambio del mercosur te aceotan Bs a6.3 o a 12??????,None,None
139,006,Filosoraptor,Si el mercosur es tan bueno para venezuela Por que en ninguna casa de cambio del mercosur te aceptan Bs a 6.30 o a 12  ??????,None,None
154,003,Ay Si,"ay si , ay si Me siento en las piernas de un hombre en la via publica y me acusan por inmoral",None,None
155,004,Bad Luck Brian,Es vegano Su hijo es carnIvoro y tiene una carnicerIa,None,None
157,012,Willy Wonka,1 millon de anos y el hueva no encuentra el jetpack,None,None
163,002,Annoying Gamer Kid,BAOO DE MUJERES AHI VOY,None,None
166,005,Disaster Girl,mis vecinos odiaban hora de aventura... pero ya no,None,None
168,005,Disaster Girl,quieren formar otros grupo que malas deben ser,None,None
175,005,Disaster Girl,mis  vecinos sentian frio y yo les di calor,None,None
177,005,Disaster Girl,MIs vecinos votaron al PP Ya no lo haran Mas!,None,None
179,004,Bad Luck Brian,SE SACA BUENAS NOTAS LE CAMBIAN DE SALON (MARÍA),None,None
