,meme_id,plantilla,texto_no_tilde,text_1,text_2
22,004,Bad Luck Brian,Quiere ganarse un combo Se lo muestra a Tovar,Quiere ganarse un combo Se, lo muestra a Tovar
24,011,Problems,dijieron que no me aumentaria el abono me lo aumentaron y bajaron mis beneficios,dijieron que no me aumentaria el abono me lo aumentaron, y bajaron mis beneficios
79,006,Filosoraptor,Si te llamas Alba ¿Eres familia del Sol?,Si te llamas Alba ,¿Eres familia del Sol?
136,011,Problems,se me olvido mi comida y solo tengo una hora para comer,se me olvido mi comida, y solo tengo una hora para comer
140,006,Filosoraptor,"SI LE DICEN ""PLATONICO"" ¿ES PORQUE SE LO QUIEREN ECHAR AL PLATO?","SI LE DICEN ""PLATONICO"" ",¿ES PORQUE SE LO QUIEREN ECHAR AL PLATO?
192,003,Ay Si,ay si when eres un dibujo ;,ay si, when eres un dibujo ;
227,008,Matias Prats,noticia de ultima hora la maquina sigue corriendo,noticia de ultima hora, la maquina sigue corriendo
375,006,Filosoraptor,Si las nalgas permanecen frIas ¿Por que se calientan los asientos?,Si las nalgas permanecen frIas ,¿Por que se calientan los asientos?
392,007,Futurama Fry,soy tonto o inteligente?,soy tonto, o inteligente?
426,004,Bad Luck Brian,Peru saca tres puntos no lo ve porque tiene que trabajar,Peru saca tres puntos no, lo ve porque tiene que trabajar
508,004,Bad Luck Brian,dice que es el mas bravo de marques sus vecinos le roban,dice que es el mas bravo de marques sus vecinos, le roban
509,004,Bad Luck Brian,Quiere comer pate con galleta le venden humus,Quiere comer pate con galleta, le venden humus
624,003,Ay Si,Hay si el uri se la lleva de muy aca Y yo se que es maricon,Hay si, el uri se la lleva de muy aca Y yo se que es maricon
625,004,Bad Luck Brian,Si ALEXA que se bURLO DE MI PORQUE SHO NO QUERIA TRABAJAR,Si ALEXA que, se bURLO DE MI PORQUE SHO NO QUERIA TRABAJAR
633,004,Bad Luck Brian,Pide salvar a los pandas se lo culean,Pide salvar a los pandas, se lo culean
654,004,Bad Luck Brian,Su enamorada se va del banco cancelan el tono,Su enamorada, se va del banco cancelan el tono
658,004,Bad Luck Brian,Su novia se va del banco cancelan el tono,Su novia, se va del banco cancelan el tono
692,006,Filosoraptor,Si alguien te dice que no le hagas caso ¿ Le estas haciendo caso al no hacerle caso?,Si alguien te dice que no le hagas caso ,¿ Le estas haciendo caso al no hacerle caso?
693,003,Ay Si,huy sii saray segun tu no eres odiosa,huy si,i saray segun tu no eres odiosa
727,003,Ay Si,hay si ahora todos ivan a pr,hay si, ahora todos ivan a pr
763,004,Bad Luck Brian,Al cid de la tierra del rey lo desterraban,Al cid de la tierra del rey, lo desterraban
769,004,Bad Luck Brian,es experto en computacion solo lo ah hecho en 1 trabajo,es experto en computacion solo, lo ah hecho en 1 trabajo
783,003,Ay Si,Ay si ay si David me regana,Ay si ay si, David me regana
858,003,Ay Si,"Ay si, ay si Me felicitan en el facebook sobre el tema del enequen y ya me siento famoso en tankuche",Ay si ay si, Me felicitan en el facebook sobre el tema del enequen y ya me siento famoso en tankuche
862,003,Ay Si,las mas perras de turbo ay si,las mas perras de turbo ay si,
888,003,Ay Si,ay si  me creo director y de la television ni me acuerdo,ay si,  me creo director y de la television ni me acuerdo
899,003,Ay Si,ay si ay si... soy bachiller a cumplir mis metas adefeciosos de mierda!!! fumando los he de ver,ay si ay si,... soy bachiller a cumplir mis metas adefeciosos de mierda!!! fumando los he de ver
1026,004,Bad Luck Brian,jimena ayuda al cid en todo por que lo admira,jimena ayuda al cid en todo por que, lo admira
1079,011,Problems,me dijo que era fan de morrisey y solo conoce suedehead,me dijo que era fan de morrisey, y solo conoce suedehead
1096,004,Bad Luck Brian,esta en una pista de avion lo mata un helicoptero,esta en una pista de avion, lo mata un helicoptero
1140,004,Bad Luck Brian,le prometen canas se va todo el mundo,le prometen canas, se va todo el mundo
1141,003,Ay Si,Ay si ay si canto mientras escucho el radio Y ya siento que canto igual que el cantantr,Ay si ay si, canto mientras escucho el radio Y ya siento que canto igual que el cantantr
1147,003,Ay Si,Ay si ay si princesa canta mirntras escucha el radio Y ya siente k canta como la cantante,Ay si ay si, princesa canta mirntras escucha el radio Y ya siente k canta como la cantante
1151,003,Ay Si,Ay si ay si Princesa canta mientras escucha el radio Y ya siente que canta igual que la cantante,Ay si ay si, Princesa canta mientras escucha el radio Y ya siente que canta igual que la cantante
1152,008,Matias Prats,Noticia de ultima hora ballan a la expoferia donde Javier refrescate,Noticia de ultima hora, ballan a la expoferia donde Javier refrescate
1304,004,Bad Luck Brian,Trata de hacer su display se fractura la mano,Trata de hacer su display, se fractura la mano
1330,003,Ay Si,"uuy si, mi auditoria",uuy si, mi auditoria
1361,003,Ay Si,ay si soy gey,ay si, soy gey
