,meme_id,plantilla,texto_no_tilde,text_1,text_2
12,005,Disaster Girl,decia que no le gustaba chino y nacho  ¡decia¡,decia que no le gustaba chino y nacho  ¡,decia¡
20,007,Futurama Fry,no se si millo cuando dijo que iba a comer se referIa a el o a uno de los 4 personajes de gta v,no se si millo cuando dijo que iba a comer se referIa a el, o a uno de los 4 personajes de gta v
27,003,Ay Si,AY si ay si me sale a defender mi tIa porque tambien quizo ser skater,AY si ay si, me sale a defender mi tIa porque tambien quizo ser skater
50,005,Disaster Girl,mi vecino decia q jose lovaton no era guapo bueno decia,mi vecino decia q jose lovaton no era guapo bueno ,decia
59,003,Ay Si,ay si ay si yo no escucho corridos,ay si ay si, yo no escucho corridos
76,004,Bad Luck Brian,Quiere que la gente valla a su evento lo hace en domingo!,Quiere que la gente valla a su evento, lo hace en domingo!
91,006,Filosoraptor,¿CUAL SERA LA MEJOR INSTRUMENTAL QUE HAS ESCUCHADO?,,¿CUAL SERA LA MEJOR INSTRUMENTAL QUE HAS ESCUCHADO?
113,003,Ay Si,ay si ay si  juega futbol y se cree cr7,ay si ay si,  juega futbol y se cree cr7
122,006,Filosoraptor,que vino antes ¿el ojo al parche o el parche al ojo?,que vino antes ,¿el ojo al parche o el parche al ojo?
125,013,Yao Wonka,siiiiii claro.... cuentanos mas....,siiiiii claro.... ,cuentanos mas....
133,007,Futurama Fry,ya no se si es en serio o es troll,ya no se si es en serio, o es troll
157,003,Ay Si,ay si ay si  like y te enseno,ay si ay si,  like y te enseno
208,005,Disaster Girl,velkoz me decia te voy a ultear annie decia,velkoz me decia te voy a ultear annie ,decia
215,007,Futurama Fry,no se si las minas estan mas ricas o estoy muy caliente,no se si las minas estan mas ricas, o estoy muy caliente
230,013,Yao Wonka,"asi que no crees en el diezmo y la ofrenda. dime que se siente, que vivas de el.",asi que no crees en el diezmo y la ofrenda. ,dime que se siente que vivas de el.
263,006,Filosoraptor,"uno no sabe gobernar yes corrupto, el otro ni gobierna y ya roba agua lucas rodrIguez no tiene denuncias, es un profesional exitoso, con experiencia y honesto. ¿a quien elegir para chiclayo?",uno no sabe gobernar yes corrupto el otro ni gobierna y ya roba agua lucas rodrIguez no tiene denuncias es un profesional exitoso con experiencia y honesto. ,¿a quien elegir para chiclayo?
265,006,Filosoraptor,"uno no sabe gobernar y tiene incontables denuncias, el otro ni gobierna y ya roba agua lucas rodrIguez no tiene denuncias, es un profesional exitoso, con experiencia y honesto. ¿a quien elegir para chiclayo?",uno no sabe gobernar y tiene incontables denuncias el otro ni gobierna y ya roba agua lucas rodrIguez no tiene denuncias es un profesional exitoso con experiencia y honesto. ,¿a quien elegir para chiclayo?
272,006,Filosoraptor,Si Maduro es colombiano ¿Porque colombia no no saca de esa duda?,Si Maduro es colombiano ,¿Porque colombia no no saca de esa duda?
281,011,Problems,Jayo me dijo que no iva ha pasar nada y me la metio seca!!,Jayo me dijo que no iva ha pasar nada, y me la metio seca!!
292,003,Ay Si,ay si ay si  me gusta que me digan mike,ay si ay si,  me gusta que me digan mike
303,012,Willy Wonka,Ok ahora cuentame una de vaqueros...,Ok ahora ,cuentame una de vaqueros...
352,004,Bad Luck Brian,queria un buen nombre se llama mario orlando,queria un buen nombre, se llama mario orlando
358,004,Bad Luck Brian,"le lame el culo a los politicos durante toda la campana ganan, se roban la plata y no le dan ni las gracias",le lame el culo a los politicos durante toda la campana ganan se roban la plata y no, le dan ni las gracias
359,004,Bad Luck Brian,Compra un equipode computo completo se lo vende mileidy,Compra un equipode computo completo, se lo vende mileidy
379,011,Problems,entonces me dijo me cojo a tu hermana y me cojieron a mi !,entonces me dijo me cojo a tu hermana, y me cojieron a mi !
395,006,Filosoraptor,¿si un candidato da platos de lechona en campana creara un restaurante durante su periodo?,,¿si un candidato da platos de lechona en campana creara un restaurante durante su periodo?
428,004,Bad Luck Brian,envia chicas al 3 1111 no le dejan ser parte del club,envia chicas al 3 1111 no, le dejan ser parte del club
475,012,Willy Wonka,asi que trabajas... dime que se siente perder tu tiempo en algo tonto,asi que trabajas... ,dime que se siente perder tu tiempo en algo tonto
509,003,Ay Si,uuuy si mi flaca es tabla Yel cree q sta buena,uuuy si, mi flaca es tabla Yel cree q sta buena
587,012,Willy Wonka,"asI que te la pasas en twitter todo el dIa dime ¿que se siente reprobar gracias a eso y que encima, nadie le importe tu vida?",asI que te la pasas en twitter todo el dIa ,dime ¿que se siente reprobar gracias a eso y que encima nadie le importe tu vida?
614,006,Filosoraptor,¿quien es la mas bonita  del salon?,,¿quien es la mas bonita  del salon?
635,003,Ay Si,"ay si, ay si  AORA TODOS QUIERN TOMARNOS FOTOS EN EL SALON",ay si ay si,  AORA TODOS QUIERN TOMARNOS FOTOS EN EL SALON
672,007,Futurama Fry,no se si solo me chingue el foco o me chinge la electricidad completa,no se si solo me chingue el foco, o me chinge la electricidad completa
701,004,Bad Luck Brian,va de excurcion al polo norte y lo viola santa,va de excurcion al polo norte y, lo viola santa
710,012,Willy Wonka,"dime que se siente presumir.de , cosas finas  con el.dinero de los taxes pa despues quedar acabado sin cash",,dime que se siente presumir.de  cosas finas  con el.dinero de los taxes pa despues quedar acabado sin cash
720,012,Willy Wonka,asi que creaste una pagina de memes insac dime que se siente que pronto seras famoso,asi que creaste una pagina de memes insac ,dime que se siente que pronto seras famoso
757,004,Bad Luck Brian,Tiene una polola le dice morenito de azucar *,Tiene una polola, le dice morenito de azucar *
772,003,Ay Si,Ay si ay si  soy incredulita y estoy re loquiaza,Ay si ay si,  soy incredulita y estoy re loquiaza
777,005,Disaster Girl,decian que no habian aulas disponibles decian...,decian que no habian aulas disponibles ,decian...
825,003,Ay Si,ay si  ya como sabe de electricidad no estudia,ay si,  ya como sabe de electricidad no estudia
828,003,Ay Si,"ay si , soy soltera y hago lo que quiero.... pero si estuviera Gian Carlos no dirias ni mela !!!",ay si,  soy soltera y hago lo que quiero.... pero si estuviera Gian Carlos no dirias ni mela !!!
850,004,Bad Luck Brian,gana de senador  lo Extraditan para los eeuu,gana de senador , lo Extraditan para los eeuu
858,003,Ay Si,ay si  cecilia y sus cachetes,ay si,  cecilia y sus cachetes
894,007,Futurama Fry,sera inutil o  esta tostada,sera inutil, o  esta tostada
905,012,Willy Wonka,dime que se siente saber que te odian y no saber porque,,dime que se siente saber que te odian y no saber porque
935,004,Bad Luck Brian,que sexy se ve  el queso en el dedo,que sexy, se ve  el queso en el dedo
940,012,Willy Wonka,asi que te subiste a una patrulla dime que se siente ser bad boy,asi que te subiste a una patrulla ,dime que se siente ser bad boy
979,004,Bad Luck Brian,tiene amigos imaginarios y le hacen bullyng,tiene amigos imaginarios y, le hacen bullyng
981,007,Futurama Fry,dice cruz azul lider  o subcampeon,dice cruz azul lider , o subcampeon
985,007,Futurama Fry,hmmm soy yo o sebastian me va a hacer algo mas exsagerado hmm?,hmmm soy yo, o sebastian me va a hacer algo mas exsagerado hmm?
990,003,Ay Si,ay si ay si me kagastes,ay si ay si, me kagastes
1012,004,Bad Luck Brian,juega por primera ves airsoft le pegan en la frente,juega por primera ves airsoft, le pegan en la frente
1044,008,Matias Prats,ultimas noticias... el huracan dora bebe tocara tierra muy pronto!,ultimas noticias,... el huracan dora bebe tocara tierra muy pronto!
1056,003,Ay Si,Ay si ay si Descubri el Meme genErAtor,Ay si ay si, Descubri el Meme genErAtor
1061,003,Ay Si,ay si ay si  no se bana si no k se enbetuna,ay si ay si,  no se bana si no k se enbetuna
1073,008,Matias Prats,en ultimas noticias  descubri q te amo,en ultimas noticias,  descubri q te amo
1106,003,Ay Si,ay si porque esta muerto da risa,ay si, porque esta muerto da risa
1153,003,Ay Si,ay si ay si  me dice lampara y el se metido con cinco mujeres a la vez,ay si ay si,  me dice lampara y el se metido con cinco mujeres a la vez
1159,007,Futurama Fry,no se si veo a un friki o un minecon,no se si veo a un friki, o un minecon
1181,005,Disaster Girl,decian que barcelona era un asco decian,decian que barcelona era un asco ,decian
1207,007,Futurama Fry,no se si veo a un gay o un hetero sexual,no se si veo a un gay, o un hetero sexual
1224,004,Bad Luck Brian,esta apunto de ganar le da lag,esta apunto de ganar, le da lag
1245,003,Ay Si,ay si ya todas quieren regalos por que es el dIa de la mujer,ay si, ya todas quieren regalos por que es el dIa de la mujer
1246,003,Ay Si,ay si ay si! ya no tengo memes y meto otra cosa,ay si ay si,! ya no tengo memes y meto otra cosa
1253,004,Bad Luck Brian,lo ponen de portero le meten gol con saque de banda,lo ponen de portero, le meten gol con saque de banda
1265,003,Ay Si,"ay si, ay si no m pongo celosa pero m enojo cuando hablas de mujeres",ay si ay si, no m pongo celosa pero m enojo cuando hablas de mujeres
1266,012,Willy Wonka,dime que se siente saber que si votas por zabi && ximena PODRAS TOCAR EL TRASERO DE ZABI :3,,dime que se siente saber que si votas por zabi && ximena PODRAS TOCAR EL TRASERO DE ZABI :3
1270,003,Ay Si,ay si mira mi pastel,ay si, mira mi pastel
1354,004,Bad Luck Brian,COMPRA PROTEUS  le dan crocclip,COMPRA PROTEUS , le dan crocclip
1357,004,Bad Luck Brian,es el dios del bardo lo bloquean,es el dios del bardo, lo bloquean
1358,004,Bad Luck Brian,hace una lluvia de ideas se moja..,hace una lluvia de ideas, se moja..
1365,004,Bad Luck Brian,Sabe usar hack de tacos  se pone el bamboo,Sabe usar hack de tacos , se pone el bamboo
1369,004,Bad Luck Brian,compra candado de seguridad lo deja abierto,compra candado de seguridad, lo deja abierto
1381,003,Ay Si,ay si dices que me quieres  y a haces todo lo posible por no verme,ay si, dices que me quieres  y a haces todo lo posible por no verme
1412,004,Bad Luck Brian,ofrece una quedada todos pagado pizza y demas cosas nadie lo pesca,ofrece una quedada todos pagado pizza y demas cosas nadie, lo pesca
1439,004,Bad Luck Brian,Hace un Quadra con WW Pancho le roba el penta,Hace un Quadra con WW Pancho, le roba el penta
1450,004,Bad Luck Brian,se enamora de la guila  le echa la culpa a ella,se enamora de la guila , le echa la culpa a ella
1469,004,Bad Luck Brian,Va a su primer concierto metalero se cancela,Va a su primer concierto metalero, se cancela
1471,007,Futurama Fry,ese es lino..!!! o una tortuga con la cabeza agachada...,ese es lino..!!!, o una tortuga con la cabeza agachada...
1478,004,Bad Luck Brian,se toma 2 shots al minuto se siente como un tiro,se toma 2 shots al minuto, se siente como un tiro
1484,004,Bad Luck Brian,sabe karate no le da al pelon,sabe karate no, le da al pelon
1485,004,Bad Luck Brian,primer dia que se porta mal lo cacha rodolfo,primer dia que se porta mal, lo cacha rodolfo
1486,004,Bad Luck Brian,compra su voleto para el hell and heven lo cancela eruviel,compra su voleto para el hell and heven, lo cancela eruviel
1491,003,Ay Si,"Hay si hay sI  Me llamo, Guerita hermandez ..soy de estado de mexico",Hay si, hay sI  Me llamo Guerita hermandez ..soy de estado de mexico
1492,012,Willy Wonka,dimeee que SE CIENTE  que te CURTIERAMOS la foto..,,dimeee que SE CIENTE  que te CURTIERAMOS la foto..
1512,012,Willy Wonka,"asi que solo quieres que te inviten a comer cuando tu quieres? dime, que se siente que te manden al chill out por ponerte tus monos??",asi que solo quieres que te inviten a comer cuando tu quieres? ,dime que se siente que te manden al chill out por ponerte tus monos??
1515,013,Yao Wonka,asi que el perrito murio ¿he? dime que se siente perder a tu unico amigo?,asi que el perrito murio ¿he? ,dime que se siente perder a tu unico amigo?
1534,003,Ay Si,Ay si ay si ahora todos se toman el selfie del oscar,Ay si ay si, ahora todos se toman el selfie del oscar
1550,004,Bad Luck Brian,intenta toser para disimular un pedo vomita y se caga encima,intenta toser para disimular un pedo vomita y, se caga encima
1551,004,Bad Luck Brian,Le presta dinero y lo borra del facebook,Le presta dinero y, lo borra del facebook
1566,004,Bad Luck Brian,Quiere ser un elefante le encanta saltar,Quiere ser un elefante, le encanta saltar
1571,004,Bad Luck Brian,se roba mi celular No le borra la foto,se roba mi celular No, le borra la foto
1597,006,Filosoraptor,"Si ya cancelaron el H&H ¿pOR QUE NO HAN HECHO los mismo, LAS BANDAS INVITADAS?",Si ya cancelaron el H&H ,¿pOR QUE NO HAN HECHO los mismo LAS BANDAS INVITADAS?
1621,007,Futurama Fry,No se si me tiran cuando dicen que mi vida es triatlon o tienen celos de mI,No se si me tiran cuando dicen que mi vida es triatlon, o tienen celos de mI
1625,004,Bad Luck Brian,"Sufren, pelean, se quejan por los post",Sufren pelean, se quejan por los post
1640,004,Bad Luck Brian,se llama brayan va a molestar al profe de quimica y el profesor le hace pasar pena frente a todos y le dicen marica y se queda callado y todos lo boletean,se llama brayan va a molestar al profe de quimica y el profesor le hace pasar pena frente a todos y le dicen marica y se queda callado y todos, lo boletean
1643,008,Matias Prats,Y Las En ultimas noticias algun hijo de puta me bloqeo agreguen,Y Las En ultimas noticias, algun hijo de puta me bloqeo agreguen
1650,011,Problems,decia ser el hombre arana y lo aplaste!!!!,decia ser el hombre arana, y lo aplaste!!!!
1658,004,Bad Luck Brian,quieren ahorrar compran lo mas caro,quieren ahorrar compran, lo mas caro
1661,004,Bad Luck Brian,su mama lo cambia de colegio  es el republica,su mama, lo cambia de colegio  es el republica
1662,004,Bad Luck Brian,Recorre Sudamerica se fractura la nariz y no saca ninguna foto normal,Recorre Sudamerica, se fractura la nariz y no saca ninguna foto normal
1663,012,Willy Wonka,dime que se siente tener apellido de dibujito animado?,,dime que se siente tener apellido de dibujito animado?
1673,004,Bad Luck Brian,le gusta tool le gusta tool,le gusta tool, le gusta tool
1675,004,Bad Luck Brian,se consigue una novia le dedica smell like teen spirit,se consigue una novia, le dedica smell like teen spirit
1691,004,Bad Luck Brian,"Esta en contra de los nombres feos le pone a su hija ""seilor mun""",Esta en contra de los nombres feos," le pone a su hija ""seilor mun"""
1704,011,Problems,a julio le dije un poquito y me metio hasta las piernas,a julio le dije un poquito, y me metio hasta las piernas
1711,004,Bad Luck Brian,invita a diogenes a su casa... le escupe en la cara,invita a diogenes a su casa..., le escupe en la cara
