,meme_id,plantilla,texto_no_tilde,text_1,text_2
10,008,Matias Prats,ultima noticia javier tiene almorranas  igual k el grande,None,None
20,003,Ay Si,Ay si  adams trabaja,None,None
22,006,Filosoraptor,"si los evangelicos todos son hermanos porque a a sus familiares nos los llaman ""hermanos""",None,None
26,008,Matias Prats,ultima noticia en chile el joven irvin confia a la mujer de su vida todo el amor q siente por viviana su mujer q vive en pucon,None,None
28,006,Filosoraptor,"si los evangelicos todos son hermanos porque a a sus familiares nos los llaman ""asii""",None,None
37,004,Bad Luck Brian,"es su cumpleanos sus papas no estan, no hay comida no tiene plata pa salir ni pa comprar cigarros y es una mujer horrible e.e",None,None
39,011,Problems,"hla m yamo chris m dijieron q  no doleria  ,ahora ni puedo pararme..,,xxx",None,None
53,001,Ancient Aliens,' Morochas ..,None,None
55,012,Willy Wonka,ASI QUE TIENES UN FIAT 128 .... QUE SE SIENTE TENER UN AUTO QUE NO TE ABANDONA,None,None
59,003,Ay Si,Aayyy siii siii cumpli anos ayer Y me creo...,None,None
63,006,Filosoraptor,SI NOS ECHAMOS OFF EN EL CUERPO? PORQUE TAMBIEN NO NOS ECHAMOS RAID?,None,None
66,001,Ancient Aliens,POLLO GORDO,None,None
73,007,Futurama Fry,UNA PIZZA ESTA  EN UNA CUCARACHA,None,None
79,012,Willy Wonka,Asi que tienes facebook ¿Que se siente no tener una vida real?,None,None
82,012,Willy Wonka,AsI que otro arroyo de vacaciones... osea que me vais a joder la semana a fotos,None,None
84,008,Matias Prats,"ultima noticia en chile el joven irvin confiesa a todo chile lo mucho q ama asu mujer ""viviana aranda"" q vive en pucon con su hija adorada ""catalina""",None,None
86,001,Ancient Aliens,simplemente  eres hermosa,None,None
91,007,Futurama Fry,asi que quieres jugar boli metete la pelota por el culo¡¡¡,None,None
92,003,Ay Si,huy si huy si que malota soy..,None,None
104,006,Filosoraptor,si zoofilia es sexo con ani males y  necrofilia es sexo con muertos como se le llamaria tener sexo con un animal muerto,None,None
109,002,Annoying Gamer Kid,Repite su gol en todos los angulos  te apreta star y no te deja repetir el tuyo,None,None
110,006,Filosoraptor,si zoofilia es sexo con animales y  necrofilia es sexo con muertos como se le llamaria tener sexo con un animal muerto,None,None
122,001,Ancient Aliens,¿Va al parque de diversiones y no disfruta la entrada? La macha,None,None
125,003,Ay Si,Ay si cuando yo EMPECIESE con el bulin karen y andi manis,None,None
155,007,Futurama Fry,mira mas alla de lo que vez,None,None
159,004,Bad Luck Brian,Termina la remediacion Tiran script,None,None
161,012,Willy Wonka,"Dime, asi que te da wueba ir a los xbox",None,None
168,012,Willy Wonka,asi que currete resfriado eso por frungir con el culo al aire,None,None
171,006,Filosoraptor,copa suat me pregunto que es eso  cuando llegues a la final de la libertadores hablamos kagon jajaja,None,None
172,004,Bad Luck Brian,SUBE FOTOS AL FACEBOOK LE HACEN MEME,None,None
173,003,Ay Si,esau es un sinverguenza se acosto con migo solo por interes,None,None
174,003,Ay Si,YO NO SE NADA .,None,None
180,007,Futurama Fry,Parece ser que no lo entendio Mejor se lo explico con figuritas,None,None
182,006,Filosoraptor,DONDE ESTARAN LAS POLERAS,None,None
183,002,Annoying Gamer Kid,ahora vere porno en mi play station,None,None
186,003,Ay Si,AY SI LE COMI  PONGALE SALSA A MI ENPANADA Q TENGO HAMBRE,None,None
189,001,Ancient Aliens,muy buen post le hizo falta ayuda  de televisa y los  arbitros pero muy bien post,None,None
