,meme_id,plantilla,texto_no_tilde,text_1,text_2
0,009,No me digas,ahhh no entiendo feliz dia porque????,None,None
19,009,No me digas,Este es el origen del no me digas,None,None
25,012,Willy Wonka,ella dijo..estare solo un rato y callada y tu te lo creiste?,None,None
29,001,Ancient Aliens,"quien invento el, pan con huevo!! alienIgenas? jajaja",None,None
39,009,No me digas,gerson.. quiere jugar?,None,None
49,004,Bad Luck Brian,Llega recien de coquimbo tiene que irse a yumbel,None,None
51,005,Disaster Girl,lesli no m adopto...  miren lo q paso...,None,None
54,004,Bad Luck Brian,tu bien pvpear como yo bien conjugar,None,None
57,004,Bad Luck Brian,trabaja de lunes a sabado tiene que ser jurado de votacion el domingo,None,None
58,013,Yao Wonka,Daniel eres gay ?? ahora lo comprendo todo !!,None,None
61,004,Bad Luck Brian,trabaja de lunes a sabado debe ser jurado de votacion el domingo,None,None
73,007,Futurama Fry,¿futurama? ¿que es eso?,None,None
80,004,Bad Luck Brian,"SI CEST LA FETE DES PERES PI TA FETE AUSSI, CA VEUX TU DIRE QUE T'A DES ENFANTS?",None,None
96,002,Annoying Gamer Kid,espera a que respeten a su paIs mexico insulta a los paIses de sudamerica,None,None
105,003,Ay Si,"ay, ya... soy un experto en nudos...wao!",None,None
133,001,Ancient Aliens,Ff vIII ALIENS,None,None
134,005,Disaster Girl,ellos decIan que querIan mas a la corita... ¡¡decIan!!/wendy,None,None
138,009,No me digas,asi que la viste una vez y ya te gusta no me digas,None,None
144,012,Willy Wonka,te quejabas de bernal? que se siente rotar por plantas?,None,None
160,002,Annoying Gamer Kid,si nunca encontrate a tu pata  en plena paja..¡¡ es porque puso cortina a su cuarto..¡¡,None,None
165,002,Annoying Gamer Kid,MMM............QUE TAL COMO AMANESISTE HIJO .....JAJAJA,None,None
172,008,Matias Prats,"en otras noticias BOMBA CAE A CEMENTERIO, MUERTOS CORREN POR SUS VIDAS",None,None
174,001,Ancient Aliens,Las bosqueras siempre han existido... desde antes que naciera gustavo a.madero,None,None
