id ,plantilla,texto
 31255988, Personalizado,  Salud vecino Jackson 
 31255992, Personalizado, DevuÃ©lveme todos mis Proyectos de BI 
 31255997, Personalizado, se honesto o te trueno 
 31255998, Personalizado, La innovaciÃ³n educativa Fluidez y flexibilidad . 
 31255999, Personalizado,  Â¿Usted avalÃ³ la bomba de Nagasaki? 
 31256000, Futurama Fry, UNA DE LAS EMPRESAS FAVORICIDAS POR EL SUPERSALUD ES DE LA ESPOSA 
 31256003, Futurama Fry, UNA DE LAS EMPRESAS FAVORECIDAS POR EL SUPERSALUD ES DE SU ESPOSA 
 31256002, Rage FU, cuando estas jugando pero te mandan por las tortillas 
 31256005, Julio Iglesias, Os voy a PREGUNTÃ Y LO SABÃ‰IS 
 31256007, Batman slaps Robin, TE LLAMAS ALFONSO Y PUNTO  
 31256012, Feel Like A Sir, cuando cenas con visita 
 31256015, No me digas, quien es la nueva grrh de rqro??? 
 31256017, Personalizado,  FORMO UNA TORMENTA EN UN VASO DE AGUA 
 31256016, Personalizado,  la polÃ­tica es todo una mierda. he hablado 
 31256019, Personalizado, STARWALKER MURIO POR LA PATRIA!!!!! 
 31256020, Personalizado,  sigame para mas jugos!!! 
 31256021, Personalizado, Cuando te tiÃ±es de rojo Y vas a ducharte 
 31256026, Personalizado,  Me gustan gordas 
 31256029, crying peter parker, Cuando te dicen que Tu ex ya tiene novio 
 31256032, Personalizado, YO EN EL SUPERMERCADO ESCOJIENDO QUE TRAGO COMPRAR PARA ESTE 14 DE FEBRERO 
 31256034, Filosoraptor," La expectativa de la mujer comÃºn es: casarse, tener hijos, estar en casa cocinando, lavando, planchando y se mantenida. Mis expectativas : estudiar, trabajar, viajar, ir a espectÃ¡culos, comer y ver tele todo el dÃ­a Y dicen que es una la que tiene mala vida "
 31256035, Personalizado, Volviste con tu ex?  
 31256037, Personalizado,  EL QUIEN MADRUGA DIOS LO AYUDA 
 31256038, Personalizado, por quÃ© Volviste con tu ex?  
 31256040, Personalizado," Cuando voce ya paso por tanta coisa na vida, y e movido apenas pela forÃ§a do odio y nada mas consegue te abalar  "
 31256042, Personalizado, dame la visa te chupare el pene canada 
 31256041, Personalizado,  deseredese 
 31256045, Personalizado,  la tortilla de patatas mejor con cebolla. he hablado 
 31256059, Chemistry Cat, Estudiantes de la normal no quiero que el primer dia llegen tarde si van a llegar tarde digan que el bus los dejo 
 31256061, Personalizado,  EL QUE LA HACE LA PAGA 
 31256065, Bebe Exitoso, CUANDO TE CABREAS  
 31256064, I'm sexy and I know it, nos vemos en febrero mi querido tovar 
 31256067, Personalizado,  feliz cumpleaÃ±os paula 
 31256069, Koala, estudiantes de la normal les pido el favor si tiene ganar de ir al bano No se olviden llevar papel 
 31256071, Willy Wonka, Y es naca? Pues dejo a este prÃ­ncipe azul para volver con el ogro color puesta de su ex 
 31256072, Personalizado, Cuando tienes mÃ¡s de 40 aÃ±os Pero aÃºn estÃ¡s deseoso de amor 
 31256075, Willy Wonka, Y es naca? Pues dejÃ³ a este prÃ­ncipe azul para volver con el ogro color puesta de su ex 
 31256076, Willy Wonka, Y es naca? Pues dejÃ³ a este prÃ­ncipe azul para volver con el ogro color puerta de su ex 
 31256077, I Hate, when te dicen que hay deber a las 12:00pm  
 31256078, Grumpy Cat, JUAN CARLOS EN EL CUMPLEAÃ‘OS 
 31256079, Personalizado, Yo aquÃ­ esperando a que Zidane Me ponga a jugar un partido 
 31256082, Anxiety Cat, CUANDO HAY UN EXAMEN Y TODAVÃA NO HAS ESTUDIADO 
 31256083, Sad Trooper, PREFIERO SENTIR DOLOR EN MI BRAZO QUE EN MI CORAZON 
 31256085, Boromir, Si los cachos brillaran Cienega ceria Las Vegas 
 31256086, Julio Iglesias, felicidades mÃ³nica Â¡Â¡eres la mejor y lo sabes!! 
 31256087, Personalizado,  naci cansado 
 31256092, Julio Iglesias, felicidades mÃ³nica eres la mejor 30aÃ±era y lo sabes 
 31256090, Sergio Ramos, HOLA SI VEN A UN CHINA EN SU COLEGIO LLAMDADA DANIELA LO QUE DEBEN HACER ES DECIRLE QUE ESTAS BONITA POR QUE TU ESTAS EN LA NORMAL 
 31256091, Personalizado, me dijiste que COMPRARIAS flores aCASO VENDIAS 
 31256093, Boromir, Si los cachos brillaran Cienega fuera Las Vegas 
 31256094, Personalizado, Yo aquÃ­ esperando Mi cuenta Spotify 
 31256095, Personalizado, SOS UN ESPECISTA ALIMENTAME Y CUESTIONA TUS PRIVILEGIOS DE ESPECIE! 
 31256097, Personalizado, Yo aquÃ­ Esperando spotify 
 31256098, Personalizado, when ves a tu hermano por primera vez  
 31256099, Matias Prats, les cuento algo me contaron que vieron a un estudiante en la normal femenina que supuesta mente esta vistando a su mama y el chino no se encuentra con la mama se encuentra con una china llamda daniela 
 31256101, Personalizado,  ES MEJOR PREVENIR QUE LAMENTAR 
 31256108, Troll, Exactas es peor Que la la colimba 
 31256106, Personalizado, Exactas es peor Que la colimba colimba 
 31256109, Personalizado, Exactas es peor Que la la colimba 
 31256111, Ancient Aliens, que familia el nintendo tiene la culpa 
 31256121, Ancient Aliens, que bonita familia! culpemos al nintendo 
 31256122, Bear Grylls,  Vengo de DajabÃ³n y estÃ¡ lleno de basura 
 31256124, Personalizado,  MAGAZO 
 31256126, I'm sexy and I know it, JOEL SEXY  
 31256129, Mr Bean,  Yo escuchando los cuentos de Miguel Cruz 
 31256131, Personalizado, Yo te dije que te fueras a vivir a largocaste? 
 31256130, Personalizado,  QUIEN CEDE EL PASO ENSANCHA EL CAMINO 
 31256134, Personalizado,  WAITING orders sir 
 31256135, Kermit the frog, AquÃ­ esperando la prÃ³xima Gonzalada  
 31256137, Personalizado,  Gracias a Nosotros salis CampeÃ³n no seas fanfarrÃ³n 
 31256142, Personalizado, HUINCHA AISLADORA ULALÃ SEÃ‘OR FRANCÃ‰S 
 31256143, Obama,  Que rico se siente ser liceista 
 31256146, Personalizado,  Gracias a Nosotros salis CampeÃ³n!!!Agradece 
 31256148, Personalizado, LETAL CON SU PRESA 
 31256149, Personalizado,  Seguro El Ex Era Mejor Que Yo 
 31256152, Filosoraptor, Hambre!!! Pollo feliz 
 31256154, Personalizado, TÃº amigo quÃ© te toma fotos en el espejo tambiÃ©n te enfermas Cada 28 dÃ­as tambiÃ©n usas nosotras o tampones? 
 31256156, I'm sexy and I know it, Asi te veras Cuando te enteres 
 31256155, I'm sexy and I know it, As%C3%AD te ver%C3%A1s Cuando te enteres 
 31256157, Personalizado,  QUIEN PISA CON SUAVIDAD VA LEJOS 
 31256159, Julio Iglesias, Solo va a salir una Â¡Y lo sabes! 
 31256161, Personalizado, Hemos Pasado 
 31256164, Personalizado," Te me cuidas, vlado y usa condÃ³n "
 31256167, Jackie Chan, Uyyy pero si eres Mucha bestia 
 31256168, Personalizado, Momentos Inolvidables 
 31256169, Personalizado, Te me cuidas y usas condÃ³n 
 31256170, Personalizado,  los poderes facticos me succionan los testÃ­culos 
 31256173, Personalizado,  
 31256172, Personalizado, Es hora De volver a vivirlos 
 31256175, Personalizado, Cuando alguien dicen que estudiar una carrera es igual o mÃ¡s desgastante Que la maternidad 
 31256177, Bebe Exitoso, Es hora de volver A vivirlos!!! 
 31256178, Bebe Exitoso, De que Es hora de volver A vivirlos!!! 
 31256182, Personalizado, Cuando alguien dice que estudiar una carrera es igual o mÃ¡s desgastante Que la maternidad 
 31256183, Mr Bean, Este sabado iniciara tu  
 31256188, Personalizado,"  SI ME DAS PESCADO, COMERE HOY, SI ME ENSEÃ‘AS A PESCAR PODRE COMER MAÃ‘ANA "
 31256189, Personalizado, Debes organizarte y llevar ropa Como cuando estuvimos aqui 
 31256193, Bebe Exitoso,"  Hoy juega el verde de mis amores 8,30 PM win sports "
 31256194, Personalizado, Cuando yi feed Hables lux 
 31256196, Willy Wonka, Osea que te vas del grupo Y por quÃ© sigues en lÃ­nea 
 31256199, Personalizado, Cuando yi feed Gankea  lux 
 31256204, Personalizado, Se busca Esposa de pipo perdida en el incendio 
 31256207, Personalizado, Estuviste viendo a Pigna toda la noche Creo que quiero dar un golpe de estado 
 31256210, Personalizado,"  NADIEN SE BAÃ‘A DOS VECES EN EL MISMO RIO, PUES SIEMPRE ES OTRO DIA Y OTRA PERSONA "
 31256212, Personalizado," Polos ""don francisco"".. Quiero el pedido YaÃ¡.!..antes que encienda la Moto "
 31256215, Personalizado, Hasta que se les hizo conocer pitufilandia  
 31256216, Matias Prats," En Ãºltimas noticias El que comenta abajo, le Chupa el pico a PiÃ±era "
 31256217, Personalizado, que les pasa cabros qlos dejen tranquila la psu 
 31256218, Personalizado, Yo fingiendo Que me importa tu opinion 
 31256228, crying peter parker, Aparece maldito bondi Que somos pollito 
 31256231, Julio Iglesias, Pasaran de la ppam Y lo saben 
 31256230, Personalizado,  y laky
 31256234, Julio Iglesias, gashon estÃ¡s quemao Y lo sabes 
 31256237, Por favor," me vas a colgar LAu, pero... Â¿se le puede poner fondo de agua? "
 31256238, Disaster Girl, Mientras tanto... ImaginÃ¡bamos al primer bondi asi 
 31256239, Personalizado,  NO HAY MEJOR PADRINO QUE UN BUEN VECINO 
 31256242, I'm sexy and I know it, como cuando innovas... pero.. i nnovas a la escuela 
 31256245, Overly Attached Girlfriend, Nos salvamos  
 31256246, Personalizado,  Saluden o se la meto por el culo 
 31256250, Personalizado, cOMO NO CUANDO NO TIENES COMO DEFENDERTE 
 31256251, Personalizado, Farmacia Natal queridaaa La farmacia de mi barrioo 
 31256254, Personalizado, Cuando ya no cuadra la vieja y confiable 
 31256253, Overly Attached Girlfriend, Nos salvamos AsÃ­ mirÃ¡bamos al vendedor de pasajes 
 31256255, Personalizado, meme  
 31256256, Troll,  ll 
 31256258, Mr Bean," ""Gera""       FELIZ CUMPLEAÃ‘OS TE TOCA SOPLAR LA QUE TANTO TE GUSTA "
 31256259, Personalizado,  Brutal!! 
 31256261, Jackie Chan, La re concha De tu madre 
 31256265, Personalizado, Viendo que por MERITO y se le sale un huevo  
 31256269, Mr Bean," ""Gera""       FELIZ CUMPLEAÃ‘OS Te DEJARAN FESTEJARTE??? "
 31256271, Personalizado, Tacooos tacooos!!! Tacos de canasta!!! 
 31256273, Personalizado, Ya se cagÃ³ Este cacas culiao 
 31256275, crying peter parker, No prende la revolvedora Que rente pal%27 colado 
 31256280, crying peter parker, No prende la revolvedora Que rente para el colado 
 31256287, Correction Guy, A esa mierda le falta cafe 
 31256290, Mr Bean," ""jl""           FELIZ CUMPLEAÃ‘OS PASATELA SUPER! "
 31256289, Willy Wonka," Mandatos, mandatos y mÃ¡s mandatos Decime quÃ© se siente no poder elegir mÃ¡s allÃ¡ de los mandatos? QuÃ© se siente no ser libres? "
 31256294, Personalizado,  Mamilo 
 31256295, Personalizado,  Me mie ðŸ¤­ 
 31256296, Troll, Recuerda que mi dios Es padre de tu demonio 
 31256303, Personalizado,  Martin 
 31256305, Personalizado, Me meo me meo Me...............miee 
 31256306, Personalizado,  LA INOCENCIA DE UNA PERSONA PUEDE MOVER A OTRA PERSONA 
 31256307, Personalizado, Recuerda que mi dios Es padre de tu demonio 
 31256311, Personalizado,  Recuerda que mi dios es padre de tu demonio 
 31256312, Sad Trooper, Es necesario conocer la Palabra y profundizar en ella. Te invito a que te inscribas en el IBC. 
 31256317, Personalizado,  cafecito 
 31256319, Troll, 
 31256320, Boromir, Da mucho por culo TIC? asÃ­ se te queda solo con la primera PEC 
 31256321, Personalizado,  Amarren al peruano 
 31256322, Personalizado,  Retractate peruano 
 31256323, Personalizado,  Calla peruano 
 31256330, Personalizado,  Efectivamente. Es peruano 
 31256331, Willy Wonka," Que TIC es fÃ¡cil por no tener exÃ¡men final? Busca en Vlex ""tu puta madre"" "
 31256333, Personalizado,  Muere Ayacuchano 
 31256335, Personalizado, %C2%A1%C2%A1%C2%A1Quiero hablar!!! Y lo sabes 
 31256337, Troll, Quiero hablar Y lo sabes 
 31256339, Sparta, Â¿otro hilo en el debate? Le precintarÃ­a la cuna a tus hijos 
 31256340, Personalizado, Quiero hablar Y lo sabes 
 31256342, Whyyy, CALCULE QUE SI NO TE DA EL CHIQUITO ES POR QUE NO TE AMA 
 31256343, Personalizado, Se cree nazi y tiene mÃ¡s sangre indÃ­gena Que pocahontas 
 31256345, Sergio Ramos, Si las TIC dan TOC.... Por dos veces TIC abres la puerta? 
 31256350, Personalizado, asÃ­ se vive cuando tu abuela te mantiene 
 31256351, Bear Grylls," Hace frÃ­o, tengo hambre y estoy desesperado es como hacer tic en la uoc pero por lo menos aquÃ­ no estoy en grupo "
 31256352, Personalizado,  Cansafa 
 31256353, Personalizado," 6 horas, 14 minutos, 22 segundos No hay 11.50 "
 31256356, Personalizado, CHUPAME EL CULO jean  
 31256363, Personalizado,  TÃº lo que quieres es un pepino shiquitillo 
 31256362, Futurama Fry," en cuanto pongan las notas de TIC... llamo a Francesc ""PACO"" "
 31256364, Futurama Fry, Belen tu eres Pecadora 
 31256365, Personalizado, este es un vividor vive del sueldo de la abuela 
 31256368, Personalizado, SI MEZCLAS UN PERRO CON UN PEQUENO CABALLO ESTO SALE 
 31256369, Matias Prats," los integrantes del grupo ""Las TIC me dan TOC"" se llevan genial PodrÃ­amos decir que han ""inticmado"" "
 31256370, Personalizado, este es un vividor le vive ala pobre abuela 
 31256373, Ancient Aliens, y la tabla no se veÃ­a bien asÃ­ que intentÃ© cuadrarla 
 31256375, Julio Iglesias, Estais deseando cobrar los puntos maÃ±ana Y LO SABES 
 31256376, Personalizado, noo que te pasado a ti hermanos son frutas 
 31256377, Personalizado,  YA SALIO LA ALE 
 31256379, Julio Iglesias, no eres capaz de hacer un site tu sol@... y lo sabes!! 
 31256382, Problems, nos lo curramos para entregarlo en fecha y luego da mÃ¡s dÃ­as para entregarlo 
 31256383, Personalizado, Agradezco Con un octavio paz 
 31256389, Pulp Fiction, abre otro hilo en el debate... y el retraso horario lo convierto tambien en mental 
 31256386, Troll, Debes hacerte una limpia Para las malas energÃ­as 
 31256385, Pulp Fiction, abre otro hilo en el debate... y el retrasp horario lo convierto tambien en mental 
 31256387, Personalizado, vendo mi cola urgente . 
 31256395, Personalizado,  Sindudablemente 
 31256394, Chemistry Cat," si, yo aprobÃ© tic... asÃ­ncrono y sÃ­ncrono y todas esas cosas, ya sabes "
 31256399, Personalizado, mis niÃ±os venecos ya les CONSEGUÃ cupos escolares y comida . y unos subsidios. los colombianitos ya saben que comer.. jijiji  
 31256400, Personalizado, BUT WERE THE **** IS NEGASONIC TEENAGE WARHEAD?? 
 31256401, Personalizado,  Puta Madre Vete A La Verga Malparido 
 31256403, Personalizado,"  Y Tu Lo Sabes Que Soy El Mejor, HuevÃ³n "
 31256405, Personalizado, hay que ser alegres como don bosco Â¡un locoÂ¡ 
 31256406, Personalizado," â€œLa inflaciÃ³n es la demostraciÃ³n de tu incapacidad para gobernarâ€              dijo    macri inflaciÃ³n 2019  53,8%  en 4 aÃ±os de cambiemos 284 % acumulado              Â¡ sÃ­ se pudo ! "
 31256408, Personalizado,"  EL  PLÃSTICO  ES  UN  ENEMIGO  MORTAL  SILENCIOSO,  AUN  PEOR  QUE  LA  GRIPE,  PORQUE SE  LE  NECESITA, Y  A  LA  VEZ, TE  MATA. MAG "
 31256411, Personalizado," â€œ LA INFLACIÃ“N ES LA DEMOSTRACIÃ“N DE TU INCAPACIDAD PARA GOBERNAR â€            DIJO    MACRI iNFLACIÃ“N 2019  53,8%  EN 4 AÃ‘OS DE CAMBIEMOS 284 % ACUMULADO              Â¡ SÃ SE PUDO ! . "
 31256417, Koala, Me estoy muriendo Por ir al club de los jueves 
 31256419, Personalizado, Chavita... Pronto nos veremos las caras 
 31256420, Insanity Wolf, reacciÃ³n de tu hermano cuando tocas sus cosas 
 31256421, Personalizado,  Marikon. Nunca supe como se escribe 
 31256422, Personalizado,  LOS BELLOS CAMINOS NOS LLEVAN LEJOS 
 31256423, Personalizado, Chavita nos veremos pronto  
 31256424, Willy Wonka, Los veo muy felices Ya hicieron planilla? 
 31256426, Koala, tu cuando te enteras de que hoy hay exÃ¡men y no has estudiado nada 
 31256429, Grumpy Cat, tu cuando te enteras de que han dado una fiesta y no te han invitado 
 31256430, Personalizado, eeeeesssstttteee SORRY BETO 
 31256432, Personalizado, Cuando A ses pan 
 31256433, Personalizado, Sintieron el temblor Que feo es 
 31256436, Personalizado, Milicias civiles armados para violar. Robar y asesinar a mujeres y niÃ±os. Narco pedofilos terrucos  
 31256439, Personalizado,  Hola nois!! 
 31256440, Troll,  Â¡OH SORPRESA! 
 31256442, Personalizado,  Â¡OH SORPRESA! 
 31256443, Personalizado,  Nunca mas el MAS 
 31256447, Bad Luck Brian," La llena de cinta en pijamada. Tengo ""la foto"" de la pijamada en el 7mo B "
 31256449, Personalizado,"  mentira  !!, lo nuestro siempre ha sido una mentira "
 31256450, Personalizado, Cuando Vas a sacar el pan 
 31256451, Personalizado,  Y la primera linea? 
 31256455, Personalizado,  me da flojera discutir ese punto contigo 
 31256456, Gangnam Style, Yo El club 
 31256459, Personalizado, Y los capucha ?  
 31256460, Personalizado, EXPECTATIVA ES REAAALLL REALIDAD NO ES FALSETA 
 31256462, Personalizado,  prejijentje congejumage 
 31256463, Troll, SÃ­ cumplo aÃ±os...  
 31256464, Personalizado, El mas Borracho 
 31256468, Batman slaps Robin, Entiende que un burro con l%C3%A1mpara no es innovaci%C3%B3n %F0%9F%99%84%F0%9F%98%92 
 31256470, Personalizado, COCINO RICO NOOOOÂ¡ COCINAS PESIMO 
 31256471, No me digas, Nadie Absolutamente nadie 
 31256472, Personalizado,  Hola me llamo LucÃ­a y soy publicista del hotel arona 
 31256477, Mr Bean, Cuando el profe dice crea un meme Yo 
 31256478, Disapproving Batman, tanto que entrene duro para comandar pues me aburria con los borrachos 
 31256480, Por favor, POR FAVOR ME DAS HELADOÂ¡ NOOOOOOÂ¡ 
 31256488, Forever Alone, xd da like lol 
 31256483, Chemistry Cat, OYE SABES ESTUDIAR QUIMICA HAY LES DIGUO YO NO SE 
 31256485, Troll, juan loor 
 31256486, Personalizado, Encuentra la lorna Del grupo 
 31256489, Retard Girl, Odia el capitalismo Hace un mÃ¡ster en derecho de la empresa 
 31256490, Personalizado,  Anda a fregar los platos 
 31256491, Personalizado,  Huevito con arroz 
 31256492, Pulp Fiction, SerÃ¡s el mÃ¡s rico del cementerio Omnia mors aequat 
 31256494, Desk Flip Rage Guy, yo intentando hacer un meme 
 31256493, Business Cat, HOLA QUE TAL ME VESTI COMO PAPA IGUAL SOY MUJER HSUU 
 31256497, Koala, yo al ver mis notas  
 31256498, Julio Iglesias, Te querÃ­as escaquear y no has podido y lo sabes  
 31256500, Keanu Reeves, cuando estoy en la FIESTA y veo perreando a la calladita  del salon 
 31256505, Personalizado,  Que no oigo el tanque 
 31256506, Personalizado, Barbie asIGNACIÃ“N ESPECIAL MERCADEO 
 31256501, Me Gusta, La cara del profesor al ver mis tarea 
 31256502, Julio Iglesias, MaÃ±ana no hay sesiÃ³n Y lo sabes 
 31256508, Bad Luck Brian, Se divierte poniendo cinta a Gala... Tengo su foto de la pijamada del '95 
 31256509, Bear Grylls, mi proximo reto : HUIR DE la matanza de mis padres 
 31256510, Personalizado, Solo amigos Y nada mas 
 31256511, Bear Grylls, mi proximo reto sera : HUIR DE la matanza de mis padres 
 31256512, crying peter parker, yo al sabes que me quede de aÃ±o  
 31256513, Troll, esperandote para adelantar cuaderno  
 31256514, Personalizado,"  LA PRIMERA VEZ ES UNA GRACIA, LA SEGUNDA VEZ ES UNA REGLA "
 31256515, Me Gusta, La cara del profe cuando hablo huevadas  
 31256516, I'm sexy and I know it, j j 
 31256520, I'm sexy and I know it, cuando llegan las vacacionesðŸ˜†ðŸ˜†ðŸ˜† 
 31256522, I'm sexy and I know it, cuando llegan las vacacionesðŸ˜†ðŸ˜†ðŸ˜† 
 31256523, Personalizado, Simplemente amigos Y nada mas 
 31256526, I'm sexy and I know it, cuando llegan las vacaciones 
 31256527, Troll, MuchÃ­simas gracias a tod@s por vuestras felicitaciones se os quiere ðŸ˜˜ 
 31256529, Willy Wonka, Se siente la diva y usa gafas de 5mil  
