id ,plantilla,texto
 490006, Okay Guy, Noisivision quiere despegar le falta bateria  
 490005, Troll, soy puto 
 490007, Bad Luck Brian, ES DIRECTOR DE SU PROPIA ESCUELA PARA NIÃ‘OS ESPECIALES TODOS LOS ALUMNOS LE HACEN BULLYNG 
 490003, Yoda, Tu Padre Es Vajineitor 
 490004, Chico Malo, amÃ¡! nuay pael! 
 490001, Bebe furioso, quiero una mama melina!!!!!! . 
 490002, Yoda, si chingon qieres ser escuchar rock o heavy metal debes 
 490000, Bad Luck Brian, se quieren colar a una xv es una boda 
 490009, Personalizado, la heroica paciencia.... de un fondo o caldo.... 
 490008, Willy Wonka," asi que eres del ""a""... dime que se siente haber ganado muchas veces y ya perder la cuenta "
 490010, Personalizado, soy puto 
 490013, Personalizado, asÃ­ que soy un maki table... cÃ³memeeeeeee 
 490014, Fuck Yea, SOY TAN SEXY  QUE CUANDO ME VOY A BAÃ‘AR EL AGUA SE CALIENTA 
 490012, Futurama Fry, si sera? Si es? hija de la chingada y con el enano 
 490011, Bad Luck Brian, va a buscar unos libros  encuentra los papeles de adopciÃ³n 
 490017, Problems, llegue a la taquilla y me dijeron que ya no habia boletos para perla melina 
 490018, Boromir, uno simplemente  habla como animal al frente de un bebe 
 490016, Por favor, Porfavor Arlen!! Dejame Usar La palabra!! hijo De Sucia xD 
 490015, Por favor, 30 likes & digo quien me gusta 
 490019, Personalizado, en verdad....... el pinche cangrejo sera inmortal 
 490021, Bebe Exitoso," 15 de agosto se_presenta el komander... santa_maria_del_rio... fffuuccckkk yyyyeeeaaahhh.,!!! "
 490022, Personalizado, buscame cuando te vayas decian         ........ sera facil y no tendras que llamarme por microfono decian 
 490020, Friki, MI CONSEJERA DICE QUE TENGO QUE TENER VIDA SOCIAL MAÃ‘ANA ME BAJO LOS SIMS 3 
 490025, Homer, Dice: Bamos Hacer Algo Terminan Haciendo Nada 
 490023, Por favor, Por Favor Dejame hacerte feliz  
 490024, Filosoraptor, si la musica se reproduce por ke no tiene hijos ? 
 490026, Willy Wonka, Asi que ya no te importa... dime que se siente dedicarle todos sus estados 
 490028, Yao Ming 2, quien no tuvo gases con amenaza de cague... no tuvo infancia ctm 
 490027, Personalizado, Cuantos fans mios le darÃ¡n me gusta a la pagina del primer comentario? 
 490032, Forever Alone, se mira al espejo  no se refleja 
 490030, Ay Si, Ay si ay si  todos ven a la shushi en el valor de la verdad 
 490029, Willy Wonka," dime que se siente que te guste, me dejes, y ahora este con otra "
 490031, Koala, esa es perla?? parece osito como yo!! 
 490033, Por favor, solamente el dedo chiquito si? no te dolerÃ¡.. 
 490034, Problems, me desvele esperando los resultados del ceneval quede en el 207 
 490035, Futurama Fry, viendo porno??? que se siente no tener sexo?? 
 490036, Personalizado," tuvistes un encuentro sexual con un congresista?                                                                                   . .                               si, pero no fue en el congreso                                                "
 490037, Bad Luck Brian, Dibuja a goku lo demandan por copyright 
 490038, Personalizado, AL FIN LA INVITAN BAILAR NO PUEDE SER EL COREANO QUE quiere 
 490039, Yao Ming 2, TUS PEDOS NO HUELES A ROSAS VIEJA CREIDA  
 490040, Cereal Guy, 15 de agosto se presenta el komander en santa maria del rio si no te gusta ve y chinga tu madre .I. 
 490041, Futurama Fry, no sÃ© si el macho es gay o... se hace pasar por uno 
 490042, Sergio Ramos, estas vacaciones hasta se te olvidara que te llamas perla 
 490043, Bad Luck Brian, hola lala 
 490044, Personalizado, OYE COMPA VISTE AL BETO Y LA YESICA LO QUE ANDABAN HACIENDO? 
 490045, Personalizado, en verdad.............. el pinche cangrejo sera inmortal 
 490046, Por favor, Jamas olvides que eres el amor de mi vida  <3 
 490047, Personalizado, yo amo a la #CAMI 
 490048, Ay Si, Ayi si Ayi si meda coraje por que perdio el pachuca y ni bi el partido completo 
 490049, Whyyy, Porque no entiendes que quiero estar contigo toda la vida 
 490050, I Hate, jonhy la gente esta muy loca what the fuck!!! 
 490051, Matias Prats, Mueren 10 personas y 32 heridos en un accidente de bicicleta 
 490052, Bad Luck Brian, se fuma su primer  cigarro  y muere de cancer   
 490053, Disapproving Batman, robin... vamos a la melicueva 
 490054, Overly Attached Girlfriend, dale like o te violo 
 490055, Bad Luck Brian, conoce a su verdadera mamÃ¡ es la ade 
 490057, Yoda, si a la cami a la casa invitar un gps tu comprarle debes 
 490056, Yao Ming 2, me keriai sacar selos igual canbiaste carne por sharki 
 490059, Bad Luck Brian, intenta ahorcarse  soga podrida  
 490058, Pedobear, DIGAN SUS EDADES Y PROMETO NO HACERLES NADA HA!! Y SUS DIRECCIONES 
 490060, Personalizado, nna  pixiozha! 
 490061, Troll, feliz..cumple! brother 
 490062, Bad Luck Brian, JAJA  JAJAJ 
 490063, Business Cat, Asi Que Eres Richard Nombre de solitario Y gordo 
 490065, Yao Ming 2, tus pedos no huelen a rosas vieja mamona 
 490064, Willy Wonka," asi que tu profesora de civica es la mis nelly... dime que se siente que seas del ""a""  y sientas que ella es la mejor tutora  "
 490066, Personalizado, Cambia el formato de su programa un roskete le quita el rating 
 490068, Personalizado," Ayyy que jumo... El alcohol es perjudicial pa la salud, no pa uno  "
 490067, Bebe furioso, tu cara cuando te mata un campero  en mw3 
 490069, Personalizado, Asi que te crees mortalero dime que se siente sacarse la mierda y quedar casi inconsciente 
 490070, Ay Si, ay si el chuletito va a ser muy bonito 
 490071, Challenge Accepted," te reto  a que le  des like , si no estas mirando porno  "
 490072, Personalizado, que verga  pues el puto entrenador que puso al ramon de delantero 
 490073, Bebe Exitoso, Bien Eres Skater!! c: Eres De Los Mas Chigones!! Rifas 
 490074, Jealous Girl, si no te apuras te voy a ganar a julio 
 490077, Yo Dawg," no joda, bebo para ahogar mis penas pero las condenadas saben nadar "
 490075, Filosoraptor, tirar o no tirar he ay el dilema... 
 490076, Por favor, cuanto te extrano Baby 
 490079, Personalizado, ESTAS TRISTE  VEN CHUPA DIEGUITO 
 490078, Willy Wonka, asi que escuchas feeling every sunset? que se siente tener tan buen gusto 
 490080, Willy Wonka, que se siente  que te usen como bolantin para fiestas patrias 
 490081, Bad Luck Brian, crunchyroll llega a mexico le cae el narco 
 490082, Willy Wonka, Asi que ya no te importa... dime que se siente dedicarle todos tus estados 
 490083, Troll," ASI QUE ERES Francisco reyes dime que se siente tener que pagar el play,kfc,inter y chifa todas las veces? "
 490084, Bad Luck Brian, GANAREMOS LAS 3 COPAS DIJIERON  PERDIERON 2 
 490085, Personalizado, CHINESE CHINESE EVERYWHERE 
 490087, Bebe furioso, Saludameee  Sludameeeee!! 
 490086, Forever Alone, ORGULLOSAMENTE FOREVER ALONE  
 490088, Okay Guy," el album de paramore vendrÃ¡ ""soon"" "
 490089, Ay Si, ay si     ay si... no puedo mandar a la mierda a pizarro porque soy antiperuano 
 490090, No me digas," le llamas ""niÃ±erias""  cuando solo decimos la verdad? "
 490091, Forever Alone, mientras tu me ignoras el traficante de organos quiere mi corazon 
 490092, Bad Luck Brian, se hace CIRUGÃA para VERSE mas lindo sale michael jackson  
 490093, Willy Wonka, que se siente ser cabrolina 
 490094, Futurama Fry, no sÃ© si el house es gay o... se hace pasar por uno 
 490097, Joseph Ducreux, awdawdawdwadawd awdaw 
 490098, Futurama Fry, no se si es mejor tener 2 primeros puestos y uno segundo  o tener solo 2 primeros puestos 
 490095, Fuck Yea, NO HAGO NADA DE MI VIDA QUE NO SEA VIAJAR  
 490096, Personalizado, Si nunca tomaste tu facu en las elecciones no eres villarrelino xD 
 490099, Friki, SOY UN HOMBRE DE TEMER QUITO EL USB EN MODO NO SEGURO 
 490100, Ay Si," ay,si,ay,si todas me preguntan conoses a one diretion  y loes digo que si para no ser mamon ay,si,ay,si "
 490101, Overly Attached Girlfriend, quemÃ© toda tu discografÃ­a de evnaescence para que me escuches solo a mi. 
 490102, Bebe Exitoso, solo la gente cool escucha taylor swift 
 490104, Bebe Exitoso, Asi estas tu cuando te sacas un 7.0  sin saver la materia 
 490105, Y U No, maldita vagancia  sal de este cuerpo estudioso y trabajador... 
 490103, Ay Si," AY YA! ALEJANDRO, EL MAS QUE CREA EMPLEOS... "
 490106, Ash Pedreiro, te metes en los matorrales... te sale un pichu 
 490107, Personalizado,                        Â´             reconoces esta pepa  
 490108, Por favor, y tu me decias que me amabas porque mentias??? 
 490113, Pulp Fiction, HOLA SOY ANDRES hola soy andres 
 490111, Pulp Fiction, HOLA SOY ANDRES hola soy andres 
 490110, Sheldon Cooper, asi que  dormir le llaman ahora ? 
 490112, Pulp Fiction, HOLA SOY ANDRES hola soy andres 
 490109, Personalizado,  11 DE AGOST  A PISCINEAR :d 
 490115, Overly Attached Girlfriend, quemÃ© toda tu discografÃ­a de evanescence para que me escuches solo a mi. 
 490114, Por favor, y tu decias que me amabas porque mentias??? 
 490116, Personalizado," Mis fuerzas agotadas por querer salir, Estoy inmÃ³vilâ€¦ casi inerte.  . Mi CorazÃ³n vital y latente, Por el deseo enorme de tenerte! "
 490118, Por favor, vamos a hacer el aÃ±ordy please 
 490120, Business Cat, no mi amor no son chupetones son picaduras de mosquito 
 490117, Whyyy, pORQUE MIERDA TE GUSTA UN PIRAÃ‘A SI BOY A SER DISEÃ‘ADOR :( 
 490119, Business Cat, no mi amor no son chupetones son picaduras de mosquito 
 490121, Bad Luck Brian, va al parque i.Madero sin tabla 
 490122, Personalizado, Susy Â¿se gana los s/50.000? 
 490123, Personalizado, haci que abortaste a tu hijo  dime que se siente que viva al costado de la bomba 
 490124, Chuck Norris, cuando entro al agua no me mojo el agua se hace chuck norris 
 490127, Bad Luck Brian, Se disfraza de The JOker Lo acusan por tirotear un cine 
 490125, Okay Guy, Aprende a hacer memes que dan gracia Lo regaÃ±a su novia y deja de hacerlos. 
 490126, Bad Luck Brian, SE HACE UN FACEBOOK Y EL UNICO AMIGO QUE TIENE ES FOREVER ALONE 
 490128, Bad Luck Brian," se emborracha por primera vez se rumbea ala novia del mejor amigo,le pegan,baila desnudo,se bomita. y amanece orinado y cagado en la casa de su abuela. "
 490130, Business Cat, muy interesante  cuentame mientras me lamo los cocos 
 490131, Bad Luck Brian, va al oxxo 24 hrs. estÃ¡ cerrado 
 490129, Bebe Exitoso, tengo a mi mami ya tengo quien me cambie el paÃ±al y me defienda cuando sienta que perdere 
 490132, Retard Girl, SI NUNCA TE TIRASTE ARENA EN LA CABEZA Y  SENTISTE LAS PIEDRITAS CON TUS DEDOS NO TUVISTE INFANCIA 
 490134, Personalizado, querido dieguito  dejo a luis por ti?  
 490133, Filosoraptor, algun dia sere blanco? 
 490135, Bad Luck Brian, le regalan una pelota La pincha 
 490137, Ay Si, ay si ay si todos escuchan the only exception 
 490136, Friki, Me pidiÃ³ espacio y le compre un disco duro de 500 GB. 
 490138, Filosoraptor, algun dia llegare a ser como alejandra? 
 490139, Whyyy, No puedo respirar no me dejen sola 
 490140, Bad Luck Brian, hace wili a 2cm del piso  se le da vuelta la vici 
 490141, Forever Alone, ASÃ QUE ERES ALEXANDRA PURUGUAY QUE SE SIENTE TENER TITULO CONSECUTIVO DE FOREVER ALONE? 
 490143, Ay Si, Ay si ay si !!!  como yo le puse prmero un meme en su muro ahora cre que puedo hacerlo mejor XD 
 490142, Ay Si, Ay si Ay si  me enojo por que perdio el pachuca y ni el partido completo bi  
 490144, No me digas, NUNCA FATA EL... HUEVON QUE TRASTA DE CAGAR EL CHISTE COON UN COMENTARIO IMBECIL 
 490146, Willy Wonka, asique colocolo le gano 6
 490145, Ay Si, Ay si Ay si No hagas memes que te pueden denunciar. 
